player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Alex Perry,158184,WR,FIU,13,14.6,6,60.9,51.9,14,27,0,5.1,3,-0.01,38,166,0,78.3,74.3,74.7,,76.6,0.0,0,2,64,0.0,0,416,2,44.5,56,94.5,393,14.9,62,114.4,92,9,85.1,354,840,282,5.0,15.0,2.14,2025_this_team
Kyle McNeal,175559,WR,FIU,12,11.1,5,60.8,11.1,1,9,0,6.1,2,-0.04,18,166,0,72.7,72.3,62.6,,63.2,0.0,0,2,30,0.0,0,297,2,44.3,31,94.9,282,47.5,141,68.3,51,1,52.2,155,310,159,5.1,10.0,1.1,2025_this_team
Maguire Anderson,147504,WR,FIU,13,10.1,3,55.6,50.0,1,2,0,7.4,2,-0.07,17,166,0,59.7,78.2,59.4,,59.6,0.0,0,3,46,0.0,0,298,0,42.5,25,94.0,280,55.0,164,53.6,45,1,44.6,133,276,141,5.6,11.0,0.99,2025_this_team
Jojo Stone,183321,WR,FIU,12,10.6,1,62.2,20.0,1,5,0,0.0,0,0.07,14,166,0,87.4,73.6,80.1,,81.9,0.0,0,2,49,0.0,0,129,0,45.1,23,93.8,121,80.6,104,80.0,37,2,17.8,23,272,109,4.7,11.8,2.25,2025_this_team
Dallas Payne,156630,TE,FIU,12,5.2,7,79.4,100.0,1,1,0,6.9,2,0.02,16,166,0,71.4,71.6,65.1,73.0,67.5,50.8,155,1,42,23.3,71,305,4,42.6,27,70.2,214,32.1,98,129.5,34,4,14.8,45,293,167,6.2,10.9,1.37,2025_this_team
Jackson Verdugo,198398,TE,FIU,13,7.4,0,58.8,25.0,1,4,0,0.0,0,-0.05,5,166,0,81.5,68.2,55.2,47.7,58.8,47.1,74,1,21,25.5,40,157,1,46.9,10,69.4,109,24.2,38,71.0,17,1,24.2,38,101,37,3.7,10.1,0.93,2025_this_team
Ross Fournet,145218,WR,FIU,12,4.8,2,76.9,100.0,2,2,0,16.7,2,0.16,5,166,0,49.5,71.1,52.0,79.1,55.3,0.0,0,0,20,2.4,2,85,2,46.9,10,92.9,79,44.7,38,93.8,13,0,54.1,46,86,52,5.2,8.6,1.09,2025_this_team
Eric Nelson,189779,WR,FIU,11,13.1,0,66.7,40.0,2,5,0,11.1,1,-0.13,7,166,0,58.9,67.1,62.8,41.3,63.1,0.0,0,2,34,0.0,0,105,0,40.4,8,89.5,94,12.4,13,89.2,12,1,87.6,92,125,31,3.9,15.6,1.33,2025_this_team
Semaj Demps,175550,WR,FIU,4,7.6,0,66.7,,0,0,0,14.3,1,0.01,2,166,0,53.4,66.2,61.2,,60.9,0.0,0,0,26,0.0,0,41,0,41.0,6,95.1,39,75.6,31,82.2,9,0,22.0,9,53,26,4.3,8.8,1.36,2025_this_team
Tyson Carter,198409,WR,FIU,8,15.6,0,33.3,,0,0,0,0.0,0,-0.37,1,166,0,73.1,64.1,58.9,,58.7,0.0,0,0,24,0.0,0,41,0,25.6,3,95.1,39,29.3,12,44.7,9,0,70.7,29,32,15,5.0,10.7,0.82,2025_this_team
Justin Cayenne,148960,TE,FIU,9,6.0,0,87.5,,0,0,0,0.0,0,-0.05,2,166,0,56.4,66.7,67.5,74.7,50.2,66.9,93,0,15,35.3,49,139,0,43.4,7,62.6,87,21.6,30,98.4,8,0,10.1,14,61,18,2.6,8.7,0.7,2025_this_team
C'Quan Jnopierre,165468,WR,FIU,3,10.5,1,83.3,0.0,0,1,0,0.0,0,0.83,4,166,0,76.3,83.2,80.3,,83.5,0.0,0,0,64,0.0,0,17,0,60.0,5,88.2,15,82.4,14,118.8,6,0,17.6,3,126,68,13.6,25.2,8.4,2025_this_team
Braiden Staten,175571,TE,FIU,7,3.3,0,75.0,0.0,0,1,0,0.0,0,0.08,1,166,0,73.1,64.1,50.4,31.4,59.3,53.5,23,0,18,39.5,17,43,0,56.1,3,58.1,25,20.9,9,91.7,4,0,18.6,8,26,20,6.7,8.7,1.04,2025_this_team
Kenny Williams,198403,WR,FIU,2,15.5,1,50.0,,0,0,0,0.0,0,-1.48,0,166,0,66.7,61.0,55.4,,55.6,0.0,0,0,8,0.0,0,9,0,12.5,1,88.9,8,44.4,4,60.4,2,0,55.6,5,8,12,12.0,8.0,1.0,2025_this_team
Tar'varish Dawson,146659,WR,FIU,1,14.0,0,0.0,,0,0,0,,0,-0.55,0,166,0,,,45.5,,48.7,0.0,0,0,0,0.0,0,3,0,0.0,0,66.7,2,33.3,1,39.6,1,0,66.7,2,0,0,,,0.0,2025_this_team
Andre Brown,198391,WR,FIU,1,-1.0,0,100.0,,0,0,0,0.0,0,0.22,0,166,0,66.7,67.1,61.4,,60.8,0.0,0,0,6,0.0,0,1,0,100.0,1,100.0,1,100.0,1,91.7,1,0,0.0,0,6,7,7.0,6.0,6.0,2025_this_team
