player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Stefon Thompson,123055,LB,FLORIDA ST,10,10,0,85.7,0,1,167,0,0,53.6,72.6,83.9,67.1,83.3,89.8,0,3,0,0,19,5.4,2,0,0,95.2,6,4,0,147,0,78,220,56,0,0,56,0,0,164,35,107,17,12,25,1,7,7,0,48,40,8.0,2025_this_team
Mikai Gbayor,145013,LB,N CAROLINA,12,10,0,66.7,1,1,245,1,1,64.7,67.1,17.1,67.7,67.5,56.1,0,1,0,0,12,17.5,7,0,1,71.5,4,1,0,231,1,100,252,10,0,0,10,0,0,242,10,142,8,12,23,1,6,2,0,20,8,5.0,arrival_2025_at_N CAROLINA
AJ Cottrill,156273,LB,FLORIDA ST,8,6,0,100.0,0,0,167,0,0,65.1,74.9,78.1,76.8,73.9,66.0,0,4,0,0,35,13.3,2,0,0,118.8,1,3,0,70,0,43,98,14,0,0,14,0,0,84,15,40,14,7,7,1,1,7,0,35,29,35.0,2025_this_team
Omar Graham Jr.,156275,LB,FLORIDA ST,12,8,0,75.0,0,0,167,0,0,65.6,67.6,83.2,54.6,69.8,61.0,0,4,0,0,21,15.6,7,0,0,87.5,9,0,0,233,1,126,318,54,0,0,54,0,0,264,33,159,29,23,30,0,12,4,0,66,52,7.3,2025_this_team
Elijah Herring,157614,LB,FLORIDA ST,12,14,0,90.0,0,0,167,0,0,34.9,60.1,82.3,61.8,83.2,62.0,0,4,0,1,42,14.0,7,0,0,124.6,18,2,0,333,2,170,375,13,0,0,13,0,0,362,37,168,27,18,29,2,20,6,4,188,91,10.4,2025_this_team
Ashton Bracewell,170331,LB,FLORIDA ST,2,0,0,,0,0,167,0,0,62.3,61.9,73.3,58.9,60.3,75.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,7,0,5,15,6,0,0,6,0,0,9,2,8,2,1,2,1,0,0,0,0,0,,2025_this_team
Blake Nichelson,170350,LB,FLORIDA ST,12,15,1,78.6,0,0,167,1,0,53.8,66.8,84.6,58.5,79.7,79.5,0,8,0,0,36,8.7,4,0,0,109.2,11,0,0,292,0,185,420,49,0,0,49,0,1,371,35,200,77,17,27,5,14,8,0,143,112,13.0,2025_this_team
Brandon Torres,170358,LB,FLORIDA ST,1,0,0,,0,0,167,0,0,,60.1,61.7,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,2025_this_team
Justin Cryer,175949,LB,FLORIDA ST,12,10,0,65.0,0,0,167,0,0,41.5,56.1,84.5,59.1,68.0,61.8,0,7,0,0,16,14.0,6,1,0,94.8,13,1,0,274,0,144,381,54,0,0,54,0,0,327,38,199,52,15,27,3,20,8,1,105,63,8.1,2025_this_team
Jayden Parrish,183308,LB,FLORIDA ST,2,2,1,100.0,0,0,167,0,0,52.0,72.7,72.1,66.9,82.3,49.1,0,0,0,0,10,20.0,1,0,0,108.3,1,0,0,20,0,7,23,1,0,0,1,0,0,22,4,12,2,1,2,0,1,0,0,10,9,10.0,2025_this_team
Gav Holman,190568,LB,FLORIDA ST,2,2,1,100.0,0,0,167,0,0,50.4,68.7,72.4,67.8,74.0,79.0,0,1,0,0,19,0.0,0,0,0,118.8,1,0,0,15,0,6,22,5,0,0,5,0,0,17,3,13,2,1,2,0,1,1,0,19,7,19.0,2025_this_team
Chris Jones,191241,LB,SO MISS,13,37,0,75.0,0,1,296,0,0,48.4,67.8,58.0,70.3,76.8,62.4,0,10,0,1,34,16.5,23,1,1,94.1,24,5,0,580,2,281,706,51,0,0,51,0,0,655,79,346,73,52,79,5,32,15,0,327,153,13.6,arrival_2025_at_SO MISS
