player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Korey Foreman,70831,ED,FRESNO ST,13,4,1,66.7,1,0,169,0,0,46.4,66.6,36.4,69.4,70.5,58.7,4,10,0,0,17,21.7,5,2,2,103.5,2,4,0,0,0,18,322,322,0,4,315,3,0,0,191,113,0,13,14,2,3,18,0,33,10,16.5,2025_this_team
Finn Claypool,149576,ED,FRESNO ST,13,5,0,33.3,1,1,169,0,0,55.8,81.9,72.0,84.7,75.0,72.5,15,29,0,0,2,12.5,4,0,1,81.9,1,7,0,0,0,22,504,503,0,5,495,3,0,1,286,196,0,22,23,4,3,51,1,2,0,2.0,2025_this_team
Julius Gandy,163399,DI,FRESNO ST,13,3,0,,0,0,169,0,0,61.4,53.4,81.4,58.5,49.0,54.5,0,2,0,0,,18.2,2,0,0,0.0,0,2,0,0,0,0,232,232,3,218,0,11,0,0,110,122,0,5,6,1,0,4,0,0,0,,2025_this_team
Jahzon Jacks,163403,ED,FRESNO ST,13,9,1,,0,0,169,4,0,58.2,64.2,68.6,56.7,71.1,55.1,7,9,0,0,,19.4,6,0,1,0.0,0,2,0,3,0,12,480,475,1,94,338,42,0,5,258,210,0,12,16,3,0,18,0,0,0,,2025_this_team
Sione Noa,163409,ED,FRESNO ST,5,1,0,,0,0,169,0,0,60.0,61.5,81.2,68.0,54.0,28.5,0,3,0,0,,40.0,2,0,0,0.0,0,2,0,0,0,1,96,96,0,1,95,0,0,0,44,51,0,4,2,1,0,5,0,0,0,,2025_this_team
Merhauti Xepera,163422,ED,FRESNO ST,13,9,3,,1,1,169,0,0,63.1,67.1,64.2,56.5,72.6,67.8,0,9,0,0,,9.4,3,0,1,0.0,0,1,0,0,0,8,377,375,0,54,317,4,0,2,183,186,0,18,20,5,0,10,0,0,0,,2025_this_team
Maverick Noonan,170236,ED,NEBRASKA,4,0,0,,0,0,238,1,0,,66.4,74.4,57.2,67.6,29.5,0,0,0,0,,50.0,1,0,0,0.0,0,0,0,0,0,0,19,19,0,0,17,2,0,0,5,14,0,0,1,0,0,0,0,0,0,,arrival_2025_at_NEBRASKA
Michael Jordan Jr.,170734,DI,FRESNO ST,13,13,0,,0,0,169,0,0,59.4,65.3,55.7,64.9,65.2,75.9,1,5,0,0,,3.8,1,0,1,0.0,0,0,0,0,0,1,308,308,26,278,0,4,0,0,138,169,0,6,12,0,0,6,0,0,0,,2025_this_team
Martin Owusu,173416,DI,FRESNO ST,9,7,2,,0,0,169,1,0,62.1,64.4,53.4,55.8,68.5,67.1,0,3,0,0,,8.3,2,0,1,0.0,0,0,0,0,0,1,286,286,20,262,0,4,0,0,143,142,0,11,15,0,0,3,0,0,0,,2025_this_team
Isiah Chala,173522,ED,FRESNO ST,2,1,0,,0,0,169,0,0,,63.3,88.1,,61.7,71.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,5,3,0,0,3,0,0,2,0,5,0,0,0,0,0,0,0,0,0,,2025_this_team
Mordecai Hines,173524,DI,FRESNO ST,6,0,0,,0,0,169,0,0,60.0,56.3,0.0,76.2,53.7,77.0,1,2,0,0,,0.0,0,0,3,0.0,0,1,0,0,0,0,93,93,0,89,0,4,0,0,47,46,0,6,5,1,0,4,0,0,0,,2025_this_team
Deijon Laffitte,176637,DI,FRESNO ST,11,6,2,,0,0,169,0,0,60.0,63.4,62.9,60.3,65.2,75.7,2,11,0,1,,15.4,4,0,1,0.0,0,3,0,2,0,5,433,431,0,397,0,34,0,2,244,184,0,16,16,3,0,16,0,0,0,,2025_this_team
Noah Yeh,177766,ED,FRESNO ST,7,2,0,,0,0,169,0,0,57.2,62.9,15.9,72.1,60.6,27.6,3,2,0,0,,50.0,3,0,1,0.0,0,0,0,0,0,1,88,88,0,20,66,2,0,0,52,35,0,0,1,0,0,5,0,0,0,,2025_this_team
Auckland Asiata,191075,DI,FRESNO ST,3,0,0,,0,0,169,0,0,59.9,58.5,78.4,57.8,59.0,,0,4,0,0,,,0,0,0,0.0,0,0,0,0,0,1,100,100,2,90,0,8,0,0,56,43,0,0,0,0,0,4,0,0,0,,2025_this_team
Logan Goodspeed,198450,DI,FRESNO ST,3,0,0,,0,0,169,0,0,,57.0,73.5,66.2,51.0,22.5,1,1,0,0,,50.0,1,0,0,0.0,0,0,0,0,0,0,21,21,0,19,0,2,0,0,12,9,0,1,1,0,0,2,0,0,0,,2025_this_team
Bryson Harrington,198453,ED,FRESNO ST,1,0,0,,0,0,169,0,0,,61.3,66.5,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,2025_this_team
