player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Zion Branch,74395,S,GEORGIA,9,2,0,87.5,0,0,173,0,0,65.8,67.8,83.0,57.8,71.5,79.0,0,0,0,0,20,7.1,2,1,2,99.0,7,0,0,59,1,140,231,3,0,0,3,0,138,228,1,90,30,10,24,1,8,0,0,62,26,8.9,2025_this_team
JaCorey Thomas,157078,S,GEORGIA,14,11,0,68.2,0,0,173,0,0,63.4,66.8,26.7,68.6,75.6,83.7,0,2,0,0,40,7.8,4,0,1,102.8,15,1,0,72,3,293,484,7,0,0,7,0,352,477,4,187,50,8,36,0,22,3,1,152,54,10.1,2025_this_team
Daylen Everette,157079,CB,GEORGIA,13,12,0,55.9,0,0,173,1,1,65.8,69.7,51.7,51.7,90.1,78.5,0,5,0,1,75,8.8,5,7,5,84.2,38,0,0,89,618,450,751,2,0,0,2,0,0,749,8,293,42,16,40,1,68,5,3,440,199,11.6,2025_this_team
Gentry Williams,158084,CB,OKLAHOMA,6,3,0,54.5,0,0,261,0,0,66.3,63.8,0.0,58.3,58.9,61.2,0,0,0,0,38,14.3,2,1,1,68.4,6,0,0,8,168,99,178,2,0,0,2,0,0,176,1,78,0,3,9,1,11,0,0,55,43,9.2,arrival_2025_at_OKLAHOMA
Adrian Maddox,160267,S,GEORGIA,4,0,0,100.0,0,0,173,0,0,69.5,71.1,77.8,,70.4,62.2,0,0,0,0,1,25.0,1,0,0,79.2,1,0,0,17,0,40,67,0,0,0,0,0,44,67,0,27,6,1,3,0,1,0,0,1,2,1.0,2025_this_team
Jaden Harris,162734,S,GEORGIA,4,1,0,100.0,0,0,173,0,0,57.5,60.6,78.8,59.7,72.0,57.9,0,0,0,0,18,16.7,1,0,0,106.3,4,0,0,9,0,44,56,2,0,0,2,0,21,54,1,11,24,1,4,0,4,0,0,38,13,9.5,2025_this_team
Khalil Barnes,170001,S,CLEMSON,10,7,0,69.7,0,0,140,0,0,68.6,64.9,86.1,67.8,50.2,63.6,1,2,0,0,43,16.3,8,1,0,122.8,23,0,0,136,2,345,522,8,0,0,8,0,291,514,10,167,85,13,34,1,33,3,3,256,96,11.1,arrival_2025_at_CLEMSON
Joenel Aguero,173536,S,GEORGIA,12,11,0,72.7,0,0,173,0,0,65.4,67.0,89.5,61.9,69.3,63.5,2,1,0,1,24,14.6,7,1,2,78.5,32,0,0,83,17,307,563,62,0,0,62,0,26,501,23,233,375,13,30,1,44,3,0,267,220,8.3,2025_this_team
Kyron Jones,176331,S,GEORGIA,6,5,0,60.0,0,0,173,1,0,61.6,69.2,81.5,57.4,84.8,82.9,0,0,0,0,17,7.4,2,0,0,82.1,3,0,0,60,0,113,209,1,0,0,1,0,130,208,2,94,18,5,20,0,5,0,0,36,26,12.0,2025_this_team
Daniel Harris,182310,CB,GEORGIA,5,1,0,62.5,0,0,173,0,0,55.5,57.1,80.0,,66.0,39.3,0,0,0,0,57,28.6,2,0,0,145.8,5,0,0,3,133,81,138,0,0,0,0,0,0,138,0,57,2,0,4,0,8,0,2,150,25,30.0,2025_this_team
