player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Christen Miller,163747,DI,GEORGIA,14,1,0,,0,0,173,0,0,61.9,84.5,44.8,70.0,90.2,47.3,2,17,0,0,,19.2,5,0,2,0.0,0,0,0,1,0,0,437,436,113,298,2,23,0,1,244,193,0,15,20,3,0,19,0,0,0,,2025_this_team
Elo Modozie,170992,ED,GEORGIA,14,1,0,50.0,0,0,173,0,0,65.2,59.6,85.9,53.0,63.0,71.0,1,7,0,0,5,9.1,1,0,0,56.3,1,0,0,5,0,19,149,133,0,0,132,1,0,16,77,53,11,6,9,1,2,8,0,5,0,5.0,2025_this_team
Gabe Harris Jr.,173547,ED,GEORGIA,13,8,0,,0,0,173,0,0,61.5,65.4,87.7,63.3,63.7,64.8,4,14,0,0,,12.0,3,0,0,0.0,0,1,0,13,0,9,443,429,0,38,290,101,0,14,258,176,1,12,14,5,0,19,0,0,0,,2025_this_team
Jordan Hall,173549,DI,GEORGIA,8,3,0,,0,0,173,0,0,61.1,59.4,79.5,56.9,58.8,78.4,0,3,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,153,153,4,114,5,30,0,0,80,73,0,8,8,2,0,3,0,0,0,,2025_this_team
Xzavier McLeod,174324,DI,GEORGIA,14,7,2,,0,0,173,0,0,62.1,69.4,83.7,55.3,75.1,61.6,3,2,0,0,,11.1,2,0,0,0.0,0,0,0,1,0,0,272,271,103,154,0,14,0,1,150,122,0,6,9,0,0,5,0,0,0,,2025_this_team
Josh Horton,175377,DI,GEORGIA,14,5,1,,0,0,173,0,0,61.7,61.5,80.6,53.8,66.5,41.2,1,5,0,0,,18.2,2,0,0,0.0,0,0,0,1,0,0,173,172,20,116,3,33,0,1,116,57,0,2,4,0,0,6,0,0,0,,2025_this_team
Clinton Barlow,182686,DI,GEORGIA,1,0,0,,0,0,173,0,0,,70.0,67.8,,65.8,70.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,,2025_this_team
Amaris Williams,184415,ED,AUBURN,11,5,0,,0,0,115,0,0,62.9,60.0,0.0,62.1,62.7,51.8,0,5,0,0,,25.0,5,0,3,0.0,0,2,0,1,0,0,210,209,3,42,106,58,0,1,135,75,0,10,10,4,0,7,0,0,0,,arrival_2025_at_AUBURN
Quintavius Johnson,184564,ED,GEORGIA,14,4,4,90.0,0,1,173,0,0,43.1,63.1,73.4,55.0,79.6,56.9,3,6,0,0,15,15.8,6,0,1,100.0,9,2,0,12,0,69,549,516,0,5,498,13,0,33,255,225,21,20,28,5,10,11,0,80,79,8.9,2025_this_team
Joseph Jonah-Ajonye,184565,ED,GEORGIA,14,10,1,100.0,0,0,173,0,0,63.2,66.0,84.3,60.1,66.7,40.3,0,15,0,0,27,20.0,4,0,0,118.8,1,0,0,0,0,1,326,326,2,68,151,105,0,0,199,126,0,4,6,1,1,15,0,27,29,27.0,2025_this_team
