player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Prince Green III,144812,S,GA SOUTHRN,7,2,0,57.1,0,0,174,0,0,38.4,37.2,80.5,56.2,37.9,34.1,0,2,0,0,18,30.4,7,1,0,72.3,4,0,0,41,0,68,131,4,0,0,4,0,71,127,4,59,15,3,14,0,7,2,0,38,37,9.5,2025_this_team
Justin Meyers,147126,S,GA SOUTHRN,13,20,0,73.5,0,0,174,0,0,47.6,54.3,50.4,53.5,65.4,90.6,1,3,0,0,74,6.7,7,3,2,131.0,25,0,0,345,8,336,687,17,0,0,17,0,271,670,20,331,45,20,78,1,34,4,2,392,183,15.7,2025_this_team
Chance Gamble,147978,CB,GA SOUTHRN,4,3,0,41.7,0,0,174,0,0,73.4,65.0,81.9,48.8,39.8,54.8,0,0,0,1,17,19.0,4,3,0,21.2,5,0,0,17,214,97,241,1,0,0,1,0,0,240,3,141,9,5,14,0,12,0,0,55,7,11.0,2025_this_team
Chris Crouch,153213,S,GA SOUTHRN,10,1,0,100.0,0,0,174,1,0,62.6,56.6,0.0,58.2,52.5,54.2,0,2,0,0,26,20.0,2,0,1,118.8,2,0,0,37,1,48,85,1,0,0,1,0,42,84,7,30,4,2,7,0,2,2,0,30,7,15.0,2025_this_team
Carlo Thompson,156385,S,GA SOUTHRN,1,1,0,100.0,0,0,174,0,0,65.6,65.6,75.0,59.8,60.5,74.3,0,0,0,0,5,0.0,0,0,0,87.5,1,0,0,5,0,9,17,1,0,0,1,0,3,16,1,7,8,0,0,0,1,0,0,5,7,5.0,2025_this_team
Gregory Delaine,158296,CB,SYRACUSE,10,2,0,83.3,0,0,304,0,0,48.6,51.8,79.9,,64.7,65.6,0,0,0,0,27,11.1,1,0,1,114.6,5,0,0,9,104,59,120,2,0,0,2,0,0,118,0,61,4,2,6,0,6,0,0,69,10,13.8,arrival_2025_at_SYRACUSE
Tracy Hill Jr.,158350,CB,GA SOUTHRN,13,5,0,62.3,3,0,174,0,0,65.7,65.0,50.6,50.9,64.1,69.1,0,0,0,1,53,13.0,7,6,7,94.6,38,0,0,41,670,384,740,2,0,0,2,0,0,738,6,350,27,7,42,3,61,0,3,455,142,12.0,2025_this_team
AJ Brown Sr.,172507,CB,GA SOUTHRN,7,1,0,75.0,0,0,174,0,0,60.8,57.1,78.2,,44.0,33.2,0,0,0,0,11,33.3,2,0,0,87.5,3,0,0,5,80,40,86,1,0,0,1,0,0,85,0,46,0,1,3,0,4,0,0,22,15,7.3,2025_this_team
Ayden Jackson,174147,S,GA SOUTHRN,13,24,0,45.8,0,1,174,0,0,67.8,61.6,0.0,59.1,58.8,65.4,0,2,0,3,62,14.7,14,2,5,62.3,11,0,0,247,1,350,742,22,0,0,22,0,355,720,21,371,116,16,57,4,24,2,2,195,96,17.7,2025_this_team
Jayden Davis,176145,S,GA SOUTHRN,1,3,0,100.0,0,0,174,0,0,63.4,57.0,0.0,60.0,57.0,85.8,0,0,0,0,17,0.0,0,0,1,118.8,1,0,0,26,0,21,52,0,0,0,0,0,20,52,1,30,6,0,6,0,1,0,0,17,14,17.0,2025_this_team
Jeremiah Holmes,184280,CB,GA SOUTHRN,1,0,0,50.0,0,0,174,0,0,39.9,39.1,73.4,,60.0,74.8,0,0,0,0,12,0.0,0,0,0,68.8,1,0,0,0,0,5,7,0,0,0,0,0,0,7,0,2,7,0,1,0,2,0,0,12,5,12.0,2025_this_team
Dorrian Smith,184289,CB,GA SOUTHRN,13,6,0,68.3,1,4,174,0,0,74.8,75.7,89.7,52.3,79.1,58.5,0,1,0,2,75,17.5,10,4,3,90.1,41,0,0,125,76,384,763,23,0,0,23,0,51,740,20,359,487,17,41,6,60,1,3,408,231,10.0,2025_this_team
Jaylen Bentley,188371,S,GA SOUTHRN,9,1,0,57.1,0,0,174,0,0,29.5,33.3,77.5,59.2,69.5,80.7,0,0,0,0,61,0.0,0,0,0,141.4,4,0,0,55,1,52,94,2,0,0,2,0,25,92,1,41,11,0,3,0,7,0,1,109,79,27.3,2025_this_team
Jaquari Brown,188372,CB,GA SOUTHRN,13,2,0,67.9,0,1,174,0,0,63.1,59.3,21.3,53.6,49.1,47.5,0,1,0,0,56,23.3,7,3,1,112.2,19,0,0,31,319,177,362,0,0,0,0,0,1,362,4,181,10,5,21,1,28,1,1,280,95,14.7,2025_this_team
Devin Collier,188374,S,GA SOUTHRN,13,4,0,75.0,0,0,174,0,0,68.4,58.8,0.4,59.0,44.9,77.0,0,0,0,1,30,8.6,3,0,2,63.5,6,0,0,155,5,115,238,3,0,0,3,0,56,235,4,119,19,5,28,0,8,0,0,74,24,12.3,2025_this_team
Phillip Gladney,188376,CB,GA SOUTHRN,9,1,0,75.0,0,0,174,1,0,69.8,69.3,82.4,52.3,69.5,39.8,0,1,0,0,14,37.5,3,1,0,83.9,6,0,0,14,0,57,127,4,0,0,4,0,9,123,4,66,100,1,4,0,8,1,0,37,18,6.2,2025_this_team
Elijah McDowell,188380,CB,GA SOUTHRN,5,0,0,50.0,0,0,174,0,0,45.0,43.1,0.0,55.4,54.5,80.5,0,0,0,1,44,0.0,0,3,1,95.5,7,0,0,8,90,50,101,0,0,0,0,0,0,101,1,50,3,1,5,0,14,0,2,141,31,20.1,2025_this_team
Fabo Chaney,207849,CB,GA SOUTHRN,10,1,0,63.6,0,1,174,1,0,61.1,59.4,82.0,56.2,49.7,61.6,0,2,0,0,42,14.8,4,1,2,102.8,14,0,0,17,256,165,277,2,0,0,2,0,0,275,2,110,2,5,22,1,22,2,0,252,75,18.0,2025_this_team
