player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Camden Brown,157049,WR,GA SOUTHRN,13,15.5,11,62.9,75.9,22,29,0,2.9,2,0.09,50,174,0,87.0,75.1,76.5,,79.7,0.0,0,3,73,0.0,0,512,3,44.5,66,95.7,490,18.4,94,125.3,105,14,81.6,418,1088,296,4.5,16.5,2.22,2025_this_team
Dalen Cobb,158341,WR,GA SOUTHRN,12,5.8,10,68.7,46.2,6,13,0,10.9,7,-0.03,24,174,2,58.6,40.7,61.6,64.4,63.3,1.3,4,4,43,0.3,1,317,0,41.7,57,93.7,297,78.5,249,76.7,83,3,18.3,58,506,411,7.2,8.9,1.7,2025_this_team
Marcus Sanders Jr.,158361,WR,GA SOUTHRN,13,12.7,13,64.9,53.3,8,15,0,7.4,4,0.1,35,174,1,70.3,45.9,68.3,80.0,67.1,0.0,0,1,52,1.2,6,485,3,44.5,50,94.6,459,14.0,68,115.6,77,5,85.6,415,797,335,6.7,15.9,1.74,2025_this_team
Taylor Bradshaw,174176,WR,GA SOUTHRN,13,5.7,3,61.5,33.3,1,3,0,15.8,3,0.17,8,174,0,47.5,69.5,54.1,70.5,54.5,2.6,5,1,22,2.6,5,195,0,46.3,16,93.8,183,86.2,168,71.2,26,1,10.3,20,131,115,7.2,8.2,0.72,2025_this_team
Ahmon Green,123857,TE,GA SOUTHRN,13,6.4,0,64.0,33.3,1,3,1,5.9,1,0.15,9,174,0,71.9,70.0,42.7,69.7,45.1,58.5,241,0,29,28.6,118,412,4,46.5,16,68.0,280,34.0,140,83.1,25,0,5.8,24,166,91,5.7,10.4,0.59,2025_this_team
Josh Dallas,158343,WR,GA SOUTHRN,2,3.8,0,70.0,0.0,0,1,0,12.5,1,-0.33,3,174,0,56.4,71.2,60.8,,60.0,0.0,0,0,17,0.0,0,39,0,33.3,7,92.3,36,79.5,31,85.0,10,0,17.9,7,59,50,7.1,8.4,1.64,2025_this_team
Dylan Gary,163785,WR,GA SOUTHRN,10,9.9,0,85.7,66.7,2,3,0,0.0,0,0.12,4,174,0,77.5,66.2,63.7,,67.3,0.0,0,0,16,0.0,0,37,0,40.0,6,94.6,35,18.9,7,141.4,7,1,81.1,30,59,9,1.5,9.8,1.69,2025_this_team
Alex Taylor,183341,WR,N CAROLINA,6,11.5,0,50.0,0.0,0,2,0,0.0,0,-0.17,1,245,0,73.1,64.1,51.1,,50.1,0.0,0,1,15,0.0,0,65,0,36.1,3,93.8,61,32.3,21,22.9,6,0,66.2,43,27,15,5.0,9.0,0.44,arrival_2025_at_N CAROLINA
Ashton Hollins,158207,WR,ILLINOIS,8,15.0,2,80.0,,0,0,0,20.0,1,-0.11,4,187,0,45.4,65.0,74.6,,73.9,0.0,0,0,49,0.0,0,24,0,36.4,4,91.7,22,8.3,2,158.3,5,1,91.7,22,108,44,11.0,27.0,4.91,arrival_2025_at_ILLINOIS
Antavious Murphy,188381,WR,GA SOUTHRN,7,-1.8,0,50.0,0.0,0,1,0,0.0,0,0.0,1,174,0,70.7,62.9,56.9,,56.7,0.0,0,0,11,0.0,0,33,0,28.1,2,97.0,32,81.8,27,56.3,4,0,15.2,5,11,16,8.0,5.5,0.34,2025_this_team
JP Mikhael,174199,TE,GA SOUTHRN,10,4.8,0,50.0,,0,0,0,0.0,0,0.01,0,174,0,70.7,62.9,53.0,75.2,46.7,62.0,67,0,4,38.9,42,108,0,41.3,2,59.3,64,24.1,26,56.3,4,0,10.2,11,7,5,2.5,3.5,0.11,2025_this_team
Carmelo Mays,184284,WR,GA SOUTHRN,1,15.0,0,33.3,0.0,0,1,0,50.0,1,-0.59,1,174,0,24.9,61.0,56.8,,57.0,0.0,0,0,5,0.0,0,7,0,16.7,1,85.7,6,0.0,0,42.4,3,0,100.0,7,5,2,2.0,5.0,0.83,2025_this_team
River Helms,145539,TE,GA SOUTHRN,1,12.0,0,33.3,,0,0,0,0.0,0,0.34,1,174,0,66.7,61.0,51.0,69.6,62.3,66.7,12,0,4,33.3,6,18,0,44.4,1,66.7,12,27.8,5,81.9,3,1,5.6,1,4,5,5.0,4.0,0.33,2025_this_team
Cam King,184403,WR,AUBURN,2,4.0,0,100.0,,0,0,0,0.0,0,0.72,1,115,0,66.7,61.0,69.5,,68.6,0.0,0,0,6,0.0,0,4,0,50.0,1,100.0,4,0.0,0,91.7,1,0,100.0,4,6,2,2.0,6.0,1.5,arrival_2025_at_AUBURN
Andre Greene Jr.,162748,WR,VIRGINIA,3,5.0,0,100.0,,0,0,0,0.0,0,0.91,0,335,0,66.7,61.0,54.6,,53.9,0.0,0,0,7,0.0,0,15,0,73.3,1,100.0,15,0.0,0,95.8,1,0,100.0,15,7,2,2.0,7.0,0.47,arrival_2025_at_VIRGINIA
