player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Eric Rivers,144279,WR,GA TECH,13,12.9,7,68.2,42.9,3,7,0,6.3,3,0.2,31,176,0,74.1,80.9,72.7,,72.8,0.0,0,1,68,0.0,0,326,2,50.6,45,96.3,314,27.3,89,103.7,66,2,72.7,237,649,239,5.3,14.4,2.07,2025_this_team
Gavin Harris,177032,TE,NEW MEX ST,12,9.9,4,57.8,47.1,8,17,0,9.8,4,-0.14,25,242,0,62.5,72.6,62.0,54.2,63.9,34.5,178,0,35,14.7,76,516,1,39.3,37,79.8,412,55.6,287,90.7,64,1,0.8,4,541,197,5.3,14.6,1.31,arrival_2025_at_NEW MEX ST
Malik Rutherford,143929,WR,GA TECH,11,3.1,11,93.9,100.0,1,1,0,2.1,1,0.2,24,176,0,86.8,75.4,77.7,,82.7,1.4,3,0,71,0.0,0,208,0,49.5,46,95.2,198,85.1,177,131.2,49,3,10.1,21,519,378,8.2,11.3,2.62,2025_this_team
Isiah Canion,183213,WR,GA TECH,12,13.7,4,71.7,33.3,3,9,0,5.7,2,0.2,20,176,1,74.5,36.1,66.8,,66.0,0.0,0,0,42,0.0,0,297,2,51.6,33,95.3,283,10.1,30,134.3,46,4,89.9,267,480,162,4.9,14.5,1.7,2025_this_team
Bailey Stockton,175368,WR,GA TECH,11,7.2,3,69.0,100.0,1,1,0,4.8,1,-0.01,11,176,0,74.4,81.8,66.6,,66.7,0.0,0,2,33,0.0,0,125,2,46.2,20,93.6,117,92.8,116,62.9,29,0,6.4,8,223,118,5.9,11.2,1.91,2025_this_team
Jordan Allen,199699,WR,GA TECH,9,3.2,6,92.0,100.0,1,1,0,4.2,1,0.47,9,176,1,76.5,33.4,77.8,,75.5,0.0,0,0,78,0.0,0,75,0,58.3,23,96.0,72,93.3,70,118.0,25,0,5.3,4,308,261,11.3,13.4,4.28,2025_this_team
Brett Seither,98371,TE,GA TECH,12,12.7,5,57.9,,0,0,0,8.3,1,0.14,9,176,0,64.6,68.2,58.3,60.8,61.2,58.2,96,1,30,14.5,24,165,2,45.6,11,83.0,137,31.5,52,74.9,19,0,7.9,13,212,107,9.7,19.3,1.55,2025_this_team
Dean Patterson,145224,WR,GA TECH,13,11.5,3,44.4,50.0,1,2,0,11.1,1,0.23,3,176,0,61.0,67.5,54.6,,54.7,0.0,0,1,84,0.0,0,153,1,44.6,8,96.7,148,11.1,17,87.7,18,2,88.9,136,150,156,19.5,18.8,1.01,2025_this_team
Luke Harpring,189418,TE,GA TECH,13,5.8,2,81.3,0.0,0,1,0,0.0,0,0.05,8,176,0,82.7,69.2,65.6,61.3,69.0,56.1,78,1,27,12.9,18,139,1,44.1,13,84.9,118,36.7,51,81.8,16,0,5.8,8,158,103,7.9,12.2,1.34,2025_this_team
Zion Taylor,170079,WR,GA TECH,13,12.6,0,73.3,,0,0,0,0.0,0,0.28,5,176,0,81.5,68.2,63.0,,64.5,0.0,0,0,45,0.0,0,81,0,49.4,11,95.1,77,27.2,22,121.2,15,1,72.8,59,129,42,3.8,11.7,1.68,2025_this_team
Josh Beetham,129407,TE,GA TECH,13,6.0,0,75.0,,0,0,0,25.0,2,0.72,6,176,0,33.4,67.0,64.9,61.5,74.8,73.9,51,0,49,43.5,30,69,0,53.1,6,56.5,39,15.9,11,156.3,8,2,2.9,2,134,84,14.0,22.3,3.44,2025_this_team
Jaiven Plummer,158326,WR,CAL,11,24.5,0,25.0,25.0,1,4,0,0.0,0,0.04,2,130,0,70.7,62.9,54.9,,58.4,0.0,0,1,51,0.0,0,57,2,47.3,2,96.5,55,14.0,8,71.9,8,1,86.0,49,86,7,3.5,43.0,1.56,arrival_2025_at_CAL
J.T. Byrne,146347,TE,GA TECH,13,8.2,0,83.3,,0,0,1,0.0,0,0.27,3,176,0,76.3,65.7,52.2,47.6,61.6,75.8,94,0,21,57.3,71,124,2,56.9,5,42.7,53,11.3,14,132.6,6,2,2.4,3,38,16,3.2,7.6,0.72,2025_this_team
Jaylen Mbakwe,184540,WR,ALABAMA,2,12.3,0,100.0,,0,0,0,0.0,0,1.11,3,103,0,74.9,69.9,75.8,,77.3,0.0,0,0,26,0.0,0,16,0,84.6,3,81.3,13,18.8,3,118.8,3,0,81.3,13,55,18,6.0,18.3,4.23,arrival_2025_at_ALABAMA
