player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Brandon Mack II,99105,ED,HOUSTON,13,14,0,81.8,0,2,182,0,0,67.2,69.6,53.6,62.0,75.0,51.5,4,8,0,0,22,20.9,9,0,2,91.7,9,5,0,5,0,60,515,480,0,1,479,0,0,35,230,225,30,20,20,1,11,17,0,66,30,7.3,2025_this_team
Everitt Rogers,123261,DI,HOUSTON,7,0,0,,0,0,182,0,0,,45.3,73.8,58.1,45.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,16,16,7,6,0,3,0,0,7,9,0,0,0,0,0,0,0,0,0,,2025_this_team
Carlos Allen Jr.,141334,DI,HOUSTON,13,22,3,,0,1,182,0,0,68.4,73.3,87.6,63.2,74.0,60.2,1,13,0,0,,11.7,9,0,0,0.0,0,3,0,1,0,2,679,678,306,354,2,16,0,1,345,332,0,34,46,4,0,17,0,0,0,,2025_this_team
Eddie Walls III,150853,ED,HOUSTON,13,11,4,100.0,0,0,182,0,0,67.7,77.4,87.6,69.9,75.3,75.0,10,25,0,0,-4,7.3,4,0,0,79.2,1,8,0,4,0,8,779,775,0,113,397,265,0,4,438,333,0,30,40,5,1,43,0,-4,1,-4.0,2025_this_team
De'Marion Thomas,172631,DI,OKLA STATE,4,6,0,,1,0,262,0,0,,57.5,32.7,56.0,60.4,79.0,0,0,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,148,148,36,108,1,3,0,0,64,84,0,3,8,1,0,0,0,0,0,,arrival_2025_at_OKLA STATE
Latreveon McCutchin,173048,ED,HOUSTON,12,9,2,63.6,1,1,182,0,0,86.5,68.2,19.6,64.9,61.3,74.7,4,6,1,2,36,5.6,2,1,3,51.1,7,1,0,11,0,51,379,335,0,0,335,0,0,44,145,183,33,16,25,2,11,11,0,94,77,13.4,2025_this_team
Myles Parker,174574,DI,HOUSTON,12,3,0,,0,0,182,0,0,60.0,63.2,80.1,61.3,61.9,38.2,0,4,0,0,,20.0,2,0,0,0.0,0,0,0,0,0,1,102,102,51,50,0,1,0,0,52,49,0,1,5,1,0,4,0,0,0,,2025_this_team
Ashton Porter,176597,ED,OREGON,15,6,1,,0,0,264,0,0,60.0,66.3,84.1,56.6,70.6,84.9,2,5,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,1,245,244,0,29,138,77,0,1,116,128,1,5,14,1,0,8,0,0,0,,arrival_2025_at_OREGON
Khalil Laufau,176681,DI,HOUSTON,12,12,1,,0,1,182,0,0,63.3,72.1,85.8,57.9,77.8,41.3,1,13,0,0,,21.7,10,0,0,0.0,0,3,0,5,0,2,696,691,42,539,10,100,0,5,365,329,0,20,24,1,0,17,0,0,0,,2025_this_team
Xavier Stillman,183892,DI,HOUSTON,5,0,0,,0,0,182,0,0,,45.6,75.2,57.3,45.7,66.5,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,20,20,13,7,0,0,0,0,5,15,0,1,1,0,0,0,0,0,0,,2025_this_team
Zavian Tibbs,190820,DI,HOUSTON,9,2,1,,0,0,182,0,0,60.0,58.6,78.3,56.2,64.6,48.8,0,1,0,0,,12.5,1,0,0,0.0,0,0,0,0,0,0,100,100,0,77,5,18,0,0,54,46,0,4,5,0,0,1,0,0,0,,2025_this_team
Darius Washington,190821,ED,HOUSTON,4,1,0,,0,0,182,0,0,60.0,58.3,76.2,59.6,57.5,53.7,0,2,0,0,,33.3,2,0,0,0.0,0,0,0,0,0,1,54,54,0,6,18,30,0,0,13,40,0,1,3,0,0,2,0,0,0,,2025_this_team
Sheldon Rice,199703,ED,HOUSTON,1,0,0,,0,0,182,0,0,60.0,53.8,75.1,53.6,,,0,1,0,0,,,0,0,0,0.0,0,0,0,1,0,1,12,11,0,0,11,0,0,1,11,0,0,0,0,0,0,1,0,0,0,,2025_this_team
Chance Bryant,199704,ED,HOUSTON,9,1,0,100.0,0,0,182,0,0,64.9,69.4,83.4,62.9,69.2,78.9,0,1,0,0,5,0.0,0,0,0,87.5,1,0,0,4,0,10,88,72,0,0,72,0,0,16,22,56,12,2,2,0,1,1,0,5,5,5.0,2025_this_team
Reshad Sterling,199708,ED,HOUSTON,1,0,0,,0,0,182,0,0,,61.8,73.1,55.1,66.4,74.9,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,0,13,12,0,1,6,5,0,1,9,4,0,1,2,0,0,0,0,0,0,,2025_this_team
DK Mays,199715,DI,HOUSTON,2,0,0,,0,0,182,0,0,,59.3,67.3,59.7,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,2025_this_team
Travis Buhake,199721,ED,HOUSTON,3,0,0,,0,0,182,0,0,,52.4,74.4,57.6,52.3,74.8,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,0,26,25,0,4,8,13,0,1,9,17,0,1,3,0,0,0,0,0,0,,2025_this_team
