player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,_provenance
Alvin Ebosele,158554,T,HOUSTON,13,100.0,2,182,54.5,43.9,61.2,8,22,427,100.0,100.0,95.8,9,33,3,957,0,0,936,957,466,466,0,21,491,0,2025_this_team
Shadre Hurst,158418,G,TULANE,14,100.0,1,319,80.7,90.5,80.9,1,5,453,100.0,100.0,99.1,9,7,1,934,0,876,54,934,477,477,2,0,457,1,arrival_2025_at_TULANE
Dalton Merryman,176436,T,HOUSTON,12,100.0,0,182,65.8,63.8,66.7,1,16,393,100.0,100.0,96.8,5,21,4,866,0,0,0,866,429,429,0,866,437,0,2025_this_team
Anthony Boswell,190901,C,TOLEDO,13,100.0,2,316,77.0,79.9,80.1,2,8,422,100.0,100.0,98.8,9,10,0,819,819,0,0,819,448,448,0,0,371,0,arrival_2025_at_TOLEDO
Demetrius Hunter,156167,C,HOUSTON,12,100.0,2,182,59.7,57.9,61.9,2,8,357,100.0,100.0,98.3,8,11,1,811,811,0,0,811,391,391,0,0,420,0,2025_this_team
McKenzie Agnello,160062,G,HOUSTON,13,100.0,0,182,62.5,71.5,59.0,2,5,342,100.0,100.0,99.0,3,7,0,773,8,0,0,773,369,369,765,0,404,0,2025_this_team
Drew Terrill,158015,T,MIAMI OH,12,100.0,1,221,76.8,66.7,76.7,1,9,365,100.0,100.0,97.8,2,13,3,734,0,0,0,734,389,389,0,708,345,25,arrival_2025_at_MIAMI OH
Matthew Wykoff,147018,G,HOUSTON,13,100.0,0,182,60.9,59.2,61.7,0,10,324,100.0,100.0,98.5,4,10,0,720,152,378,0,720,354,354,190,0,366,0,2025_this_team
Jason Brooks Jr.,124347,G,HOUSTON,12,100.0,0,182,56.3,51.4,60.0,3,8,251,100.0,100.0,97.8,6,11,0,571,0,571,0,571,275,275,0,0,296,0,2025_this_team
Cedric Melton,124141,T,HOUSTON,4,100.0,0,182,42.5,0.0,57.2,0,2,24,100.0,100.0,91.7,0,3,1,84,0,0,0,84,26,26,0,84,58,0,2025_this_team
David Ndukwe,123458,T,HOUSTON,2,100.0,0,182,52.5,0.0,66.5,0,2,10,100.0,100.0,90.0,0,2,0,25,0,0,25,25,11,11,0,0,14,0,2025_this_team
Larry Crawford,183888,G,HOUSTON,6,100.0,0,182,58.9,62.9,57.8,0,0,7,100.0,100.0,100.0,0,0,0,25,0,22,0,25,9,9,2,0,16,1,2025_this_team
Ronnell McLain,190815,T,HOUSTON,2,100.0,0,182,53.5,,53.0,0,0,0,,,,0,0,0,10,0,0,10,10,0,0,0,0,10,0,2025_this_team
Hingano Hautau,190812,G,HOUSTON,1,100.0,0,182,60.4,,60.2,0,0,0,,,,0,0,0,7,0,0,0,7,0,0,7,0,7,0,2025_this_team
Cayden Bowie,173040,G,HOUSTON,2,100.0,0,182,59.5,,59.3,0,0,0,,,,0,0,0,7,0,0,0,7,0,0,7,0,7,0,2025_this_team
