player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Alex Perry,158184,WR,FIU,13,14.6,6,60.9,51.9,14,27,0,5.1,3,-0.01,38,166,0,78.3,74.3,74.7,,76.6,0.0,0,2,64,0.0,0,416,2,44.5,56,94.5,393,14.9,62,114.4,92,9,85.1,354,840,282,5.0,15.0,2.14,arrival_2025_at_FIU
Hank Beatty,158198,WR,ILLINOIS,13,7.7,13,78.4,45.5,5,11,0,0.0,0,0.15,34,187,0,93.8,83.1,82.4,72.7,81.3,0.3,1,4,62,0.5,2,367,0,51.1,69,93.5,343,80.9,297,99.9,88,3,16.3,60,861,442,6.4,12.5,2.51,2025_this_team
Jayshon Platt,156522,WR,FAU,12,13.2,6,59.0,69.2,9,13,0,8.0,4,0.08,30,165,0,63.1,37.1,64.4,61.9,64.1,0.0,0,6,48,0.2,1,533,0,44.4,46,93.6,499,4.9,26,78.7,78,5,94.9,506,715,141,3.1,15.5,1.43,arrival_2025_at_FAU
Hudson Clement,173172,WR,ILLINOIS,13,11.7,1,60.0,30.8,4,13,0,5.3,2,0.16,28,187,1,76.2,38.3,68.9,60.9,68.7,0.0,0,0,27,0.3,1,302,0,49.7,36,95.0,287,32.8,99,100.3,60,3,67.2,203,454,121,3.4,12.6,1.58,2025_this_team
Collin Dixon,175954,WR,ILLINOIS,13,13.7,6,63.6,50.0,5,10,0,7.9,3,0.22,25,187,0,60.8,73.0,67.1,63.1,65.6,0.3,1,1,61,0.3,1,330,0,54.2,35,93.6,309,15.8,52,119.4,55,5,83.6,276,548,186,5.3,15.7,1.77,2025_this_team
Justin Bowick,159603,WR,ILLINOIS,12,14.9,0,61.1,50.0,5,10,0,0.0,0,0.18,17,187,0,86.7,70.6,70.4,,70.2,0.0,0,1,25,0.0,0,173,1,54.7,22,93.1,161,6.9,12,111.7,36,5,93.1,161,265,41,1.9,12.0,1.65,2025_this_team
Cole Rusk,145753,TE,ILLINOIS,13,9.0,3,82.6,57.1,4,7,0,0.0,0,-0.11,10,187,0,86.3,70.4,79.2,67.1,81.9,55.1,75,0,27,13.2,18,136,1,46.5,19,82.4,112,41.2,56,120.5,23,1,3.7,5,217,60,3.2,11.4,1.94,2025_this_team
Ty Robinson,146317,WR,BALL ST,10,12.5,0,50.0,57.1,4,7,0,15.4,2,-0.38,6,117,0,49.5,68.4,58.2,,55.9,0.0,0,0,21,0.0,0,136,0,28.7,11,92.6,126,8.8,12,65.2,22,0,91.2,124,113,10,0.9,10.3,0.9,arrival_2025_at_BALL ST
Tanner Arkin,146008,TE,ILLINOIS,13,6.4,2,76.5,0.0,0,3,0,7.1,1,0.32,9,187,0,67.8,68.7,68.7,54.5,56.2,78.5,248,0,28,40.5,128,316,2,55.7,13,55.4,175,17.4,55,133.0,17,2,3.2,10,114,44,3.4,8.8,0.65,2025_this_team
Malik Elzy,175952,WR,ILLINOIS,4,10.4,2,70.0,33.3,1,3,0,0.0,0,0.18,5,187,0,78.5,66.7,69.8,,69.5,0.0,0,0,25,0.0,0,35,0,58.1,7,88.6,31,5.7,2,95.4,10,0,94.3,33,84,24,3.4,12.0,2.71,2025_this_team
Ashton Hollins,158207,WR,ILLINOIS,8,15.0,2,80.0,,0,0,0,20.0,1,-0.11,4,187,0,45.4,65.0,74.6,,73.9,0.0,0,0,49,0.0,0,24,0,36.4,4,91.7,22,8.3,2,158.3,5,1,91.7,22,108,44,11.0,27.0,4.91,2025_this_team
Alexander Capka-Jones,175953,WR,ILLINOIS,8,8.3,0,66.7,,0,0,0,0.0,0,-0.78,2,187,0,70.7,62.9,63.0,,63.0,0.0,0,0,19,0.0,0,25,0,40.9,2,88.0,22,28.0,7,100.7,3,0,72.0,18,31,11,5.5,15.5,1.41,2025_this_team
Jordan Anderson,158194,TE,ILLINOIS,7,0.0,0,100.0,100.0,1,1,0,0.0,0,-0.16,0,187,0,73.1,73.0,79.1,79.4,60.6,9.1,2,0,6,40.9,9,22,0,42.1,3,50.0,11,13.6,3,83.3,3,0,0.0,0,12,12,4.0,4.0,1.09,2025_this_team
Davin Stoffel,177226,TE,ILLINOIS,12,15.0,0,50.0,,0,0,0,0.0,0,0.36,1,187,0,66.7,61.0,62.2,73.7,52.6,50.0,23,0,24,17.4,8,46,1,59.5,1,76.1,35,37.0,17,93.8,2,0,10.9,5,24,17,17.0,24.0,0.69,2025_this_team
Mario Sanders,183512,WR,ILLINOIS,3,5.5,0,100.0,,0,0,0,0.0,0,1.63,2,187,0,70.7,64.6,85.4,,80.8,0.0,0,0,18,0.0,0,3,0,66.7,2,100.0,3,100.0,3,118.8,2,0,0.0,0,32,21,10.5,16.0,10.67,2025_this_team
Christian Abney,176079,TE,ILLINOIS,12,3.0,0,100.0,,0,0,0,0.0,0,0.43,1,187,0,66.7,61.0,74.8,74.5,58.8,93.6,44,0,12,63.8,30,47,1,59.5,1,31.9,15,6.4,3,116.7,1,0,0.0,0,12,9,9.0,12.0,0.8,2025_this_team
