player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Jaxon Rexroth,144864,LB,IOWA,13,5,0,84.6,0,0,192,0,0,65.8,66.3,87.0,58.6,67.0,65.5,1,3,0,1,20,12.5,3,0,0,64.4,11,0,0,49,5,89,242,95,0,0,94,1,0,147,26,127,92,7,16,2,13,4,0,93,70,8.5,2025_this_team
Jaden Harrell,144871,LB,IOWA,10,12,0,91.7,0,2,192,0,0,54.2,60.5,81.4,59.2,65.9,40.4,1,5,0,0,25,21.2,11,0,1,120.5,11,1,0,281,1,135,307,1,0,0,1,0,0,306,25,147,24,15,29,1,12,7,1,75,54,6.8,2025_this_team
Zach Twedt,144872,LB,IOWA,1,0,0,,0,0,192,0,0,60.0,82.7,67.2,64.2,68.7,73.6,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,4,0,1,4,0,0,0,0,0,0,4,1,2,0,1,1,0,0,1,0,0,0,,2025_this_team
Karson Sharar,144873,LB,IOWA,13,22,1,80.0,0,0,192,0,0,64.9,76.1,88.5,69.6,79.6,61.4,5,6,0,0,26,16.8,18,0,0,86.5,32,4,0,548,3,343,753,45,0,0,45,0,0,708,78,332,157,42,67,9,40,15,0,190,124,5.9,2025_this_team
Landyn Van Kekerix,156434,LB,IOWA,10,1,0,66.7,0,0,192,0,0,55.1,64.9,77.8,60.0,76.4,76.4,0,0,0,0,13,0.0,0,0,0,92.4,2,0,0,16,0,15,33,7,0,0,7,0,0,26,1,17,9,1,1,0,3,0,0,25,8,12.5,2025_this_team
Jayden Montgomery,156435,LB,IOWA,11,19,0,65.0,0,0,192,0,0,59.2,69.8,84.8,69.1,75.8,55.4,3,4,0,0,21,19.4,12,1,0,75.8,13,0,0,336,2,207,423,9,0,0,9,0,0,414,27,189,76,22,31,1,20,7,0,94,79,7.2,2025_this_team
Nolan DeLong,170148,LB,IOWA,4,0,0,,0,0,192,0,0,60.3,72.4,66.9,,71.1,76.0,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,8,0,2,9,0,0,0,0,0,0,9,0,7,0,1,2,0,0,0,0,0,0,,2025_this_team
Cam Buffington,189674,LB,IOWA,3,1,0,0.0,0,0,192,0,0,90.3,85.1,74.3,,66.6,82.8,0,0,0,1,,0.0,0,1,0,0.0,0,0,0,24,0,8,28,0,0,0,0,0,0,28,0,20,4,3,6,0,1,0,0,0,0,,2025_this_team
Preston Ries,189693,LB,IOWA,4,2,0,,0,0,192,0,0,,71.6,72.2,,71.0,59.8,0,0,0,0,,16.7,1,0,0,0.0,0,0,0,10,0,0,14,3,0,0,3,0,0,11,0,14,0,2,3,1,0,0,0,0,0,,2025_this_team
Derek Weisskopf,189697,LB,IOWA,4,1,0,,0,0,192,0,0,,55.6,72.9,60.0,55.4,76.5,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,5,0,0,12,5,0,0,5,0,0,7,1,11,1,0,1,0,0,0,0,0,0,,2025_this_team
