player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Jacob Gill,145036,WR,IOWA,13,9.3,1,61.5,77.8,7,9,1,14.3,4,-0.11,15,192,0,50.1,70.9,59.7,62.1,61.6,0.0,0,2,44,0.5,1,216,1,39.8,24,94.9,205,84.3,182,70.2,39,1,15.7,34,278,66,2.8,11.6,1.36,2025_this_team
DJ Vonnahme,189695,TE,IOWA,12,9.2,3,76.3,85.7,6,7,0,6.5,2,-0.08,19,192,0,71.4,71.6,68.0,41.5,83.1,54.3,107,0,51,26.4,52,197,0,41.2,29,71.1,140,39.1,77,139.6,38,3,4.1,8,434,223,7.7,15.0,3.1,2025_this_team
Kaden Wetjen,156448,WR,IOWA,13,3.5,8,73.3,0.0,0,2,0,4.3,1,0.03,7,192,1,76.5,70.4,64.9,,61.1,0.0,0,2,28,0.0,0,112,0,43.5,22,96.4,108,32.1,36,68.5,30,1,66.1,74,158,179,8.1,7.2,1.46,2025_this_team
Sam Phillips,149833,WR,IOWA,13,15.1,0,66.7,50.0,1,2,0,5.9,1,-0.12,14,192,0,70.9,70.4,61.9,,62.3,0.0,0,1,45,0.0,0,194,0,40.6,16,96.4,187,8.8,17,85.6,24,0,91.2,177,261,43,2.7,16.3,1.4,2025_this_team
Reece Vander Zee,189694,WR,IOWA,8,12.5,0,78.9,83.3,5,6,0,0.0,0,0.06,10,192,0,83.8,69.7,79.7,68.0,78.9,0.0,0,0,29,1.9,2,104,0,44.4,15,92.3,96,8.7,9,149.8,19,2,91.3,95,219,27,1.8,14.6,2.28,2025_this_team
Seth Anderson,147931,WR,IOWA,7,10.2,0,47.4,33.3,1,3,0,18.2,2,-0.24,2,192,0,44.7,67.5,49.5,,47.2,0.0,0,1,20,0.0,0,110,0,35.2,9,95.5,105,31.8,35,67.2,19,2,68.2,75,50,21,2.3,5.6,0.48,2025_this_team
Dayton Howard,170151,WR,IOWA,10,13.1,0,66.7,100.0,5,5,0,0.0,0,0.04,6,192,0,79.3,67.1,58.8,,58.4,0.0,0,1,42,0.0,0,124,0,45.4,8,96.0,119,14.5,18,82.3,12,1,85.5,106,91,20,2.5,11.4,0.76,2025_this_team
Hayden Large,170156,TE,IOWA,10,6.6,0,72.7,0.0,0,2,0,11.1,1,-0.09,5,192,0,59.3,67.1,75.0,71.0,67.5,81.0,102,0,17,60.3,76,126,1,42.3,8,39.7,50,11.1,14,82.4,11,0,4.0,5,52,40,5.0,6.5,1.04,2025_this_team
KJ Parker,189691,WR,IOWA,8,8.5,1,27.3,0.0,0,1,0,50.0,3,-0.21,1,192,0,16.7,65.0,52.0,,48.3,0.0,0,0,10,0.0,0,50,0,36.2,3,94.0,47,4.0,2,69.9,11,1,96.0,48,18,6,2.0,6.0,0.38,2025_this_team
Zach Ortwerth,128793,TE,IOWA,13,1.5,0,90.0,,0,0,0,10.0,1,0.01,4,192,0,61.0,67.5,42.6,60.6,55.1,66.7,78,0,24,30.8,36,117,2,46.0,9,66.7,78,25.6,30,98.3,10,0,5.1,6,76,68,7.6,8.4,0.97,2025_this_team
Addison Ostrenga,156430,TE,IOWA,2,10.0,0,50.0,0.0,0,1,0,0.0,0,-0.18,0,192,0,66.7,61.0,57.2,67.1,52.2,58.8,10,0,8,17.6,3,17,0,29.4,1,82.4,14,17.6,3,60.4,2,0,17.6,3,8,9,9.0,8.0,0.57,2025_this_team
Thomas Meyer,204058,TE,IOWA,2,10.0,0,0.0,,0,0,0,,0,-1.17,0,192,0,,,39.9,73.8,40.8,88.9,8,0,0,55.6,5,9,0,33.3,0,44.4,4,11.1,1,39.6,1,0,0.0,0,0,0,,,0.0,2025_this_team
Alex Eichmann,156429,WR,IOWA,1,-3.0,0,100.0,,0,0,0,0.0,0,-0.97,0,192,0,66.7,61.0,57.4,,60.7,0.0,0,0,2,0.0,0,1,0,0.0,1,100.0,1,100.0,1,79.2,1,0,0.0,0,2,5,5.0,2.0,2.0,2025_this_team
