player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Cannon Butler,138273,ED,IOWA STATE,4,0,0,,0,0,193,0,0,,68.7,73.4,68.0,61.4,,0,1,0,0,,,0,0,0,0.0,0,0,0,0,0,0,19,19,0,4,7,8,0,0,14,5,0,0,0,0,0,1,0,0,0,,2025_this_team
Max Baloun,138294,DI,WASH STATE,4,0,0,,0,0,341,0,0,59.1,56.9,78.5,57.1,58.6,38.1,0,5,0,0,,33.3,2,0,0,0.0,0,1,0,1,0,0,100,99,2,81,5,11,0,1,49,51,0,4,4,2,0,6,0,0,0,,arrival_2025_at_WASH STATE
Myles Mendeszoon,144552,ED,IOWA STATE,8,0,0,,0,0,193,0,0,60.0,68.8,76.7,66.5,64.7,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,36,36,0,2,25,9,0,0,23,12,0,0,0,0,0,0,0,0,0,,2025_this_team
Tamatoa McDonough,151151,ED,IOWA STATE,12,6,0,,0,1,193,0,0,55.6,52.8,86.4,54.0,52.3,46.3,2,14,0,0,,22.9,8,0,0,0.0,0,2,0,0,0,5,486,486,0,32,312,142,0,0,272,209,0,19,21,4,0,18,0,0,0,,2025_this_team
Ikenna Ezeogu,157591,ED,IOWA STATE,12,11,2,100.0,0,0,193,1,0,59.1,57.8,85.5,53.7,60.3,55.6,2,12,0,0,-3,15.4,4,0,0,79.2,1,0,0,0,0,3,566,566,2,127,235,202,0,0,306,257,0,9,11,2,1,14,0,-3,1,-3.0,2025_this_team
Domonique Orange,157602,DI,IOWA STATE,12,1,0,0.0,0,0,193,0,0,70.3,68.3,87.6,62.8,67.4,27.2,3,10,0,0,,25.0,7,1,0,39.6,0,0,0,4,0,6,547,543,412,92,12,27,0,4,317,224,0,16,20,1,1,13,0,0,0,,2025_this_team
Bryson Lamb,158514,DI,WASH STATE,12,7,2,,0,0,341,1,0,63.1,69.4,62.9,62.5,71.1,54.3,3,7,0,0,,13.8,4,0,1,0.0,0,1,0,0,0,1,433,433,16,354,6,57,0,0,228,204,0,17,18,2,0,11,0,0,0,,arrival_2025_at_WASH STATE
Vontroy Malone,162631,ED,IOWA STATE,8,1,0,,0,0,193,0,0,64.8,56.4,77.0,58.1,45.8,57.5,0,2,0,0,,16.7,1,0,0,0.0,0,0,0,0,0,0,54,54,0,3,27,24,0,0,28,26,0,3,4,1,0,2,0,0,0,,2025_this_team
Zaimir Hawk,174670,DI,IOWA STATE,11,1,0,,0,0,193,1,0,60.0,48.1,51.9,58.4,44.8,39.1,0,3,0,0,,25.0,3,0,2,0.0,0,0,0,1,0,0,236,235,184,44,0,7,0,1,129,107,0,8,8,2,0,3,0,0,0,,2025_this_team
Jack Janikowski,176679,ED,WASH STATE,13,1,0,100.0,0,1,341,0,0,60.0,72.1,82.6,71.9,71.7,65.4,0,3,0,0,26,14.3,1,0,0,158.3,1,1,0,0,0,1,168,168,0,2,147,19,0,0,91,76,0,6,5,1,1,4,1,26,2,26.0,arrival_2025_at_WASH STATE
