player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Corbet Mims,121534,ED,JVILLE ST,10,2,1,,0,0,196,0,0,,65.5,78.5,62.9,64.5,76.7,0,3,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,0,85,84,0,12,36,36,0,1,48,37,0,3,3,0,0,3,0,0,0,,2025_this_team
Gharin Stansbury,146281,ED,JVILLE ST,14,9,0,66.7,0,1,196,0,0,53.0,65.9,86.6,57.6,73.4,74.8,1,14,0,0,27,10.3,3,1,0,102.1,2,1,0,11,0,26,420,401,0,26,269,106,0,19,214,180,7,17,17,3,3,16,0,32,17,16.0,2025_this_team
Isaac Walker,147125,ED,JVILLE ST,13,7,0,94.7,0,1,196,0,0,48.5,63.3,89.8,69.4,65.9,73.9,4,16,0,0,15,9.7,3,0,0,115.4,18,3,0,37,0,111,497,413,0,0,409,4,5,84,155,231,41,16,21,2,19,23,1,142,81,7.9,2025_this_team
Khurtiss Perry,157007,DI,JVILLE ST,14,5,1,,1,0,196,1,0,61.5,66.5,0.0,70.0,68.1,61.6,1,14,0,0,,10.5,2,0,5,0.0,0,2,0,2,0,0,374,371,11,197,12,151,0,3,201,173,0,10,12,2,0,17,0,0,0,,2025_this_team
Jumarion Larry,163959,ED,JVILLE ST,1,0,0,,0,0,196,0,0,,70.9,72.7,66.8,64.4,71.5,0,0,0,0,,,0,0,0,0.0,0,1,0,0,0,0,12,12,0,0,6,6,0,0,7,5,0,1,0,0,0,1,0,0,0,,2025_this_team
Darrell Prater,163972,DI,JVILLE ST,14,5,0,,0,0,196,0,0,69.9,60.3,86.4,57.3,58.1,65.5,0,7,0,0,,8.0,2,0,0,0.0,0,3,0,0,0,1,413,412,237,154,1,20,0,1,210,202,0,12,18,1,0,10,0,0,0,,2025_this_team
Jacob Cruz,170065,ED,JVILLE ST,13,4,0,72.7,0,0,196,0,0,62.4,58.1,88.6,47.0,62.4,38.7,1,5,0,1,26,30.4,7,0,0,50.6,8,0,0,29,0,89,313,225,0,0,223,2,0,88,102,122,58,7,12,1,11,6,0,68,36,8.5,2025_this_team
Tae Floyd,170419,ED,JVILLE ST,6,0,0,,0,0,196,0,0,71.1,63.9,0.0,67.6,52.9,79.5,0,2,0,0,,0.0,0,0,1,0.0,0,1,0,25,0,19,67,38,0,0,38,0,0,29,25,23,4,3,4,0,0,3,0,0,0,,2025_this_team
Shane Payton Hodges,170431,ED,JVILLE ST,9,2,0,100.0,0,0,196,0,0,60.9,70.4,82.7,69.5,69.5,82.5,1,4,0,0,34,0.0,0,0,0,118.8,1,1,0,0,0,15,99,92,0,0,91,1,0,7,35,49,7,3,5,0,1,6,0,34,2,34.0,2025_this_team
Jackson Veasy,170442,DI,JVILLE ST,7,0,0,,0,0,196,0,0,,56.6,75.9,54.5,59.4,27.0,0,0,0,0,,33.3,1,0,0,0.0,0,0,0,0,0,0,50,50,0,29,2,19,0,0,31,19,0,1,2,0,0,0,0,0,0,,2025_this_team
Jawaun Campbell,189786,DI,JVILLE ST,9,9,0,,0,0,196,0,0,54.3,78.2,26.2,74.9,81.4,64.9,1,13,0,0,,6.9,2,0,2,0.0,0,0,0,0,0,1,295,295,20,153,4,118,0,0,171,123,0,12,18,3,0,14,0,0,0,,2025_this_team
Talan Carter,189787,DI,JVILLE ST,14,11,2,,0,0,196,0,0,65.8,75.9,28.0,63.5,84.7,67.7,4,17,0,0,,9.6,5,0,4,0.0,0,3,0,1,0,2,611,610,257,260,11,82,0,1,343,266,0,34,36,4,0,24,0,0,0,,2025_this_team
Emmanuel Oyebadejo,198573,ED,JVILLE ST,14,10,6,100.0,0,2,196,0,0,67.5,80.2,57.0,73.9,78.2,61.3,6,25,0,0,8,13.3,6,0,2,100.0,1,5,0,1,0,10,653,652,2,81,301,268,0,1,371,272,0,27,29,2,1,36,0,8,4,8.0,2025_this_team
Ian Mitchell,204928,ED,JVILLE ST,6,0,0,75.0,0,0,196,0,0,73.3,72.5,80.5,57.3,68.9,76.6,0,0,0,1,64,0.0,0,0,0,116.7,3,0,0,6,0,11,60,50,0,0,50,0,0,10,19,30,4,3,3,1,4,0,1,81,59,27.0,2025_this_team
Christopher Johnson,204938,DI,JVILLE ST,5,1,0,,0,0,196,0,0,,56.9,78.1,62.1,53.0,26.3,0,1,0,0,,33.3,1,0,0,0.0,0,0,0,0,0,0,53,53,25,28,0,0,0,0,30,23,0,1,1,0,0,1,0,0,0,,2025_this_team
Quay Hood,204945,ED,JVILLE ST,12,4,0,,0,0,196,0,0,60.0,61.6,81.1,61.4,59.4,69.9,0,3,0,0,,7.1,1,0,0,0.0,0,2,0,0,0,0,155,155,35,58,22,40,0,0,79,76,0,9,9,0,0,5,0,0,0,,2025_this_team
