player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Ronnel Johnson,178430,WR,MO STATE,13,12.0,5,58.3,21.4,3,14,0,10.3,4,0.07,21,230,3,60.8,16.6,58.2,61.9,58.6,0.0,0,2,35,0.3,1,352,1,43.5,35,95.7,337,58.8,207,80.1,60,2,41.2,145,463,120,3.4,13.2,1.37,arrival_2025_at_MO STATE
Deondre Johnson,175506,WR,JVILLE ST,14,18.9,3,52.6,55.0,11,20,0,16.7,6,0.05,28,196,0,39.3,72.7,65.9,,68.2,0.0,0,2,77,0.0,0,375,4,44.0,30,92.8,348,10.7,40,118.5,57,6,89.3,335,724,193,6.4,24.1,2.08,2025_this_team
Caleb Coombs,145277,WR,JVILLE ST,13,5.6,5,68.5,16.7,1,6,0,9.8,4,0.06,17,196,0,64.0,73.1,61.4,,61.2,2.1,6,1,21,0.0,0,281,0,44.5,37,93.6,263,94.0,264,72.5,54,0,3.9,11,272,185,5.0,7.4,1.03,2025_this_team
Brock Rechsteiner,150309,WR,JVILLE ST,13,9.1,8,70.6,57.1,8,14,0,7.7,3,-0.04,18,196,0,61.7,73.5,63.1,,63.1,2.1,7,0,56,0.0,0,326,1,42.1,36,93.3,304,26.7,87,124.9,51,5,71.2,232,383,252,7.0,10.6,1.26,2025_this_team
Pearson Baldwin,150307,TE,JVILLE ST,14,7.3,5,63.4,33.3,2,6,0,10.3,3,0.03,13,196,0,60.8,71.2,55.1,61.7,53.8,41.1,161,1,52,15.8,62,392,3,43.4,26,78.8,309,39.8,156,91.7,41,2,18.1,71,302,140,5.4,11.6,0.98,2025_this_team
Gabe Glover,204935,WR,JVILLE ST,13,9.9,1,33.3,0.0,0,2,0,33.3,2,0.09,1,196,0,25.7,75.6,53.9,43.6,49.1,1.8,1,1,11,3.6,2,55,0,43.4,4,90.9,50,25.5,14,7.6,12,0,70.9,39,28,32,8.0,7.0,0.56,2025_this_team
Michael Pettway,142023,WR,JVILLE ST,9,4.4,1,66.7,,0,0,0,11.1,1,-0.07,3,196,0,58.9,77.9,55.3,,55.5,0.0,0,0,18,0.0,0,99,1,38.5,8,97.0,96,31.3,31,78.1,12,0,68.7,68,59,56,7.0,7.4,0.61,2025_this_team
Franklin Baret Jr.,190389,WR,JVILLE ST,11,11.0,0,71.4,66.7,2,3,0,0.0,0,-0.23,3,196,0,76.3,65.7,58.9,,63.3,0.0,0,1,19,0.0,0,46,1,37.0,5,100.0,46,8.7,4,58.9,7,0,91.3,42,62,21,4.2,12.4,1.35,2025_this_team
Dylan Gentry,184401,WR,JVILLE ST,10,2.5,0,66.7,0.0,0,1,0,20.0,1,-0.68,2,196,0,45.4,65.0,57.1,,56.8,0.0,0,0,18,0.0,0,37,0,26.5,4,91.9,34,97.3,36,81.3,6,0,2.7,1,34,33,8.3,8.5,1.0,2025_this_team
Harrison Hamsley,147114,TE,JVILLE ST,11,2.5,0,50.0,,0,0,0,50.0,1,-0.2,0,196,0,24.5,61.0,45.9,72.6,43.7,55.4,31,0,2,28.6,16,56,2,41.2,1,66.1,37,26.8,15,56.3,2,0,10.7,6,2,3,3.0,2.0,0.05,2025_this_team
Aghogho Eyafe,170418,WR,JVILLE ST,1,10.0,0,0.0,,0,0,0,,0,-1.01,0,196,0,,,41.8,,53.5,0.0,0,0,0,0.0,0,1,0,0.0,0,100.0,1,0.0,0,39.6,1,0,100.0,1,0,0,,,0.0,2025_this_team
Colton Pitchford,170433,WR,JVILLE ST,2,-2.0,0,100.0,,0,0,0,0.0,0,-0.56,0,196,0,66.7,61.0,59.1,63.8,58.5,0.0,0,0,3,25.0,1,4,0,25.0,1,75.0,3,50.0,2,79.2,1,0,25.0,1,3,5,5.0,3.0,1.0,2025_this_team
Bryson Rouillier,198572,WR,JVILLE ST,1,11.0,0,0.0,,0,0,0,100.0,1,-1.58,0,196,0,16.4,,37.7,,44.0,0.0,0,0,0,0.0,0,2,0,0.0,0,100.0,2,100.0,2,39.6,1,0,0.0,0,0,0,,,0.0,2025_this_team
