player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Elijah Culp,121345,CB,JAMES MAD,13,5,0,49.1,0,0,197,0,0,72.6,72.6,0.0,64.7,78.5,50.9,0,2,0,1,44,17.0,9,5,8,68.7,27,0,0,76,626,442,763,12,0,0,12,0,5,751,12,309,42,18,39,2,55,2,2,279,111,10.3,2025_this_team
Ken Willis,133807,CB,JAMES MAD,8,1,0,50.0,1,0,197,0,0,57.7,57.6,0.0,,71.4,82.8,0,0,0,0,19,0.0,0,0,2,106.8,4,0,0,2,69,51,80,0,0,0,0,0,0,80,0,29,9,2,5,0,8,0,1,45,2,11.3,2025_this_team
Kye Holmes,148357,S,JAMES MAD,4,1,0,100.0,0,0,197,0,0,62.6,62.2,73.6,58.3,60.0,76.4,0,0,0,1,38,0.0,0,0,0,79.2,1,0,0,9,0,9,18,2,0,0,2,0,5,16,2,7,1,0,0,0,1,0,0,38,32,38.0,2025_this_team
Chantz Harley,148479,CB,JAMES MAD,5,0,0,,0,0,197,0,0,66.6,67.0,74.6,,63.1,,0,0,0,0,,,0,0,0,0.0,0,0,0,2,21,8,25,0,0,0,0,0,0,25,0,17,0,0,0,0,0,0,0,0,0,,2025_this_team
Curtis Harris-Lopez,149421,S,JAMES MAD,12,6,0,55.6,0,0,197,0,0,66.6,68.8,82.0,58.1,72.7,63.7,0,0,0,0,13,14.3,2,1,0,60.9,5,0,0,51,0,97,154,9,0,0,9,0,72,145,4,53,20,2,6,0,9,0,0,26,22,5.2,2025_this_team
Jacob Thomas,156722,S,JAMES MAD,14,21,1,58.6,1,1,197,0,0,73.1,77.9,59.3,86.3,77.1,56.4,3,6,0,2,48,20.8,16,5,4,77.2,17,2,0,320,4,427,790,57,0,0,57,0,250,733,43,320,156,22,40,2,29,11,2,223,107,13.1,2025_this_team
Justin Eaglin,156724,CB,JAMES MAD,14,3,0,49.3,0,0,197,0,0,72.7,74.7,86.2,,78.5,62.2,0,0,1,5,98,15.0,6,5,1,65.1,35,0,0,15,648,414,679,2,0,0,2,0,0,677,0,265,11,11,31,0,71,0,3,634,276,18.1,2025_this_team
Javis Mynatt,160007,S,TEXAS ST,13,10,0,60.0,0,1,314,1,0,63.1,70.6,85.1,62.3,80.5,70.4,0,0,0,0,54,15.6,7,0,0,120.0,6,1,0,161,0,205,450,15,0,0,15,0,207,435,12,233,66,12,28,0,10,1,2,68,26,11.3,arrival_2025_at_TEXAS ST
TJ McGill,170943,S,JAMES MAD,10,1,0,0.0,0,0,197,0,0,66.2,70.9,78.6,,76.2,70.4,0,0,0,0,,12.5,1,0,0,39.6,0,0,0,33,0,42,86,3,0,0,3,0,27,83,0,44,23,3,6,0,1,0,0,0,0,,2025_this_team
DJ Barksdale,172239,CB,JAMES MAD,14,8,0,57.1,1,0,197,0,0,75.2,73.1,28.6,50.0,72.2,57.3,0,2,0,2,69,19.0,8,10,6,86.7,36,0,0,80,103,447,782,14,0,0,14,0,5,768,17,318,577,12,26,2,63,2,4,440,242,12.2,2025_this_team
KJ Flowe,184303,CB,JAMES MAD,9,1,0,28.6,0,0,197,0,0,77.4,72.7,82.3,55.2,52.1,37.2,0,0,1,1,9,33.3,1,0,0,0.0,2,0,0,4,4,54,91,4,0,0,4,0,1,87,4,33,76,1,1,0,7,0,0,9,3,4.5,2025_this_team
Chase Regan,184308,S,JAMES MAD,7,0,0,0.0,0,0,197,0,0,66.0,65.9,72.4,59.0,62.6,73.1,0,0,0,0,,0.0,0,0,0,39.6,0,0,0,5,0,13,22,1,0,0,1,0,10,21,2,7,4,0,1,0,1,0,0,0,0,,2025_this_team
Mekhi Rodgers,185758,CB,JAMES MAD,13,3,0,37.5,0,0,197,0,0,59.3,59.4,79.3,66.4,55.5,67.9,1,0,0,0,29,10.0,1,0,2,51.6,6,0,0,20,111,87,136,2,0,0,2,0,1,134,3,46,1,2,6,0,16,1,0,70,4,11.7,2025_this_team
Tyler Brown,189982,S,JAMES MAD,14,16,0,54.8,1,0,197,0,0,72.8,72.9,54.9,57.5,74.4,86.6,0,1,0,1,45,8.2,7,5,4,73.9,17,1,0,273,8,418,735,17,0,0,17,0,287,718,16,301,148,23,62,4,31,2,1,214,55,12.6,2025_this_team
DJ Kelly,199325,CB,TOLEDO,8,2,0,37.5,0,0,316,0,0,75.4,76.6,80.9,69.0,69.7,66.4,0,0,0,1,32,14.3,1,1,0,16.1,3,1,0,1,122,84,138,0,0,0,0,0,0,138,2,52,14,2,4,0,8,1,0,43,15,14.3,arrival_2025_at_TOLEDO
