player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,_provenance
Zach Greenberg,190848,C,JAMES MAD,14,100.0,0,197,66.8,68.0,64.8,2,9,405,100.0,100.0,98.1,4,13,2,925,925,0,0,925,431,431,0,0,494,0,2025_this_team
Jo Simmons,156717,T,JAMES MAD,13,100.0,0,197,65.8,69.7,63.7,1,10,383,100.0,100.0,97.3,5,16,5,877,0,0,876,877,407,407,0,0,470,1,2025_this_team
Pat McMurtrie,102273,T,JAMES MAD,14,100.0,0,197,70.1,76.7,64.6,0,10,369,100.0,100.0,98.4,4,11,1,844,0,0,0,844,390,390,0,844,454,0,2025_this_team
Carter Sweazie,156714,G,JAMES MAD,14,100.0,0,197,64.1,65.0,64.8,1,6,359,100.0,100.0,98.5,4,9,2,805,0,805,0,805,382,382,0,0,423,0,2025_this_team
Riley Robell,172260,G,JAMES MAD,13,100.0,0,197,65.1,67.5,67.3,0,12,276,100.0,100.0,97.1,5,14,2,627,0,0,0,627,296,296,627,0,331,0,2025_this_team
Daniel Michel,175560,T,FIU,11,100.0,1,166,58.0,57.8,62.2,4,13,250,100.0,100.0,95.8,10,19,2,454,0,0,0,454,264,264,2,448,190,3,arrival_2025_at_FIU
Trent Wilson,198578,G,JAMES MAD,14,100.0,1,197,69.4,55.0,71.3,0,4,150,100.0,100.0,98.0,3,5,1,394,0,147,0,394,160,160,247,0,234,0,2025_this_team
Josh Toner,148364,G,JAMES MAD,10,100.0,0,197,59.9,50.7,60.1,1,4,87,100.0,100.0,97.1,0,5,0,203,0,57,57,203,90,90,89,0,113,0,2025_this_team
Deacon Rawls,189997,T,JAMES MAD,10,100.0,0,197,65.9,49.3,68.6,0,6,57,100.0,100.0,89.5,0,9,3,159,0,0,7,159,65,65,0,152,94,0,2025_this_team
Evan Bushong,189983,C,JAMES MAD,6,100.0,0,197,58.8,77.7,59.2,0,1,19,100.0,100.0,97.4,1,1,0,92,85,0,0,92,21,21,7,0,71,0,2025_this_team
Griffin Hart,172246,T,JAMES MAD,9,100.0,0,197,69.1,65.0,67.2,1,0,12,100.0,100.0,95.8,0,1,0,78,0,0,62,78,14,14,11,3,64,2,2025_this_team
JaKobe Campbell,184301,G,JAMES MAD,6,100.0,0,197,47.1,84.8,48.3,0,0,9,100.0,100.0,100.0,1,0,0,58,0,15,0,58,10,10,43,0,48,0,2025_this_team
James Pogorelc,131777,T,JAMES MAD,5,100.0,0,197,77.9,78.4,75.1,0,0,4,100.0,100.0,100.0,0,0,0,28,0,0,8,28,4,4,0,20,24,0,2025_this_team
Brett Davis,148358,C,JAMES MAD,1,100.0,0,197,57.5,77.6,55.1,0,0,7,100.0,100.0,100.0,0,0,0,15,14,0,0,15,7,7,0,0,8,1,2025_this_team
Cam McNair,149426,T,JAMES MAD,1,100.0,0,197,43.8,76.0,42.4,0,0,2,100.0,100.0,100.0,0,0,0,13,0,0,13,13,2,2,0,0,11,0,2025_this_team
Tyler Brown,98070,G,COLORADO,1,100.0,0,143,72.4,,70.5,0,0,0,,,,0,0,0,5,0,5,0,5,0,0,0,0,5,0,arrival_2025_at_COLORADO
JD Rayner,204952,T,JAMES MAD,1,100.0,0,197,57.6,22.2,59.5,0,0,1,100.0,100.0,100.0,0,0,0,5,0,0,0,5,1,1,0,5,4,0,2025_this_team
Josh Manecke,190527,T,ARMY,1,100.0,0,114,60.0,,54.6,0,0,0,,,,0,0,0,2,0,0,2,2,0,0,0,0,2,0,arrival_2025_at_ARMY
