player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Cody Stufflebean,122619,ED,KANSAS ST,12,2,0,100.0,0,2,199,1,0,55.0,58.2,87.0,61.2,56.0,46.9,4,9,0,0,15,19.2,5,0,0,118.8,1,4,0,1,0,2,574,573,21,140,313,99,0,1,308,264,0,16,19,0,1,17,0,15,18,15.0,2025_this_team
Damian Ilalio,144614,DI,KANSAS ST,12,7,0,,0,1,199,0,0,60.0,68.2,85.5,61.4,69.0,75.5,2,7,0,0,,4.2,1,0,0,0.0,0,1,0,1,0,0,502,501,111,386,0,4,0,1,225,277,0,16,16,2,0,10,0,0,0,,2025_this_team
Uso Seumalo,157775,DI,KANSAS ST,12,6,2,,0,0,199,0,0,60.0,65.9,84.0,55.3,69.9,36.7,0,4,0,0,,25.0,6,0,0,0.0,0,1,0,2,0,0,362,360,67,280,1,12,0,2,168,194,0,9,12,2,0,5,0,0,0,,2025_this_team
Tobi Osunsanmi,157786,ED,KANSAS ST,6,7,0,100.0,0,0,199,1,0,73.5,67.7,86.6,70.6,54.5,59.3,2,8,0,0,17,15.0,3,0,0,118.8,1,4,0,10,0,15,251,239,0,0,237,2,0,12,126,110,2,9,10,1,1,14,0,17,6,17.0,2025_this_team
Jordan Allen,173089,ED,KANSAS ST,11,3,0,100.0,0,0,199,0,0,71.5,59.0,62.3,57.0,56.7,85.2,1,6,0,0,6,0.0,0,1,1,91.7,1,2,0,6,0,21,335,327,1,3,321,2,0,8,189,125,2,8,13,2,1,9,0,6,0,6.0,2025_this_team
Ryan Davis,173098,ED,KANSAS ST,9,3,3,66.7,1,1,199,1,0,62.9,56.0,0.0,62.9,55.9,53.2,2,10,0,0,25,37.5,6,1,5,109.7,2,4,0,19,2,27,351,327,0,0,325,2,0,24,191,133,3,8,7,2,3,16,0,39,30,19.5,2025_this_team
Chiddi Obiazor,173115,ED,KANSAS ST,12,7,1,,0,0,199,1,0,69.1,68.6,67.1,66.6,64.3,52.4,10,19,0,0,,18.2,6,0,1,0.0,0,1,0,1,0,2,497,496,0,181,222,93,0,1,280,215,0,18,20,2,0,30,0,0,0,,2025_this_team
Travis Bates,173739,ED,KANSAS ST,12,6,2,,1,0,199,0,0,63.9,69.9,62.7,66.6,68.6,66.4,1,11,0,0,,10.0,2,0,1,0.0,0,3,0,0,0,2,390,390,0,148,178,64,0,0,201,187,0,10,12,0,0,15,0,0,0,,2025_this_team
Kamari Burns,176143,DI,CINCINNATI,11,3,0,,0,0,138,0,0,60.0,68.6,83.2,66.6,65.8,63.4,0,1,0,0,,18.2,2,0,0,0.0,0,1,0,0,0,0,174,174,135,33,2,4,0,0,85,89,0,4,6,0,0,2,0,0,0,,arrival_2025_at_CINCINNATI
Austin Ramsey,176448,DI,KENTUCKY,11,2,0,,0,0,202,0,0,68.0,54.8,83.4,60.5,48.9,55.7,0,3,0,0,,14.3,1,0,0,0.0,0,0,0,0,0,0,137,137,89,48,0,0,0,0,56,81,0,2,4,1,0,3,0,0,0,,arrival_2025_at_KENTUCKY
Wendell Gregory,184492,ED,OKLA STATE,12,2,1,66.7,2,1,262,0,0,68.9,71.4,14.1,77.1,67.1,35.3,7,21,0,0,6,31.0,9,0,4,74.3,2,4,0,7,0,15,419,412,0,5,388,19,0,7,181,223,0,19,18,9,3,32,0,12,13,6.0,arrival_2025_at_OKLA STATE
Jayden Bryant,186460,ED,COAST CAR,13,2,0,,0,0,141,0,0,57.2,63.2,53.2,69.1,59.3,50.5,7,3,0,0,,20.0,4,0,1,0.0,0,2,0,0,0,0,248,248,0,11,197,40,0,0,127,121,0,12,14,3,0,12,0,0,0,,arrival_2025_at_COAST CAR
Malcolm Alcorn-Crowder,188678,DI,KANSAS ST,11,4,0,,0,0,199,1,0,62.8,70.1,56.6,71.1,65.7,33.2,0,14,0,0,,25.0,6,0,1,0.0,0,3,0,0,0,0,337,337,7,278,1,51,0,0,171,166,0,13,14,2,0,17,0,0,0,,2025_this_team
Holden Bass,188679,DI,KANSAS ST,4,0,0,,0,0,199,0,0,,61.5,70.7,59.4,61.1,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,7,7,3,4,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,,2025_this_team
Patrick Tackie,198594,DI,KANSAS ST,1,0,0,,0,0,199,0,0,,50.5,68.2,59.8,55.4,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,,2025_this_team
Elijah Hill,198617,ED,KENNESAW,14,3,0,100.0,0,0,200,0,0,46.6,70.6,57.9,87.1,42.9,29.8,3,23,0,0,6,47.1,8,0,1,131.3,1,11,0,2,0,2,299,297,0,25,233,39,0,2,211,86,0,13,6,2,1,37,1,6,5,6.0,arrival_2025_at_KENNESAW
