player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Beau Palmer,122610,LB,KANSAS ST,1,0,0,,0,0,199,0,0,,60.0,66.3,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,,2025_this_team
Desmond Purnell,144611,LB,KANSAS ST,12,12,0,62.2,0,2,199,0,0,55.6,66.1,57.2,72.6,69.2,61.8,7,7,1,2,38,14.8,12,2,1,60.6,23,4,0,614,3,301,728,22,0,0,22,0,0,706,79,348,89,36,57,6,37,18,0,260,182,11.3,2025_this_team
Gabe Powers,156486,LB,KANSAS ST,11,5,0,77.8,0,0,199,0,0,49.6,63.0,5.5,61.8,75.9,72.8,0,4,0,0,27,9.5,2,0,1,106.9,7,0,0,152,0,57,189,18,0,0,18,0,0,171,21,111,19,10,14,1,9,4,0,87,40,12.4,2025_this_team
Mekhi Mason,158303,LB,LA TECH,12,18,2,68.6,0,0,208,0,0,49.8,66.7,11.5,58.6,88.4,81.5,4,15,0,0,50,10.4,7,1,5,108.0,24,3,0,422,0,269,679,143,0,0,143,0,0,536,131,279,114,31,42,10,35,22,2,250,161,10.4,arrival_2025_at_LA TECH
Asa Newsom,173114,LB,KANSAS ST,9,5,0,50.0,0,0,199,1,0,57.7,58.7,0.0,61.4,64.4,37.8,3,4,0,0,38,26.9,7,0,2,120.8,3,0,0,158,1,71,212,12,0,0,12,0,0,200,25,116,40,10,14,0,6,7,1,54,22,18.0,2025_this_team
Austin Romaine,173117,LB,KANSAS ST,9,22,0,91.7,0,0,199,1,0,63.8,76.5,83.8,65.4,80.5,41.2,4,7,0,1,27,22.0,20,2,0,61.5,11,1,0,488,1,207,517,0,0,0,0,0,0,517,61,249,28,41,49,5,12,12,0,85,45,7.7,2025_this_team
Rex Van Wyhe,173123,LB,KANSAS ST,12,12,0,40.0,0,0,199,1,0,48.2,65.3,79.9,48.7,85.8,72.3,1,3,0,0,27,9.4,3,0,0,68.8,2,0,0,152,0,72,169,1,0,1,0,0,0,168,19,78,16,7,17,1,5,4,0,40,19,20.0,2025_this_team
Ralph Ortiz,180176,LB,KANSAS ST,2,2,0,,0,0,199,1,1,60.7,63.8,69.3,60.0,64.0,78.0,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,4,0,2,11,1,0,0,1,0,0,10,1,8,5,0,0,0,0,0,0,0,0,,2025_this_team
Jacobi Oliphant Jr.,188731,LB,OKLA STATE,12,5,0,80.0,0,0,262,0,0,46.8,55.7,81.1,74.2,61.5,87.3,1,2,0,0,50,0.0,0,1,0,118.8,8,2,0,69,0,71,135,27,0,0,27,0,1,108,15,49,38,3,8,0,10,5,0,146,72,18.3,arrival_2025_at_OKLA STATE
Weston Polk,198597,LB,KANSAS ST,1,0,0,,0,0,199,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,2025_this_team
