player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Jaron Tibbs,174972,WR,KANSAS ST,12,13.1,6,58.8,57.9,11,19,0,9.6,5,-0.01,30,199,1,64.9,45.2,68.5,,68.3,0.0,0,2,38,0.0,0,346,1,41.1,47,97.1,336,24.6,85,84.1,80,3,75.4,261,595,117,2.5,12.7,1.77,2025_this_team
Jayce Brown,173093,WR,KANSAS ST,10,14.4,4,60.3,50.0,6,12,1,10.9,5,-0.02,22,199,1,59.1,46.4,75.0,,72.4,0.0,0,0,78,0.0,0,250,1,39.9,41,97.2,243,70.4,176,120.5,68,5,28.8,72,712,208,5.1,17.4,2.93,2025_this_team
Brandon White,163781,WR,HAWAII,12,14.5,9,57.6,30.0,3,10,2,7.3,3,-0.03,13,180,0,70.5,74.4,60.1,,58.7,0.0,0,3,46,0.0,0,357,4,42.8,38,95.5,341,9.8,35,66.4,66,2,90.2,322,399,145,3.8,10.5,1.17,arrival_2025_at_HAWAII
Garrett Oakley,157772,TE,KANSAS ST,11,6.2,2,65.5,75.0,6,8,0,13.6,6,0.06,21,199,1,52.2,39.5,72.2,52.6,73.4,40.1,109,2,35,11.0,30,272,1,43.3,38,85.7,233,50.0,136,104.7,58,6,6.6,18,389,215,5.7,10.2,1.67,2025_this_team
Jerand Bradley,144761,WR,KANSAS ST,9,12.5,1,61.9,0.0,0,2,0,7.1,1,-0.02,9,199,0,67.5,68.7,66.3,,66.3,0.0,0,1,65,0.0,0,104,0,44.7,13,99.0,103,17.3,18,102.1,21,2,82.7,86,184,67,5.2,14.2,1.79,2025_this_team
Brayden Loftin,157773,TE,KANSAS ST,12,8.2,1,46.2,25.0,1,4,0,33.3,3,-0.01,3,199,0,22.7,66.2,50.5,71.3,46.6,44.8,43,0,18,11.5,11,96,1,38.7,6,86.5,83,46.9,45,58.2,13,0,7.3,7,55,24,4.0,9.2,0.66,2025_this_team
Will Anciaux,173090,TE,KANSAS ST,12,9.2,0,54.5,60.0,3,5,0,14.3,1,0.15,2,199,0,53.4,67.7,55.8,45.4,51.6,69.2,90,1,25,28.5,37,130,1,43.1,6,68.5,89,20.0,26,57.0,11,1,9.2,12,45,13,2.2,7.5,0.51,2025_this_team
Izaiah Williams,184813,WR,TEXAS A&M,6,6.6,1,87.5,,0,0,0,0.0,0,-0.2,2,312,0,78.5,71.0,62.5,,62.0,0.0,0,0,27,0.0,0,46,0,42.2,7,97.8,45,39.1,18,139.6,8,1,60.9,28,64,24,3.4,9.1,1.42,arrival_2025_at_TEXAS A&M
Will Swanson,122620,TE,KANSAS ST,12,2.4,0,71.4,0.0,0,1,0,16.7,1,0.17,4,199,0,49.8,65.7,63.4,74.8,58.8,61.8,47,0,38,36.8,28,76,1,45.2,5,63.2,48,22.4,17,110.4,7,0,3.9,3,82,71,14.2,16.4,1.71,2025_this_team
Linkon Cure,204094,WR,KANSAS ST,9,4.4,0,85.7,66.7,2,3,0,14.3,1,0.09,3,199,0,53.8,66.4,52.0,,54.4,2.7,2,0,13,0.0,0,73,1,35.7,6,94.5,69,16.4,12,88.7,7,0,80.8,59,37,12,2.0,6.2,0.54,2025_this_team
Adonis Moise,198606,WR,KANSAS ST,9,6.3,1,85.7,0.0,0,1,0,0.0,0,-0.2,3,199,0,77.5,68.5,56.4,,54.8,0.0,0,0,18,0.0,0,91,0,39.8,6,96.7,88,16.5,15,100.0,7,0,83.5,76,56,25,4.2,9.3,0.64,2025_this_team
Sterling Lockett,157758,WR,KANSAS ST,9,10.4,0,60.0,0.0,0,1,0,0.0,0,-0.12,2,199,0,73.1,82.4,55.6,,54.8,0.0,0,0,19,0.0,0,66,0,40.9,3,100.0,66,57.6,38,84.6,5,0,37.9,25,39,5,1.7,13.0,0.59,2025_this_team
Isaac Koch,163821,WR,KANSAS ST,5,8.0,0,50.0,0.0,0,1,0,0.0,0,0.15,1,199,0,70.7,62.9,56.6,,54.0,0.0,0,0,11,0.0,0,46,0,50.0,2,95.7,44,17.4,8,61.5,4,0,82.6,38,17,1,0.5,8.5,0.39,2025_this_team
Jemyri Davis,198593,WR,KANSAS ST,4,5.0,0,100.0,,0,0,0,0.0,0,-0.47,0,199,0,70.7,62.9,51.9,,56.3,0.0,0,0,5,0.0,0,12,1,25.0,2,100.0,12,8.3,1,83.3,2,0,91.7,11,8,-2,-1.0,4.0,0.67,2025_this_team
