unit,pos,depth,player,class,origin,note
QB,QB,1,Avery Johnson,SR,RETURNING STARTER,"2,712 (58.3%, 25 TD single-season record, 10 int) + 605 rush (KSU single-season QB rush record); tied school pass-TD record (48); boom-or-bust (#9/#11 B12 rating); PFF 74.8/391; REUNITES with Klein (recruited him; '23 OC) - 'he wanted to play in Klein's offense' (P6)"
QB,QB,2,Blake Barnett,SO,returner,"'similar skill set and even stronger arm' (PS); 4 games '25; 3 of 4 QBs run 20+ mph"
RB,RB,1,Joe Jackson,JR,returner,"911 (5.4) w/ SCHOOL-RECORD 293 vs Utah + 142 vs Colorado; PFF 67.2/254; snapped the 1,000-yd streak but surged late"
RB,RB,2,Rodney Fields Jr. / Jay Harris,SR / ,Oklahoma State + Oregon transfers,"Fields: 614 (5.0) + 276 rec - 'arguably [OkSt's] best player' (P6); PFF 75.4/156. DEPARTED: Edwards (injured on first touch '25) -> Kansas [cross-ref]"
WRTE,WR,1,Jaron Tibbs,JR,returner (lone returning WR starter),"595 (12.7) as #2; PFF 68.5/336; ex-Purdue"
WRTE,WR,2,Brandon White / Josh Manning / Izaiah Williams,SR / / ,Hawaii + Missouri + Texas A&M transfers,"White = Hawaii starter (60.1/341); Manning + Williams former 4*s; Manning nearly signed out of HS + Johnson connection - 'could be the surprise breakout' (P6; NO 2025 tape). DEPARTED: Jayce Brown (75.0/243; 712 @ 17.4 pre-OFY wk 10) -> LSU; Bradley (1,368 career at TT/BC) graduated"
WRTE,TE,1,Garrett Oakley,SR,RETURNING,"school-record holder; PFF 72.2/233; 'one of the best TE pairs in the B12' (P6)"
WRTE,TE,2,Linkon Cure,SO,returner,"former 5-star (PS#1 true frosh TE class of '25)"
OL,C,1,John Pastore,SR,RETURNING,"'sound pass-blocker' (P6); PFF 76.2/715 - best returning grade"
OL,T,1,George Fitzpatrick,SR,returner (injury),"ex-Ohio State; missed '25 (PS#30); back w/ Gus Hawkins (also injury-return)"
OL,G,2,Keiton Jones / Delvin Morris / Tanner Morley,/ / ,Missouri + Akron + Colorado State transfers,"interior battle (all 3-star transfers - P6); Morris 56.7/472, Morley 66.3/252, Jones 8 snaps. DEPARTED: 4 starters + backup (46/83 starts) - 1st-tm B12 C Hecht (80.3/759, #5 DC CAR), Leingang (65.3/692), Poitier (66.3/658), Nelson expired. Run-push decline #5 -> #93 (P6); Klein 'not worried... likes its size and talent' (attributed)"
DL,ED,1,Wendell Gregory,JR,Oklahoma State transfer (high 4* grade),"B12 DEFENSIVE NEWCOMER OF THE YEAR (PS): 4 st, 4 sk; 'best Oklahoma State defender' (P6); PFF 71.4/419"
DL,ED,1,Elijah Hill,SO,Kennesaw State transfer,"led C-USA with NINE sacks as a freshman (P6); PFF 70.6/299"
DL,DT,1,Kamari Burns,JR,Cincinnati transfer,"PFF 68.6/174 [cross-ref Cincinnati]; w/ Ramsey (Kentucky, 54.8/137) - 'limited experience but P4' (P6)"
DL,DL,2,Jayden Bryant + rebuild depth,,transfers,"DEPARTED: SEVEN DL (48 st/142 tkl/17.5 sk) - Stufflebean (58.2/574) + Ilalio (68.2/502) + Seumalo expired; edge stars Osunsanmi + Obiazor (68.6/497) BOTH -> Indiana. 'Completely rebuilt... bigger upside on the edge' (PS)"
LB,LB,1,Mekhi Mason,SR,Louisiana Tech transfer,"All-CUSA: 12 st, 68 tkl; PFF 66.7/679"
LB,LB,1,Darien Whitaker,SO,returner,"'rising sophomore has drawn big reviews' (P6)"
LB,LB,2,Gabe Powers / Asa Newsom,JR / ,returners,"Powers (ex-OSU) 63.0/189 - on 2025 roster (PS filed him as add; feed says returner). DEPARTED: Purnell (66.1/728, #1 tklr) graduated; Romaine (76.5/517, 2x All-B12, OFY wk 9) -> TEXAS TECH [cross-ref]"
DB,CB,1,Zashon Rich,SR,RETURNING,"all-league (P6); PFF 68.6/837; w/ McIntosh = 'very talented... corner tandem' (PS)"
DB,CB,1,Donovan McIntosh,,returner,"returning starter (P6)"
DB,NB,1,Ja'Son Prevard,SR,Virginia transfer,"3rd-team ACC Star: 12 st (PS); PFF 71.8/585"
DB,S,1,Koy Beasley,,transfer,"PFF 71.3/647 - real tape (add beyond magazine coverage)"
DB,S,2,Kaleb Patterson / Adrian Maddox,/ ,Illinois + Georgia transfers,"Maddox = 'spring hero... could earn a starting safety spot' (P6; 71.1/67). DEPARTED: Payne (73.3/722, #7 DC NYJ) graduated; Maldonado (65.9/500) expired; Moss (68.2/513) -> Tennessee; Cobbs -> Baylor [cross-ref]. PS: 'should remain near the top 25' PDR"
ST,K,1,Luis Rodriguez,,RETURNING,"13-15 FG as the new K last year"
ST,P,1,Simon McClannan,,RETURNING,"42.5 (39.2 net) + 39 TB on 70 KO; PS: 'all but [KR] Noemberg back so will be a typical KSt ST unit.' Team SPEC 78.3 = 68th pctile; adds Hammond (Toledo K) + Davidson (D2 P) as depth"
