player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Jamar Rucks,122252,ED,KENNESAW,12,5,0,,0,0,200,0,0,67.1,57.3,24.3,59.9,54.4,72.4,1,1,0,0,,10.0,1,0,1,0.0,0,0,0,0,0,11,117,109,0,0,109,0,0,8,46,60,8,2,4,1,0,2,0,0,0,,2025_this_team
Elijah Harper,142861,ED,KENNESAW,1,0,0,,0,0,200,0,0,60.0,61.0,68.1,,60.1,24.9,0,0,0,0,,100.0,1,0,0,0.0,0,0,0,0,0,1,2,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,2025_this_team
Tylon Dunlap,147285,DI,KENNESAW,13,8,2,,0,1,200,2,0,65.2,78.4,51.8,73.6,76.9,67.4,2,22,0,0,,8.6,3,0,2,0.0,0,6,0,0,0,0,564,562,67,385,9,101,0,2,315,249,0,20,24,4,0,30,0,0,0,,2025_this_team
Adam Watkins,147984,DI,KENNESAW,14,10,0,,0,0,200,0,0,62.4,67.4,70.1,58.7,69.9,56.9,2,5,0,0,,11.6,5,0,1,0.0,0,0,0,0,0,0,513,511,242,266,0,3,0,2,230,283,0,15,28,4,0,7,0,0,0,,2025_this_team
Ebenezer Dibula,150855,DI,KENNESAW,6,1,1,,0,0,200,0,0,60.0,53.7,78.4,58.0,51.3,74.5,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,69,69,29,35,0,5,0,0,36,33,0,2,3,0,0,0,0,0,0,,2025_this_team
Devin Morgan,157955,DI,BUFFALO,12,6,0,,0,0,126,0,0,51.0,63.5,83.0,67.3,62.3,63.0,4,5,0,0,,9.5,2,0,0,0.0,0,5,0,1,0,6,349,347,12,310,6,19,0,2,194,149,0,13,13,2,0,14,0,0,0,,arrival_2025_at_BUFFALO
Donovan Westmoreland,158115,ED,KENNESAW,14,8,1,80.0,0,0,200,0,0,57.1,64.2,63.2,63.7,67.1,85.0,4,7,0,0,52,0.0,0,0,1,118.8,4,7,1,45,0,55,374,304,0,1,301,2,0,70,204,115,24,15,18,2,5,18,0,76,55,19.0,2025_this_team
Rod Daniels,160252,ED,KENNESAW,14,12,0,100.0,0,0,200,0,0,67.0,66.7,90.2,59.1,67.0,65.0,2,6,0,0,21,13.9,5,1,0,118.8,2,2,0,7,0,73,545,509,0,1,484,24,0,36,176,296,28,13,19,1,2,10,0,34,21,17.0,2025_this_team
Ugonna Nwoha,160387,ED,KENNESAW,14,8,0,,0,0,200,0,0,53.8,68.3,54.8,63.1,73.8,58.2,2,6,0,0,,13.6,3,0,1,0.0,0,1,0,1,0,1,281,280,0,33,165,82,0,1,148,132,0,10,11,2,0,9,0,0,0,,2025_this_team
Marcus Patterson,163054,ED,KENNESAW,14,9,0,,0,1,200,1,0,62.6,66.5,28.9,65.1,68.2,54.3,4,26,0,0,,21.2,11,0,4,0.0,0,3,1,1,0,1,619,615,0,97,360,158,0,4,345,273,1,27,32,5,0,33,0,0,0,,2025_this_team
