player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Terrell Miller,130497,CB,KENT STATE,11,4,0,41.9,0,0,201,1,0,66.7,65.0,85.4,,54.6,51.8,0,0,0,2,58,16.2,6,5,0,65.7,18,0,0,28,474,270,522,17,0,0,17,0,3,505,0,252,0,7,27,1,43,0,3,257,67,14.3,2025_this_team
A'tiq Muhammad,157887,CB,KENT STATE,9,6,0,61.1,0,0,201,0,0,56.1,60.9,81.9,67.9,77.1,61.6,0,0,0,0,47,16.2,6,0,1,111.6,11,1,0,16,242,141,260,1,0,0,1,0,1,259,1,118,0,5,25,0,18,1,1,173,42,15.7,2025_this_team
Joel Boamah,171252,CB,KENT STATE,9,1,1,14.3,0,0,201,0,0,69.4,70.0,80.5,75.1,64.0,37.0,0,1,0,1,6,33.3,5,1,2,0.0,1,0,0,19,136,71,162,7,0,0,7,0,0,155,2,89,0,2,9,2,7,1,0,6,3,6.0,2025_this_team
Tevin Tucker,171266,S,KENT STATE,11,6,0,68.0,0,0,201,0,0,38.6,44.6,85.6,49.7,57.2,39.4,0,1,0,0,42,28.9,13,2,0,141.5,17,0,0,344,1,292,567,0,0,0,0,0,127,567,4,271,95,4,26,2,25,1,4,259,77,15.2,2025_this_team
Angelo Stockstill,171404,CB,KENT STATE,7,0,0,77.8,0,0,201,0,0,60.3,55.8,80.3,,33.0,45.3,0,0,0,0,26,25.0,2,0,0,150.0,7,0,0,6,165,87,171,0,0,0,0,0,0,171,0,84,0,2,6,0,9,0,1,100,43,14.3,2025_this_team
D.J. Barnes,180133,S,KENT STATE,12,7,0,48.3,0,1,201,0,0,49.6,47.5,86.6,50.1,44.0,44.3,0,0,0,0,21,25.6,11,0,0,68.2,14,0,0,95,2,229,399,11,0,0,11,0,40,388,20,150,251,10,25,2,29,0,0,180,72,12.9,2025_this_team
Martell Buchanan,188222,S,KENT STATE,1,0,0,,0,0,201,0,0,62.4,51.5,0.0,,60.0,,0,0,0,0,,,0,0,1,0.0,0,0,0,0,0,4,7,0,0,0,0,0,6,7,0,3,1,0,0,0,0,0,0,0,0,,2025_this_team
Jaire Rawlison,188236,CB,KENT STATE,12,7,0,57.4,1,0,201,0,0,65.6,66.1,18.3,71.0,69.3,85.5,2,1,0,0,65,3.4,2,8,7,116.7,35,1,0,70,597,360,692,16,0,0,16,0,3,676,7,325,6,12,49,2,61,4,8,399,82,11.4,2025_this_team
Clinton Robinson,188238,S,KENT STATE,7,1,0,50.0,0,0,201,0,0,65.7,61.3,0.0,57.6,61.5,60.0,0,0,0,1,21,28.6,2,0,1,87.5,1,0,0,41,0,38,86,5,0,0,5,0,34,81,3,45,6,1,4,0,2,0,1,21,1,21.0,2025_this_team
Davion Pritchard,189538,CB,PITTSBURGH,1,0,0,,0,0,268,0,0,63.2,64.1,71.2,,60.3,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,10,4,10,0,0,0,0,0,0,10,0,6,0,0,0,0,0,0,0,0,0,,arrival_2025_at_PITTSBURGH
Derrick Jackson III,198634,S,KENT STATE,12,6,0,72.2,0,0,201,0,0,54.2,57.1,85.8,49.8,62.6,68.0,0,1,0,1,33,15.7,8,2,1,93.5,13,0,0,332,0,313,575,7,0,0,7,0,125,568,8,254,111,14,37,2,18,1,1,155,71,11.9,2025_this_team
Joel Cordoba,198640,S,KENT STATE,12,11,1,57.1,0,0,201,0,0,43.0,50.3,0.0,84.2,64.7,77.2,1,0,0,0,50,11.0,8,2,3,114.9,16,0,0,255,1,293,552,0,0,0,0,0,254,552,3,256,42,17,54,2,28,1,2,278,105,17.4,2025_this_team
