player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Mattheus Carroll,144071,ED,KENT STATE,12,4,0,75.0,0,0,201,0,0,58.7,61.8,32.8,58.9,67.1,74.0,2,9,0,0,10,5.3,1,0,3,93.8,3,0,0,2,0,29,475,472,0,6,452,14,0,3,217,229,1,10,14,1,4,11,0,28,15,9.3,2025_this_team
Antoine Campbell Jr.,146404,ED,KENT STATE,12,4,1,,0,2,201,0,0,58.7,59.7,65.0,63.7,56.1,38.3,3,11,0,0,,28.0,7,0,1,0.0,0,3,0,0,0,11,401,401,0,12,307,82,0,0,190,200,0,12,14,1,0,17,0,0,0,,2025_this_team
Amon Williams,148785,DI,KENT STATE,11,8,0,,1,0,201,0,0,60.0,53.6,52.4,66.1,47.7,58.9,0,9,0,0,,12.5,3,0,1,0.0,0,1,0,0,0,0,263,263,72,190,0,1,0,0,117,146,0,8,13,1,0,10,0,0,0,,2025_this_team
Mason Maddox,157721,DI,KENT STATE,12,5,0,,0,1,201,0,0,58.2,53.9,22.0,64.1,50.8,30.6,4,4,0,0,,22.2,4,0,3,0.0,0,1,0,1,0,1,385,384,74,293,0,17,0,1,202,182,0,8,9,0,0,9,0,0,0,,2025_this_team
Jelani Davis,160758,DI,KENT STATE,12,4,0,,0,0,201,0,0,60.0,69.6,0.0,78.7,66.2,56.3,5,9,0,0,,16.0,4,0,5,0.0,0,3,0,1,0,1,311,310,7,208,4,91,0,1,180,130,0,13,17,2,0,17,0,0,0,,2025_this_team
Thomas Aden,170112,DI,KENT STATE,12,8,0,,0,0,201,0,0,59.4,67.7,60.7,60.8,72.2,72.2,3,6,0,0,,5.6,1,0,1,0.0,0,2,0,0,0,1,392,392,17,310,1,64,0,0,217,174,0,8,9,2,0,11,0,0,0,,2025_this_team
Jamond Mathis,171503,ED,KENT STATE,12,8,1,66.7,0,0,201,0,0,66.1,84.5,89.3,81.9,78.5,58.1,4,25,0,0,30,21.4,6,1,0,149.3,2,6,0,3,0,23,453,450,0,4,442,4,0,3,247,183,0,17,14,2,3,35,1,43,30,21.5,2025_this_team
Mohammed Hazime,176106,ED,KENT STATE,10,0,0,,0,0,201,0,0,60.0,52.7,78.5,56.4,51.7,75.4,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,54,54,0,0,52,2,0,0,8,45,0,2,3,0,0,0,0,0,0,,2025_this_team
Antonio Bottiggi,188220,ED,KENT STATE,10,3,0,,0,0,201,0,0,61.3,63.1,81.3,63.7,60.3,43.6,0,2,0,0,,22.2,2,0,0,0.0,0,0,0,0,0,3,121,121,0,1,99,21,0,0,42,76,0,2,4,1,0,2,0,0,0,,2025_this_team
Aiden Burgess,188223,DI,KENT STATE,10,4,0,,0,0,201,0,0,61.1,61.6,79.9,61.4,58.9,76.8,0,2,0,0,,11.1,1,0,0,0.0,0,0,0,0,0,0,121,121,24,86,0,11,0,0,47,74,0,2,4,0,0,2,0,0,0,,2025_this_team
Josue Cordoba,188224,DI,KENT STATE,12,5,0,,0,0,201,0,0,,60.8,81.0,55.3,62.2,51.6,0,0,0,0,,17.6,3,0,1,0.0,0,0,0,0,0,0,150,150,46,100,0,4,0,0,57,93,0,5,9,1,0,0,0,0,0,,2025_this_team
Jaihien Roy,188239,ED,KENT STATE,12,3,1,,0,0,201,0,0,71.4,62.5,87.0,61.3,57.5,52.0,2,10,0,0,,18.8,3,0,0,0.0,0,2,0,1,0,15,310,308,0,8,249,51,0,2,152,143,1,8,10,1,0,14,0,0,0,,2025_this_team
Darian Blachewicz,198644,DI,KENT STATE,12,10,2,,0,1,201,0,0,60.0,69.2,44.1,73.1,64.7,60.6,1,9,0,0,,12.5,3,0,1,0.0,0,2,0,0,0,0,214,214,19,160,1,34,0,0,101,113,0,8,11,2,0,12,0,0,0,,2025_this_team
