player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Jardin Gilbert,146997,S,LSU,5,3,0,87.5,0,0,211,0,0,58.3,61.4,78.7,61.1,66.1,62.5,0,3,0,0,12,20.0,3,0,0,93.8,7,1,0,41,0,56,114,3,0,0,3,0,26,111,9,49,44,5,9,0,8,4,0,52,42,7.4,2025_this_team
Mansoor Delane,157650,CB,LSU,11,8,1,40.0,0,0,211,0,0,90.7,90.5,85.3,66.4,74.4,76.4,1,2,0,2,29,10.6,5,7,0,31.3,14,0,0,55,516,357,623,8,0,0,8,0,5,615,6,260,39,10,34,0,35,3,0,165,96,11.8,2025_this_team
A.J. Haulcy,163349,S,LSU,12,19,0,62.2,0,1,211,0,0,88.6,86.6,87.9,54.5,76.2,67.3,0,3,0,3,30,15.8,16,4,0,59.0,23,0,0,134,6,407,702,10,0,0,10,0,484,692,6,289,68,20,66,1,37,3,1,265,136,11.5,2025_this_team
Tamarcus Cooley,170189,S,LSU,13,17,0,69.6,0,0,211,0,0,54.5,56.1,23.9,50.9,64.8,55.4,1,1,0,2,45,18.8,16,1,5,103.4,32,0,0,226,0,446,777,6,0,0,6,0,278,771,8,323,267,12,52,2,46,2,4,359,223,11.2,2025_this_team
Ashton Stamps,172496,CB,LSU,1,1,0,0.0,0,0,211,0,0,77.2,77.5,72.9,,61.2,73.5,0,0,0,0,,0.0,0,1,0,39.6,0,0,0,1,17,9,18,0,0,0,0,0,0,18,0,9,0,0,0,0,1,0,0,0,0,,2025_this_team
Javien Toviano,172497,S,LSU,9,0,0,33.3,0,0,211,0,0,35.4,38.4,77.6,,52.1,36.3,0,0,0,0,33,37.5,3,0,0,115.3,1,0,0,20,0,37,65,0,0,0,0,0,33,65,0,28,12,0,5,0,3,0,1,33,16,33.0,2025_this_team
Ja'Keem Jackson,174247,CB,LSU,8,1,0,66.7,0,0,211,0,0,74.5,75.0,78.0,55.8,71.3,42.0,0,0,0,0,19,30.0,3,0,1,76.4,4,0,0,5,77,53,84,0,0,0,0,0,0,84,1,30,2,5,6,0,6,0,0,27,22,6.8,2025_this_team
Ty Benefield,176221,S,BOISE ST,14,23,0,65.6,1,1,120,1,0,66.6,66.2,56.8,60.0,64.8,53.8,2,1,0,2,78,20.2,26,3,5,101.3,21,0,0,369,2,438,846,7,0,0,7,0,309,839,8,400,158,30,80,6,32,3,4,238,78,11.3,arrival_2025_at_BOISE ST
Wallace Foster IV,184452,CB,LSU,1,0,0,,0,0,211,0,0,,60.0,63.5,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,2025_this_team
Joel Rogers,184464,S,LSU,4,0,0,100.0,0,0,211,0,0,52.6,53.5,71.4,,60.0,40.6,0,0,0,0,7,33.3,1,0,0,95.8,1,0,0,1,0,5,8,0,0,0,0,0,4,8,0,3,3,1,2,0,1,0,0,7,5,7.0,2025_this_team
Michael Turner Jr.,184467,CB,LSU,3,1,0,0.0,0,0,211,0,0,79.4,79.5,73.5,,64.7,28.3,0,0,0,0,,50.0,1,2,0,39.6,0,0,0,2,24,17,27,0,0,0,0,0,1,27,0,10,0,0,0,0,2,0,0,0,0,,2025_this_team
PJ Woodland,184471,CB,LSU,13,5,0,47.6,0,0,211,0,0,74.5,74.0,47.0,55.0,74.9,75.3,0,4,0,2,53,10.8,4,5,5,54.8,20,1,0,38,407,353,614,14,0,0,14,0,16,600,17,244,139,11,28,0,42,5,0,331,113,16.6,2025_this_team
Dashawn Spears,190208,S,LSU,13,4,0,58.8,0,0,211,0,0,90.3,90.1,11.1,60.8,85.7,84.3,0,2,1,2,30,4.2,1,2,2,29.9,10,1,0,103,2,145,255,19,0,0,19,0,59,236,21,89,72,10,19,2,17,3,0,75,42,7.5,2025_this_team
DJ Pickett,199755,CB,LSU,13,1,0,52.6,0,0,211,0,0,76.2,78.6,38.8,68.0,85.5,73.4,1,3,0,3,58,12.8,5,2,3,66.8,20,2,0,43,455,304,524,3,0,0,3,0,1,521,12,208,22,13,33,2,38,6,3,250,97,12.5,2025_this_team
Aidan Anding,199756,CB,LSU,1,0,0,,0,0,211,0,0,,60.0,63.8,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,2025_this_team
