player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Princeton Malbrue,139517,LB,LSU,2,0,0,,0,0,211,0,0,,61.8,64.7,,60.7,,0,0,0,0,,,0,0,0,0.0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,,2025_this_team
Gabe Leonards,146793,LB,LSU,1,0,0,,0,0,211,0,0,60.2,73.3,67.5,63.3,,,0,0,0,0,,,0,0,0,0.0,0,0,0,3,0,2,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,,2025_this_team
West Weeks,151101,LB,LSU,11,20,0,80.8,0,0,211,0,0,54.7,59.1,16.3,64.0,63.3,65.8,1,9,0,0,31,14.3,11,0,3,97.4,21,3,0,529,1,253,564,11,0,0,11,0,0,553,56,255,23,33,46,5,26,13,0,192,124,9.1,2025_this_team
TJ Dottery,156243,LB,OLE MISS,15,25,1,68.9,0,2,226,0,0,51.6,55.0,65.4,51.6,60.2,60.5,2,9,0,0,52,15.1,16,0,2,107.5,31,1,0,786,0,474,958,56,0,0,56,0,19,902,66,418,97,38,65,3,45,12,2,359,243,11.6,arrival_2025_at_OLE MISS
Harold Perkins Jr.,157120,LB,LSU,12,10,1,80.6,0,1,211,1,0,51.7,62.4,86.0,72.6,69.0,53.5,5,11,0,3,33,21.0,13,0,0,73.5,29,3,0,366,10,340,707,77,0,0,77,0,4,630,79,288,250,27,39,5,36,19,1,279,170,9.6,2025_this_team
Jake Ibieta,172481,LB,LSU,1,0,0,,0,0,211,0,0,60.1,70.6,64.8,63.3,,,0,1,0,0,,,0,0,0,0.0,0,0,0,3,0,2,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,,2025_this_team
Whit Weeks,172498,LB,LSU,8,8,0,77.3,0,0,211,1,0,57.8,66.2,28.0,90.8,56.9,63.7,5,11,0,0,16,17.1,6,0,1,87.5,17,1,0,250,3,135,309,14,0,0,14,0,2,295,50,124,40,13,21,2,22,17,0,111,79,6.5,2025_this_team
Davhon Keys,184459,LB,LSU,13,28,0,83.3,0,0,211,0,0,47.1,61.2,83.0,71.0,69.1,78.3,5,9,0,0,32,6.9,6,1,0,115.7,25,1,0,479,15,273,572,19,0,0,18,1,2,553,49,250,57,20,53,1,30,15,1,273,173,10.9,2025_this_team
Tylen Singleton,184465,LB,LSU,8,6,0,77.8,0,0,211,0,0,46.0,53.2,76.9,56.5,64.0,56.9,0,2,0,0,24,14.3,2,0,1,139.6,7,0,0,129,1,70,147,1,0,0,1,0,0,146,11,66,16,4,6,1,9,2,2,72,25,10.3,2025_this_team
Kenzel Kelly,190207,LB,LSU,1,0,0,,0,0,211,0,0,60.9,64.4,69.4,,62.4,,0,0,0,0,,,0,0,0,0.0,0,0,0,7,0,3,7,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,,2025_this_team
Zach Weeks,199752,LB,LSU,4,1,0,100.0,0,0,211,0,0,46.7,43.5,75.5,55.6,49.6,26.8,0,1,0,0,4,50.0,1,0,0,122.9,1,0,0,44,0,24,46,1,0,0,1,0,0,45,5,17,1,0,0,0,1,1,1,4,0,4.0,2025_this_team
Jaiden Braker,199763,LB,LSU,1,0,0,100.0,0,0,211,0,0,54.9,41.3,66.7,60.0,56.8,74.3,0,0,0,0,16,0.0,0,0,0,118.8,1,0,0,7,0,2,7,0,0,0,0,0,0,7,1,4,0,0,1,0,1,0,0,16,18,16.0,2025_this_team
Charles Ross II,199772,LB,LSU,2,0,0,,0,0,211,0,0,63.1,65.5,68.9,59.3,65.2,74.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,14,0,9,19,0,0,0,0,0,0,19,1,9,5,0,1,0,0,0,0,0,0,,2025_this_team
