player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Mike Jarvis,145171,DI,LIBERTY,12,8,1,,1,0,206,0,0,58.6,56.8,48.8,56.3,58.6,48.6,2,10,0,0,,16.0,4,0,2,0.0,0,0,0,1,0,1,454,453,241,211,0,1,0,1,209,244,0,10,13,1,0,12,0,0,0,,2025_this_team
Aaron Hester,156269,ED,LIBERTY,12,3,1,,0,0,206,0,0,42.7,69.1,83.8,76.6,62.0,64.1,1,15,0,0,,7.7,1,0,0,0.0,0,0,0,1,0,4,285,284,0,38,149,97,0,1,140,141,0,7,9,2,0,16,0,0,0,,2025_this_team
Joe Strickland,156496,DI,LIBERTY,12,1,0,,0,0,206,0,0,59.4,62.6,81.2,55.7,68.6,58.9,0,7,0,0,,28.6,2,0,0,0.0,0,1,0,1,0,1,148,147,48,79,1,19,0,1,90,57,0,4,4,0,0,8,0,0,0,,2025_this_team
Bryce Dixon,157403,DI,LIBERTY,11,4,1,,0,0,206,1,0,59.3,64.8,83.5,59.6,66.7,73.4,4,9,0,0,,5.6,1,0,0,0.0,0,2,0,1,0,3,373,372,36,224,1,111,0,1,198,172,0,10,13,0,0,15,0,0,0,,2025_this_team
DJ Jackson,157413,DI,LIBERTY,7,4,0,,0,0,206,0,0,,64.6,79.5,63.6,62.7,64.1,0,2,0,0,,9.1,1,0,0,0.0,0,0,0,0,0,0,94,94,13,44,1,36,0,0,46,48,0,6,6,1,0,2,0,0,0,,2025_this_team
Elijah Hall,157533,ED,LIBERTY,11,4,2,100.0,1,0,206,0,0,50.6,58.6,16.8,69.6,55.2,28.0,1,4,0,0,18,35.7,5,0,2,118.8,1,4,0,0,0,9,222,222,0,45,99,78,0,0,127,86,0,8,5,1,1,9,0,18,2,18.0,2025_this_team
Markus Clark,157556,DI,LIBERTY,9,3,0,,0,0,206,0,0,60.0,66.4,81.6,57.9,68.9,43.3,0,4,0,0,,25.0,3,0,0,0.0,0,0,0,0,0,0,178,178,27,113,2,36,0,0,82,96,0,4,6,0,0,4,0,0,0,,2025_this_team
Bryson Jennings,162756,ED,LIBERTY,6,0,0,,0,0,206,0,0,60.9,62.2,76.9,57.4,63.6,78.6,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,29,27,0,0,25,2,0,2,14,14,0,2,4,1,0,2,0,0,0,,2025_this_team
CJ Bazile Jr.,163232,ED,LIBERTY,11,8,0,100.0,0,1,206,1,0,66.4,73.9,63.5,70.1,73.5,61.1,2,12,0,0,3,19.2,5,0,1,79.2,1,4,0,7,0,29,347,331,0,1,330,0,0,16,166,152,9,14,13,3,1,18,0,3,1,3.0,2025_this_team
Brenton Williams,172466,ED,LIBERTY,12,10,0,100.0,0,0,206,0,0,61.0,70.2,89.4,72.4,65.8,63.4,12,8,0,0,9,13.5,5,0,0,104.2,1,3,0,8,2,53,432,404,0,2,387,15,0,28,170,209,18,20,22,2,1,23,0,9,4,9.0,2025_this_team
Ethan Crisp,172608,ED,LIBERTY,12,7,0,75.0,0,0,206,0,0,75.3,70.8,86.6,53.7,69.0,85.5,0,1,0,0,8,0.0,0,1,0,77.1,3,0,0,12,0,30,189,149,0,0,149,0,0,40,20,139,26,6,6,2,4,1,0,12,16,4.0,2025_this_team
Donovan Dozier,174927,ED,LIBERTY,12,8,0,100.0,0,0,206,0,0,42.1,60.8,46.4,57.3,67.3,63.6,1,5,0,0,3,9.5,2,0,1,79.2,1,0,0,1,0,5,226,225,0,13,123,89,0,1,99,122,0,9,11,2,1,6,0,3,2,3.0,2025_this_team
Nathan Pirolli,174938,DI,LIBERTY,12,13,3,,0,0,206,0,0,62.3,69.0,57.3,59.7,73.0,74.9,1,5,0,0,,5.3,2,0,1,0.0,0,1,0,0,0,0,316,316,82,181,3,50,0,0,154,162,0,15,23,1,0,7,0,0,0,,2025_this_team
Seneca Moore Jr.,191100,ED,LIBERTY,2,0,0,,0,0,206,0,0,,73.3,72.1,58.1,70.9,73.0,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,6,6,0,0,6,0,0,0,2,4,0,1,1,1,0,0,0,0,0,,2025_this_team
Weston Woodard,191107,DI,LIBERTY,2,0,0,,0,0,206,0,0,,49.2,70.8,53.2,55.1,21.8,0,2,0,0,,100.0,1,0,0,0.0,0,0,0,0,0,0,10,10,0,10,0,0,0,0,6,4,0,0,0,0,0,2,0,0,0,,2025_this_team
Gavin Askew,198659,DI,LIBERTY,1,0,0,,0,0,206,0,0,,50.9,66.6,60.0,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,2025_this_team
Kam Cullins,198667,DI,LIBERTY,9,2,1,,0,0,206,0,0,,49.8,0.0,58.2,55.3,76.3,0,2,0,0,,0.0,0,0,2,0.0,0,0,0,0,0,0,80,80,40,39,0,1,0,0,40,40,0,2,5,0,0,2,0,0,0,,2025_this_team
Samuel Cohen,198669,ED,LIBERTY,11,2,0,,0,0,206,0,0,60.2,57.2,79.3,62.8,52.1,76.3,0,4,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,75,75,0,10,40,25,0,0,33,41,0,2,2,0,0,4,0,0,0,,2025_this_team
