player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Jordan Lawson,122647,ED,LA LAFAYET,13,15,2,100.0,0,1,207,0,0,80.2,77.1,41.6,80.7,68.0,59.4,5,25,0,0,14,18.3,11,0,3,118.8,3,5,0,3,0,21,601,597,0,25,431,141,0,4,282,298,0,31,34,10,3,35,0,39,47,13.0,2025_this_team
Jaelen Crider,130616,DI,LA LAFAYET,13,11,0,,0,0,207,0,0,60.5,67.4,87.4,55.5,71.4,75.6,1,4,0,0,,3.7,1,0,0,0.0,0,2,0,1,0,1,488,487,140,307,8,32,0,1,236,251,0,11,15,1,0,7,0,0,0,,2025_this_team
Cameron Whitfield,147164,ED,LA LAFAYET,13,6,0,57.1,0,0,207,2,0,71.0,67.8,52.4,62.5,68.9,52.5,1,12,0,1,10,21.6,8,0,2,23.8,4,2,0,0,0,26,498,489,0,2,439,48,0,9,226,246,8,16,23,0,7,15,0,23,20,5.8,2025_this_team
Fitzgerald West Jr.,157107,DI,LA LAFAYET,13,8,1,,0,0,207,0,0,57.0,60.7,86.2,55.2,62.9,81.4,2,4,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,2,409,409,160,239,4,6,0,0,200,207,0,12,16,0,0,7,0,0,0,,2025_this_team
Drenon Fite III,158266,ED,LA LAFAYET,13,3,0,100.0,0,0,207,0,0,55.7,66.6,83.5,59.7,70.2,63.9,0,5,0,0,13,14.3,2,0,0,118.8,1,1,0,0,0,6,174,170,0,2,159,9,0,4,64,104,4,5,9,0,1,6,0,13,8,13.0,2025_this_team
Maxie Baudoin IV,158406,DI,LA LAFAYET,12,4,0,,0,0,207,0,0,60.5,66.7,44.8,64.6,67.4,62.7,0,6,0,0,,10.0,1,0,1,0.0,0,1,0,0,0,1,207,207,47,133,4,23,0,0,110,96,0,3,5,0,0,7,0,0,0,,2025_this_team
Ashley Williams,171892,ED,LA LAFAYET,13,5,0,50.0,0,0,207,2,0,48.1,53.1,84.6,50.6,57.7,65.0,2,5,0,0,23,10.0,2,0,0,91.7,1,0,0,0,0,11,233,230,0,3,195,32,0,3,96,126,3,9,13,2,2,7,0,23,7,23.0,2025_this_team
Kadarius Miller,173676,DI,LA LAFAYET,13,11,1,,0,0,207,0,0,60.1,65.7,86.9,73.2,57.8,41.3,0,12,0,0,,18.2,6,0,0,0.0,0,0,0,1,0,2,463,461,172,272,5,12,0,2,230,231,0,13,16,2,0,12,0,0,0,,2025_this_team
Chase Edwards,176346,DI,LA LAFAYET,12,7,0,,0,0,207,0,0,,60.4,83.1,55.5,61.5,78.2,1,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,196,195,54,127,1,13,0,1,72,124,0,4,9,1,0,1,0,0,0,,2025_this_team
Lester Jones,176353,ED,LA LAFAYET,4,0,0,100.0,0,0,207,0,0,49.9,51.2,77.8,57.8,54.4,28.2,0,0,0,0,6,33.3,2,0,0,81.3,2,0,0,1,0,3,32,30,0,0,29,1,0,2,19,10,1,2,4,1,2,0,0,7,9,3.5,2025_this_team
Lance Williams,176366,ED,LA LAFAYET,13,4,0,,0,0,207,0,0,58.3,58.1,82.6,54.3,60.3,69.7,0,1,0,0,,15.4,2,0,0,0.0,0,0,0,0,0,3,203,203,0,15,128,60,0,0,91,109,0,4,7,0,0,1,0,0,0,,2025_this_team
Priest Ashe,197864,ED,LA LAFAYET,9,1,1,,0,0,207,0,0,67.6,56.2,80.6,60.0,48.3,66.8,0,2,0,0,,10.0,1,0,0,0.0,0,0,0,0,0,1,112,112,1,8,81,22,0,0,49,62,0,4,8,0,0,2,0,0,0,,2025_this_team
Ashton Wright,197865,DI,LA LAFAYET,9,3,0,,0,0,207,1,0,58.5,57.1,80.6,54.9,58.5,38.2,1,0,0,0,,20.0,2,0,0,0.0,0,0,0,0,0,0,103,103,39,63,1,0,0,0,42,61,0,3,5,0,0,1,0,0,0,,2025_this_team
