player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Cedric Woods,122690,CB,LA TECH,11,2,0,47.1,1,1,208,0,0,62.6,64.8,6.5,62.5,81.6,86.0,1,0,0,0,39,3.1,1,8,5,78.3,24,0,0,10,455,305,509,34,0,0,34,0,0,475,5,199,9,11,29,1,51,1,1,373,163,15.5,2025_this_team
Jakari Foster,155252,S,LA TECH,13,24,1,53.8,0,2,208,0,0,90.2,87.2,40.7,85.7,65.9,61.7,3,2,1,8,23,15.7,11,3,1,49.8,14,0,0,284,7,380,633,6,0,0,6,0,249,627,6,247,87,11,35,1,26,5,2,105,53,7.5,2025_this_team
JayT Jackson,156696,CB,LA TECH,5,1,0,66.7,0,0,208,0,0,39.2,41.0,74.0,,59.0,76.2,0,0,0,0,40,0.0,0,0,0,149.3,2,0,0,2,22,14,25,1,0,0,1,0,0,24,0,11,0,0,1,0,3,0,1,75,33,37.5,2025_this_team
Joshua Cobbs,162955,S,LA TECH,13,4,0,54.5,0,0,208,0,0,60.8,60.1,82.9,,56.8,56.4,0,0,0,0,34,18.8,3,2,1,84.7,6,0,0,73,2,143,232,1,0,0,1,0,47,231,0,89,109,3,9,0,11,0,0,98,76,16.3,2025_this_team
Jhamal Shelby Jr.,162966,CB,LA TECH,12,11,0,61.5,0,0,208,0,0,68.2,69.9,86.9,57.6,73.9,72.1,0,0,0,0,42,11.8,6,6,7,83.3,32,0,0,30,622,428,689,28,0,0,28,0,0,661,2,259,9,10,34,0,52,0,0,373,115,11.7,2025_this_team
Jacob Fields,170457,S,LA TECH,12,15,0,60.0,0,0,208,0,0,80.2,72.8,54.3,54.5,59.0,38.9,2,2,2,3,41,24.4,29,5,3,88.1,15,0,0,203,1,457,775,7,0,0,7,0,464,768,18,300,100,21,75,3,25,4,4,216,57,14.4,2025_this_team
Cam Hill,170461,S,LA TECH,2,0,0,,0,0,208,0,0,60.4,60.8,63.7,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,2,3,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,,2025_this_team
Michael Richard,170466,S,LA TECH,12,7,0,65.0,0,0,208,0,0,63.4,67.4,86.7,60.0,78.0,58.1,0,0,0,3,75,17.3,9,2,2,83.8,39,0,0,197,13,365,603,2,0,0,2,0,46,601,1,237,344,23,36,5,60,0,4,377,225,9.7,2025_this_team
Kam Franklin,174290,S,LA TECH,12,3,0,75.0,0,1,208,1,1,67.4,65.1,81.0,59.7,57.5,39.7,0,0,0,1,28,26.7,8,2,0,62.8,9,0,0,107,1,115,189,1,0,0,1,0,44,188,1,73,36,3,19,1,12,0,0,95,39,10.6,2025_this_team
Kenyatta McNeese,179033,S,LA TECH,13,0,0,60.0,1,0,208,0,0,46.5,43.8,78.9,,41.1,64.0,0,0,0,0,35,20.0,2,0,1,101.3,3,0,0,21,0,61,101,0,0,0,0,0,67,101,0,40,13,1,8,0,5,0,0,59,19,19.7,2025_this_team
Ahkhari Johnson,184387,CB,ARKANSAS,2,1,0,100.0,0,0,111,0,0,63.0,66.8,73.8,,67.6,79.2,0,0,0,0,2,0.0,0,0,0,79.2,1,0,0,2,0,5,13,0,0,0,0,0,1,13,0,8,10,0,1,0,1,0,0,2,3,2.0,arrival_2025_at_ARKANSAS
Jaitlin Hampton,186470,CB,LA TECH,7,0,0,50.0,0,0,208,0,0,72.5,72.6,76.2,,63.2,38.8,1,0,0,0,11,33.3,1,1,0,56.3,2,0,0,2,35,26,39,0,0,0,0,0,0,39,0,13,1,2,2,0,4,1,0,12,10,6.0,2025_this_team
Jacoryian Crowe,189817,S,LA TECH,1,1,0,,0,0,208,0,0,60.6,68.8,65.3,,64.2,73.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,2,0,2,3,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,,2025_this_team
Jordan Pierro,191090,S,LA TECH,1,0,0,,0,0,208,0,0,60.0,60.1,63.8,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,2025_this_team
Amari Butler,198676,CB,LA TECH,13,1,0,46.4,0,1,208,0,0,62.8,64.8,27.7,,78.2,55.4,0,0,0,0,51,17.2,5,3,1,87.8,13,0,0,32,323,250,400,5,0,0,5,0,0,395,0,150,40,9,23,1,28,0,1,236,97,18.2,2025_this_team
Jordan McRae,198677,S,LA TECH,8,3,0,42.9,0,0,208,0,0,75.1,74.9,79.6,,69.5,80.8,0,0,0,1,15,0.0,0,3,0,25.9,6,0,0,35,2,69,108,1,0,0,1,0,13,107,0,39,56,1,2,0,14,0,0,60,21,10.0,2025_this_team
Kameron Carter,205001,CB,LA TECH,11,0,0,66.7,1,0,208,0,0,70.8,69.7,82.2,67.3,55.9,60.9,0,0,0,1,34,17.6,3,0,3,88.2,10,1,0,14,239,160,258,4,0,0,4,0,0,254,5,93,1,6,14,0,15,1,1,130,74,13.0,2025_this_team
Sam Fongang,205008,S,LA TECH,12,6,0,40.0,0,0,208,0,0,62.0,71.4,81.1,65.5,90.2,75.5,0,1,0,0,20,8.3,2,2,0,88.3,4,0,0,70,2,114,188,0,0,0,0,0,69,188,3,71,47,9,16,1,10,1,1,47,17,11.8,2025_this_team
