player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Eli Finley,170458,TE,LA TECH,13,7.3,5,77.1,57.1,8,14,0,0.0,0,-0.18,17,208,0,90.7,72.9,71.5,68.7,73.7,80.1,286,1,72,30.8,110,357,2,39.5,37,66.1,236,16.5,59,96.3,48,0,1.4,5,445,225,6.1,12.0,1.89,2025_this_team
Devin Gandy,147781,WR,LA TECH,13,13.8,8,47.8,45.5,5,11,0,15.4,4,-0.18,17,208,1,48.5,43.3,61.6,60.9,61.9,0.0,0,2,42,0.3,1,297,2,41.4,22,93.3,277,2.4,7,71.7,46,2,97.6,290,369,95,4.3,16.8,1.33,2025_this_team
Marlion Jackson,162957,WR,LA TECH,13,11.5,7,46.5,100.0,4,4,0,16.7,4,-0.1,13,208,2,44.0,18.9,56.0,,58.5,1.3,3,4,52,0.0,0,225,4,41.0,20,94.2,212,70.7,159,53.4,43,2,27.6,62,370,158,7.9,18.5,1.75,2025_this_team
Marques Singleton Jr.,198679,WR,LA TECH,10,4.3,6,79.3,66.7,2,3,0,8.0,2,-0.14,7,208,0,66.7,72.9,62.2,,62.7,0.0,0,0,15,0.0,0,149,0,40.7,23,94.0,140,14.8,22,100.4,29,1,85.2,127,155,98,4.3,6.7,1.11,2025_this_team
Jalen Mickens,198689,WR,LA TECH,13,6.9,3,78.6,40.0,2,5,0,4.3,1,-0.06,8,208,1,75.9,27.9,56.6,70.7,55.8,0.5,1,1,40,0.9,2,219,0,42.2,22,95.4,209,49.3,108,91.1,28,1,49.8,109,184,86,3.9,8.4,0.88,2025_this_team
David Pierro,205007,WR,LA TECH,11,6.5,4,72.7,50.0,2,4,0,0.0,0,-0.24,1,208,0,79.3,67.1,53.9,67.7,56.0,2.9,2,0,32,5.8,4,69,1,42.2,8,87.0,60,75.4,52,87.3,11,0,20.3,14,65,24,3.0,8.1,1.08,2025_this_team
Dedrick Latulas,170463,WR,LA TECH,7,10.6,1,80.0,50.0,1,2,0,0.0,0,-0.32,2,208,0,74.9,87.8,53.0,63.1,58.5,0.0,0,0,25,1.8,1,56,0,41.5,4,92.9,52,92.9,52,115.8,5,0,7.1,4,59,32,8.0,14.8,1.13,2025_this_team
Dane Benedix,198674,WR,LA TECH,6,9.4,0,60.0,100.0,1,1,0,0.0,0,-0.23,1,208,0,73.1,64.1,54.1,,55.5,0.0,0,0,10,0.0,0,44,0,40.5,3,95.5,42,2.3,1,67.9,5,0,97.7,43,19,2,0.7,6.3,0.45,2025_this_team
Luke Watkins,198688,WR,LA TECH,8,19.0,1,50.0,0.0,0,1,0,0.0,0,0.25,2,208,0,70.7,63.7,57.8,,56.0,0.0,0,1,20,0.0,0,50,0,47.9,2,94.0,47,0.0,0,44.8,4,0,100.0,50,39,7,3.5,19.5,0.83,2025_this_team
Tre Averhart,166392,WR,LA TECH,10,18.3,0,25.0,0.0,0,2,0,0.0,0,-0.18,1,208,0,66.7,61.0,54.7,,51.6,0.0,0,0,6,0.0,0,61,0,39.7,1,95.1,58,78.7,48,79.2,4,1,21.3,13,6,0,0.0,6.0,0.1,2025_this_team
Jay Simon,189827,WR,LA TECH,2,34.0,0,0.0,0.0,0,1,0,,0,-1.07,0,208,0,,,56.3,,57.3,0.0,0,0,0,0.0,0,2,0,0.0,0,50.0,1,0.0,0,39.6,1,0,100.0,2,0,0,,,0.0,2025_this_team
Brayden Bockler,198678,TE,LA TECH,11,-2.0,0,100.0,,0,0,0,0.0,0,-0.39,0,208,0,66.7,61.0,57.2,76.4,48.1,84.3,43,0,5,62.7,32,51,0,33.3,1,35.3,18,3.9,2,87.5,1,0,0.0,0,5,7,7.0,5.0,0.28,2025_this_team
