player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Jayshaun Coffman,121726,DI,LOUISVILLE,4,0,0,,0,0,210,0,0,,71.7,74.0,68.9,67.5,74.8,0,3,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,30,30,0,21,0,9,0,0,15,15,0,3,3,0,0,3,0,0,0,,2025_this_team
Justin Beadles,123341,ED,LOUISVILLE,13,5,0,,0,0,210,0,0,58.3,53.4,45.2,51.9,58.0,38.7,0,3,0,0,,25.0,4,0,1,0.0,0,0,0,0,0,3,203,201,0,2,142,57,0,2,98,102,2,2,7,0,0,3,0,0,0,,2025_this_team
Wesley Bailey,129871,ED,LOUISVILLE,12,10,0,100.0,0,0,210,0,0,65.1,77.0,35.9,82.2,67.3,65.8,6,29,0,0,7,10.0,3,0,3,95.8,1,9,0,3,0,10,520,514,0,26,402,86,0,6,309,201,2,18,17,1,1,44,0,7,11,7.0,2025_this_team
Rene Konga,129880,DI,LOUISVILLE,12,10,5,,0,0,210,0,0,68.1,86.4,50.3,85.2,76.9,63.2,2,22,0,0,,9.4,3,1,2,0.0,0,2,0,2,0,0,532,530,32,388,28,82,0,2,327,205,0,16,19,5,0,26,0,0,0,,2025_this_team
Jordan Guerad,145236,DI,LOUISVILLE,13,10,4,,0,0,210,1,0,64.9,79.1,85.2,72.3,76.6,60.7,4,13,0,1,,9.7,3,0,0,0.0,0,4,0,0,0,1,516,516,81,375,9,51,0,0,299,216,0,19,18,2,0,21,0,0,0,,2025_this_team
Denzel Lowry,145381,DI,LOUISVILLE,13,8,0,,0,0,210,1,0,60.9,67.6,84.5,58.0,71.1,61.8,1,8,0,0,,6.7,1,0,0,0.0,0,0,0,0,0,0,387,386,118,262,0,6,0,1,206,181,0,5,6,2,0,9,0,0,0,,2025_this_team
Selah Brown,156314,DI,LOUISVILLE,3,0,0,,0,0,210,0,0,,51.8,72.9,57.4,52.7,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,15,15,4,11,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,,2025_this_team
Clev Lubin,163200,ED,LOUISVILLE,13,11,3,100.0,0,3,210,0,0,83.6,91.4,56.5,92.7,72.8,78.8,14,39,0,0,9,8.3,4,1,2,84.2,5,11,0,3,0,63,597,567,0,1,566,0,0,30,301,233,27,33,33,3,5,64,0,21,26,4.2,2025_this_team
Tyler Thompson,170111,ED,N CAROLINA,12,4,1,100.0,0,2,245,0,0,42.0,81.5,87.9,80.8,82.9,69.9,2,11,0,0,23,13.6,3,0,0,118.8,2,7,0,3,0,23,291,287,0,1,285,1,0,4,158,110,1,16,15,1,2,20,0,42,29,21.0,arrival_2025_at_N CAROLINA
Jerry Lawson,172925,DI,LOUISVILLE,13,2,1,,0,0,210,0,0,60.0,68.8,81.4,71.6,63.1,71.9,1,7,0,0,,5.9,1,0,0,0.0,0,2,0,0,0,0,226,225,22,158,1,44,0,1,113,113,0,11,14,2,0,10,0,0,0,,2025_this_team
Micah Carter,174697,ED,LOUISVILLE,9,2,1,100.0,0,0,210,0,0,50.3,69.6,81.1,68.9,69.3,78.6,0,3,0,0,19,0.0,0,0,0,118.8,1,1,0,0,0,3,100,100,0,7,68,25,0,0,49,48,0,5,4,0,1,4,0,19,12,19.0,2025_this_team
AJ Green,174704,ED,LOUISVILLE,13,11,0,75.0,0,0,210,1,1,73.9,80.4,40.1,82.3,70.9,70.0,4,30,0,0,4,10.0,3,0,2,77.1,3,4,0,2,0,25,364,349,0,2,334,13,0,15,202,137,12,16,16,1,4,38,0,5,9,1.7,2025_this_team
Maurice Davis,183316,ED,LOUISVILLE,5,1,0,100.0,0,0,210,0,0,54.5,71.7,76.3,66.9,74.7,79.6,1,0,0,0,38,0.0,0,0,0,158.3,1,0,0,0,0,2,16,15,0,0,15,0,0,1,3,11,1,3,5,1,1,1,1,38,19,38.0,2025_this_team
Demeco Kennedy,183720,DI,PURDUE,12,6,0,,0,0,273,0,0,60.0,55.2,43.9,55.4,57.0,61.0,1,12,0,0,,13.0,3,0,2,0.0,0,1,0,0,0,0,450,450,51,333,3,63,0,0,220,230,0,10,14,3,0,14,0,0,0,,arrival_2025_at_PURDUE
Jerod Smith II,184641,ED,KENTUCKY,12,5,0,,0,1,202,0,0,60.6,71.7,53.9,63.5,76.6,68.4,2,8,0,0,,11.1,3,0,1,0.0,0,1,0,4,0,0,283,278,0,48,131,99,0,5,165,118,0,14,19,3,0,11,0,0,0,,arrival_2025_at_KENTUCKY
Daylen Russell,189450,DI,MIAMI FL,5,0,0,,0,0,220,0,0,64.8,79.0,80.1,57.3,77.6,74.5,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,29,29,28,1,0,0,0,0,13,16,0,4,5,1,0,0,0,0,0,,arrival_2025_at_MIAMI FL
Bailey Abercrombie,198702,DI,LOUISVILLE,1,0,0,,0,0,210,0,0,,38.7,69.1,59.8,53.1,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,4,4,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,,2025_this_team
Eric Hazzard,198703,ED,LOUISVILLE,2,0,0,,0,0,210,0,0,61.2,68.2,72.3,58.3,65.2,75.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,7,6,0,0,6,0,0,1,3,3,0,1,2,0,0,0,0,0,0,,2025_this_team
