player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Chris Bell,156321,WR,LOUISVILLE,11,9.4,9,67.9,50.0,12,24,0,4.0,3,-0.07,45,210,0,83.7,75.8,81.8,,83.3,0.0,0,1,64,0.0,0,375,6,45.0,72,96.0,360,14.7,55,109.7,106,6,85.3,320,917,372,5.2,12.7,2.55,2025_this_team
Caullin Lacy,121426,WR,LOUISVILLE,13,4.7,19,73.2,28.6,2,7,0,6.3,4,-0.09,25,210,0,75.3,85.6,66.8,7.5,67.9,0.2,1,2,48,0.5,2,407,1,44.9,60,95.1,387,79.6,324,93.3,82,2,17.7,72,635,482,8.0,10.6,1.64,2025_this_team
Tre Richardson,200360,WR,VANDERBILT,13,16.2,8,63.9,27.3,3,11,0,6.1,3,0.3,29,333,0,74.1,78.1,75.9,,74.6,0.0,0,3,75,0.0,0,356,1,52.2,46,94.1,335,28.4,101,117.0,72,7,71.3,254,806,395,8.6,17.5,2.41,arrival_2025_at_VANDERBILT
Brody Foley,156394,TE,TULSA,11,8.6,7,74.0,30.8,4,13,1,5.1,2,0.02,24,320,0,76.2,74.2,72.5,62.4,76.8,50.6,176,1,72,18.1,63,348,4,40.3,37,76.4,266,41.1,143,139.4,50,7,5.2,18,533,304,8.2,14.4,2.0,arrival_2025_at_TULSA
Lawayne McCoy,183307,WR,FLORIDA ST,10,13.6,3,73.0,50.0,2,4,0,0.0,0,0.18,21,167,0,88.6,72.8,70.0,62.1,70.0,0.0,0,1,34,0.4,1,279,3,44.0,27,95.0,265,48.4,135,123.3,37,3,51.6,144,396,100,3.7,14.7,1.49,arrival_2025_at_FLORIDA ST
Jaleel Skinner,156343,TE,LOUISVILLE,13,7.8,4,67.7,66.7,2,3,0,4.5,1,-0.12,11,210,0,75.9,70.9,53.4,69.5,63.4,51.0,124,2,33,22.6,55,243,4,42.2,21,72.8,177,43.2,105,80.6,31,2,1.6,4,204,107,5.1,9.7,1.15,2025_this_team
Justyn Reid,176430,TE,TULANE,14,6.6,2,56.7,50.0,1,2,1,15.0,3,0.2,10,319,0,49.0,69.7,52.5,61.5,55.1,58.8,147,0,33,28.8,72,250,3,49.4,17,68.0,170,24.8,62,110.4,30,3,9.6,24,200,134,7.9,11.8,1.18,arrival_2025_at_TULANE
Nate Kurisky,156319,TE,LOUISVILLE,11,6.0,0,71.4,60.0,3,5,1,4.8,1,-0.01,8,210,0,74.4,70.2,60.3,62.9,63.3,43.7,93,1,37,21.1,45,213,5,47.1,20,75.6,161,37.1,79,93.9,28,2,2.3,5,157,59,3.0,7.9,0.98,2025_this_team
Dacari Collins,144111,WR,LOUISVILLE,12,17.1,6,48.1,25.0,1,4,1,0.0,0,-0.24,9,210,0,84.2,69.5,64.9,,67.3,0.0,0,0,36,0.0,0,157,2,38.2,13,96.8,152,8.9,14,88.3,27,1,91.1,143,219,29,2.2,16.8,1.44,2025_this_team
Antonio Meeks,168551,WR,LOUISVILLE,13,13.5,4,63.0,33.3,3,9,0,5.6,1,-0.15,12,210,0,72.8,70.8,63.6,,62.8,0.0,0,1,23,0.0,0,190,0,48.1,17,95.3,181,3.7,7,80.6,27,1,96.3,183,189,62,3.6,11.1,1.04,2025_this_team
