player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Marvae Myers,97517,CB,MARSHALL,10,5,0,47.2,0,0,214,0,0,64.0,67.3,84.6,67.8,76.7,66.5,0,0,0,1,69,14.7,5,2,6,107.9,17,1,0,78,434,297,535,2,0,0,2,0,17,533,4,234,4,6,24,0,36,1,4,354,155,20.8,2025_this_team
Daytione Smith,121749,S,MARSHALL,12,13,0,50.0,0,0,214,1,0,74.5,71.0,86.0,55.9,62.0,76.3,0,0,0,3,22,10.0,6,5,2,22.9,15,0,0,270,0,362,641,2,0,0,2,0,253,639,3,276,116,13,41,1,30,0,0,135,60,9.0,2025_this_team
Ajani Cuevas-Gillis,121841,S,MARSHALL,2,0,0,0.0,0,0,214,0,0,77.5,82.0,75.3,60.0,73.5,76.4,0,0,0,0,,0.0,0,1,0,39.6,0,0,0,5,0,6,17,8,0,0,8,0,1,9,1,10,3,2,2,1,1,0,0,0,0,,2025_this_team
Jadarius Green-McKnight,122399,S,MARSHALL,11,4,0,75.0,1,0,214,0,0,62.5,67.1,84.8,73.1,69.8,73.2,1,5,0,1,40,8.7,2,0,1,109.7,9,0,0,83,1,142,320,39,0,0,39,0,23,281,24,154,174,6,17,1,12,6,1,158,76,17.6,2025_this_team
Josh Pierre-Louis,122880,S,MARSHALL,12,11,0,57.1,0,0,214,0,0,64.0,62.9,49.8,55.4,64.0,78.3,0,3,0,0,71,8.1,3,0,1,132.6,12,1,0,123,3,279,533,61,0,0,61,0,71,472,32,222,275,13,23,0,21,4,2,258,128,21.5,2025_this_team
Pete Schuh,127337,S,MARSHALL,1,0,0,,0,0,214,0,0,,60.1,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,2025_this_team
Cam Smith,145767,S,MARSHALL,12,10,0,53.3,0,1,214,0,0,64.4,69.2,56.6,66.5,74.4,64.4,1,6,0,0,57,16.7,14,5,2,121.0,16,2,0,374,2,383,732,47,0,0,47,0,208,685,33,316,101,22,60,4,30,9,4,251,137,15.7,2025_this_team
Boogie Trotter,165156,CB,MARSHALL,12,18,0,61.4,0,1,214,1,0,85.9,87.0,52.9,69.4,91.1,68.8,3,1,2,5,66,12.6,11,4,1,64.9,27,1,0,192,345,387,715,19,1,1,17,0,14,696,10,318,145,21,58,2,44,5,2,381,223,14.1,2025_this_team
Charles McCartherens,171206,CB,BUFFALO,4,3,0,50.0,0,0,126,0,0,76.0,76.5,78.5,60.0,70.1,82.9,0,0,0,0,9,0.0,0,0,0,56.3,4,1,0,8,96,61,106,1,0,0,1,0,0,105,1,44,0,5,6,0,8,1,0,16,6,4.0,arrival_2025_at_BUFFALO
Darrell Sweeting,173284,CB,MARSHALL,12,2,0,71.1,0,0,214,0,0,58.9,57.6,83.4,63.0,49.1,66.0,0,2,0,1,73,16.2,6,0,1,122.6,27,1,0,62,407,274,476,3,0,0,3,0,1,473,7,195,2,6,29,0,38,3,3,419,252,15.5,2025_this_team
