player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,_provenance
Shunmarkus Adams,150889,G,MARSHALL,12,100.0,0,214,60.1,71.4,57.4,4,8,381,100.0,100.0,98.2,4,13,1,852,0,852,0,852,406,406,0,0,446,0,2025_this_team
Eric Meeks,53398,C,MARSHALL,12,100.0,1,214,65.6,73.9,61.5,0,8,381,100.0,100.0,98.4,5,10,2,852,852,0,0,852,406,406,0,0,446,0,2025_this_team
Jalen Slappy,156800,G,MARSHALL,12,100.0,0,214,65.2,62.4,65.1,2,17,351,100.0,100.0,97.3,2,19,0,799,0,0,0,799,374,374,593,206,425,0,2025_this_team
Tariq Montgomery,156802,T,MARSHALL,11,100.0,1,214,58.5,59.6,56.6,2,14,268,100.0,100.0,95.9,3,19,3,571,0,0,416,571,284,284,0,153,287,0,2025_this_team
Christian Richter,159769,T,MARSHALL,8,99.6,0,214,54.9,69.3,50.7,0,8,212,99.1,99.1,98.1,5,8,0,515,0,0,28,517,230,232,0,486,285,0,2025_this_team
Tyler McDuffie,153302,T,MARSHALL,10,100.0,1,214,50.2,62.9,50.5,4,5,163,100.0,100.0,97.2,6,9,0,407,0,0,405,407,172,172,0,1,235,0,2025_this_team
Bryce Biggs,144784,G,MARSHALL,7,100.0,0,214,52.1,76.3,46.8,0,2,114,100.0,100.0,99.1,1,2,0,236,0,17,0,236,123,123,219,0,113,0,2025_this_team
Evan Ferguson,170797,G,MARSHALL,3,100.0,0,214,68.4,80.7,71.9,0,0,9,100.0,100.0,100.0,1,0,0,34,3,0,0,34,9,9,31,0,25,0,2025_this_team
Eli Kaufman,198717,G,MARSHALL,2,100.0,0,214,59.5,66.0,56.9,0,1,18,100.0,100.0,91.7,0,2,1,23,0,0,0,23,18,18,23,0,5,0,2025_this_team
Peyton Ellis,160083,T,MARSHALL,2,100.0,0,214,75.9,,73.4,0,0,0,,,,0,0,0,17,0,0,0,17,0,0,0,17,17,0,2025_this_team
Andrew Dudley,198720,C,MARSHALL,1,100.0,0,214,49.8,,51.8,0,0,0,,,,0,0,0,14,14,0,0,14,0,0,0,0,14,0,2025_this_team
Jack Laird,205034,T,MARSHALL,1,100.0,0,214,70.7,,69.2,0,0,0,,,,0,0,0,14,0,0,14,14,0,0,0,0,14,0,2025_this_team
Morgan Scott,162981,G,MARSHALL,2,100.0,0,214,69.1,67.0,66.0,1,0,6,100.0,100.0,91.7,0,1,0,9,0,0,0,9,6,6,3,6,3,0,2025_this_team
Robby Martin,183365,G,W VIRGINIA,1,100.0,0,343,48.8,72.9,58.9,0,0,2,100.0,100.0,100.0,1,0,0,6,0,6,0,6,2,2,0,0,4,0,arrival_2025_at_W VIRGINIA
Xavier Bausley,163939,T,W VIRGINIA,1,100.0,0,343,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,0,2,2,0,arrival_2025_at_W VIRGINIA
