player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Demarcus Lacey,164301,WR,MARSHALL,12,6.1,19,69.9,61.5,8,13,0,5.8,4,0.04,37,214,1,72.3,59.7,79.6,,79.4,0.0,0,2,68,0.0,0,295,2,45.2,65,94.6,279,95.3,281,104.0,93,5,4.1,12,774,532,8.2,11.9,2.77,2025_this_team
De'Andre Tamarez,166545,WR,MARSHALL,12,11.4,7,62.7,60.0,9,15,0,3.0,1,0.07,22,214,0,74.0,72.1,62.3,,64.2,0.0,0,0,44,0.0,0,364,2,45.3,32,94.0,342,8.2,30,99.7,51,2,91.8,334,395,140,4.4,12.3,1.15,2025_this_team
Toby Payne,156805,TE,MARSHALL,12,7.4,3,80.4,57.1,4,7,0,5.1,2,0.05,19,214,0,76.7,73.0,65.8,65.5,64.3,36.5,142,2,48,19.5,76,389,2,44.9,37,76.3,297,58.6,228,105.9,46,3,3.3,13,393,117,3.2,10.6,1.32,2025_this_team
Adrian Norton,176301,WR,MARSHALL,12,11.8,9,65.9,57.1,4,7,0,3.6,1,0.15,18,214,0,79.5,71.5,66.3,,65.7,0.0,0,0,41,0.0,0,305,1,47.2,27,92.8,283,3.9,12,133.4,41,5,96.1,293,363,151,5.6,13.4,1.28,2025_this_team
Xayvion Turner-Bradshaw,157644,WR,MARSHALL,10,12.3,0,60.0,50.0,1,2,0,10.0,1,0.34,7,214,0,61.0,76.2,63.4,,65.3,0.0,0,0,44,0.0,0,57,0,49.1,9,93.0,53,98.2,56,87.9,15,0,1.8,1,129,45,5.0,14.3,2.43,2025_this_team
Chris Culliver,175393,WR,N CAROLINA,6,17.4,0,38.5,0.0,0,2,0,37.5,3,-0.27,4,245,0,20.0,69.0,51.4,,51.9,0.0,0,0,51,0.0,0,84,1,37.5,5,95.2,80,15.5,13,91.8,13,1,84.5,71,100,6,1.2,20.0,1.25,arrival_2025_at_N CAROLINA
Ben Turner,198713,WR,MARSHALL,10,5.0,0,69.2,0.0,0,1,0,10.0,1,-0.38,4,214,0,61.0,68.9,62.4,,64.0,0.0,0,0,17,0.0,0,51,0,32.7,9,96.1,49,100.0,51,77.7,13,0,0.0,0,56,53,5.9,6.2,1.14,2025_this_team
Jakolbe Baldwin,143984,WR,MARSHALL,9,15.0,1,44.4,0.0,0,2,0,0.0,0,0.09,1,214,0,74.9,65.0,52.9,60.5,51.8,0.0,0,1,24,1.4,1,70,0,47.7,4,91.4,64,2.9,2,15.3,9,0,95.7,67,34,2,0.5,8.5,0.53,2025_this_team
Bryan Robinson,122413,WR,MARSHALL,6,7.4,1,60.0,50.0,2,4,0,0.0,0,-0.48,1,214,0,73.1,65.4,56.6,,55.5,0.0,0,0,19,0.0,0,37,0,35.1,3,100.0,37,5.4,2,77.1,5,0,94.6,35,30,11,3.7,10.0,0.81,2025_this_team
Christian Hamilton,170105,WR,W VIRGINIA,4,7.7,0,66.7,0.0,0,1,0,0.0,0,-0.07,1,343,0,70.7,62.9,60.4,,57.5,0.0,0,0,15,0.0,0,27,0,36.0,2,92.6,25,18.5,5,92.4,3,0,81.5,22,25,7,3.5,12.5,1.0,arrival_2025_at_W VIRGINIA
Antonio Harmon,146849,WR,MARSHALL,6,20.0,0,50.0,100.0,1,1,0,0.0,0,-0.14,1,214,0,66.7,61.0,62.1,,61.4,0.0,0,0,34,0.0,0,24,0,26.1,1,95.8,23,0.0,0,95.8,2,0,100.0,24,34,4,4.0,34.0,1.48,2025_this_team
Tracy Stephens,176385,TE,MARSHALL,6,7.0,0,100.0,100.0,1,1,0,0.0,0,1.3,2,214,0,70.7,62.9,71.2,75.9,89.4,100.0,16,0,14,62.5,10,16,1,54.5,2,18.8,3,0.0,0,143.8,2,1,0.0,0,18,4,2.0,9.0,6.0,2025_this_team
Zavier Short,158105,WR,MARSHALL,3,0.0,0,0.0,,0,0,0,,0,-1.17,0,214,0,,,49.8,,55.1,0.0,0,0,0,0.0,0,9,1,0.0,0,100.0,9,0.0,0,39.6,1,0,100.0,9,0,0,,,0.0,2025_this_team
