player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Cam Rice,144796,DI,MARYLAND,12,16,1,,0,0,215,0,0,57.3,71.4,51.5,77.0,67.4,56.4,2,23,0,0,,12.5,5,0,2,0.0,0,2,0,0,0,6,566,566,44,454,3,65,0,0,286,274,0,14,19,3,0,27,0,0,0,,2025_this_team
Jayvon Parker,162497,DI,WASHINGTON,1,0,0,,0,0,340,0,0,,57.9,67.9,,58.5,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,4,4,0,3,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,,arrival_2025_at_WASHINGTON
Armon Parker,162498,DI,WASHINGTON,8,2,0,,0,0,340,0,0,60.0,61.4,79.4,57.2,62.5,37.2,0,3,0,0,,27.3,3,0,0,0.0,0,1,0,4,0,0,112,108,10,92,0,6,0,4,56,56,0,6,6,0,0,4,0,0,0,,arrival_2025_at_WASHINGTON
Daniel Owens,162801,DI,MARYLAND,4,1,0,,0,0,215,0,0,59.4,61.8,76.4,49.7,72.5,54.4,0,1,0,0,,16.7,1,0,1,0.0,0,0,0,0,0,1,56,56,0,45,1,10,0,0,30,25,0,4,4,0,0,1,0,0,0,,2025_this_team
Neeo Avery,170182,ED,MARYLAND,7,0,0,,0,0,215,0,0,44.8,43.6,83.9,57.4,39.9,58.2,1,3,0,0,,20.0,1,0,0,0.0,0,0,0,2,0,5,107,101,0,0,101,0,0,6,46,56,4,4,4,1,0,4,0,0,0,,2025_this_team
Dillan Fontus,170192,DI,MARYLAND,12,7,1,,0,0,215,0,0,58.4,64.7,84.4,57.3,68.8,45.3,1,8,0,0,,17.1,6,0,0,0.0,0,3,0,0,0,4,428,428,17,253,50,108,0,0,219,205,0,18,22,3,0,12,0,0,0,,2025_this_team
Lavon Johnson,170195,DI,TEXAS,7,2,0,,0,0,311,0,0,60.0,62.2,76.7,61.7,59.7,75.0,2,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,63,63,4,46,1,12,0,0,40,23,0,2,3,1,0,2,0,0,0,,arrival_2025_at_TEXAS
Eyan Thomas,171680,DI,MARYLAND,12,7,1,100.0,0,1,215,0,0,58.1,64.2,24.2,65.4,66.1,47.6,0,6,0,0,8,21.9,7,0,3,100.0,1,3,0,0,0,3,397,397,100,279,2,16,0,0,200,194,0,16,18,1,1,9,0,8,4,8.0,2025_this_team
Derrick LeBlanc,174350,DI,UCF,9,0,1,,0,0,323,1,0,,68.9,79.8,59.7,72.0,65.8,0,1,0,0,,9.1,1,0,0,0.0,0,1,0,0,0,0,158,158,4,137,1,16,0,0,76,82,0,10,10,2,0,2,0,0,0,,arrival_2025_at_UCF
Joel Starlings,175405,DI,MARYLAND,11,3,0,,0,0,215,0,0,,54.4,79.8,67.2,46.0,28.8,2,3,0,0,,33.3,3,0,0,0.0,0,1,0,0,0,0,132,132,9,100,2,21,0,0,62,70,0,3,3,0,0,6,0,0,0,,2025_this_team
Darius Grimes,175450,ED,MARYLAND,2,1,0,,0,0,215,0,0,,63.3,72.8,58.0,64.1,72.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,10,9,0,0,9,0,0,1,4,6,0,0,0,0,0,0,0,0,0,,2025_this_team
