player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Zukudo Igwenagu,98305,ED,UMASS,11,3,1,,0,0,216,0,0,,59.8,49.3,61.1,59.7,32.1,1,3,0,0,,26.3,5,0,1,0.0,0,0,0,0,0,0,240,240,0,2,149,89,0,0,79,161,0,10,11,0,0,4,0,0,0,,2025_this_team
Marques White,108130,ED,UMASS,12,9,1,50.0,0,2,216,0,0,65.3,90.2,90.1,92.3,76.0,70.7,9,15,0,0,10,13.3,6,1,0,64.6,1,6,0,23,0,30,470,444,0,1,440,3,2,26,174,266,1,24,30,6,2,30,0,10,4,10.0,2025_this_team
Shambre Jackson,143884,ED,UMASS,10,4,1,,0,0,216,0,0,60.0,59.8,60.7,58.8,60.2,77.2,1,6,0,0,,4.0,1,0,1,0.0,0,1,0,0,0,0,371,371,4,146,129,92,0,0,174,197,0,16,20,0,0,8,0,0,0,,2025_this_team
Aquan Robinson,147440,ED,UMASS,10,8,0,,0,0,216,0,0,61.2,55.9,27.4,57.5,56.3,38.0,2,3,0,0,,20.0,4,0,2,0.0,0,0,0,0,0,0,277,277,0,0,195,82,0,0,93,184,0,5,8,1,0,5,0,0,0,,2025_this_team
Shymell Davis,148384,DI,UMASS,11,8,0,,0,0,216,1,0,64.9,64.4,66.6,67.5,61.2,71.7,1,3,0,0,,4.2,1,0,1,0.0,0,0,0,0,0,1,412,412,171,241,0,0,0,0,161,250,0,8,15,0,0,4,0,0,0,,2025_this_team
Tim Grant-Randall,154699,DI,UMASS,12,8,1,,0,0,216,0,0,60.0,59.2,85.9,59.6,57.1,62.5,2,7,0,0,,11.1,3,0,0,0.0,0,2,0,1,0,0,510,509,96,410,0,3,0,1,225,285,0,12,16,1,0,11,0,0,0,,2025_this_team
Malachi Madison,157649,DI,UMASS,8,4,0,,1,0,216,0,0,57.3,55.5,17.5,59.3,59.2,27.0,0,3,0,0,,35.7,5,0,2,0.0,0,1,0,2,0,1,228,226,9,212,0,5,0,2,94,133,0,5,5,0,0,4,0,0,0,,2025_this_team
Tim Passmore Jr.,158626,DI,UMASS,12,7,0,,0,0,216,0,0,,53.3,31.4,52.5,56.1,56.5,0,0,0,0,,11.8,2,0,2,0.0,0,0,0,1,0,0,297,296,154,142,0,0,0,1,107,190,0,7,8,0,0,0,0,0,0,,2025_this_team
Jermaine Wiggins Jr.,158751,ED,UMASS,8,3,0,0.0,0,0,216,0,0,62.3,48.4,21.7,58.8,46.4,79.8,0,1,0,0,,0.0,0,0,1,39.6,0,0,0,0,0,2,104,104,0,0,104,0,0,0,32,70,0,1,2,0,1,1,0,0,0,,2025_this_team
David Onuoha,162913,ED,UMASS,10,9,0,100.0,0,0,216,0,0,65.5,76.6,67.0,74.4,74.0,71.2,4,13,0,0,6,10.8,4,0,1,91.7,1,3,0,2,0,15,397,395,0,6,384,5,0,2,180,202,0,21,24,3,1,20,0,6,1,6.0,2025_this_team
Andrew DePaepe,174046,ED,INDIANA,4,0,0,,0,0,190,0,0,61.3,59.5,75.4,56.4,53.8,75.0,0,3,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,25,25,0,2,20,3,0,0,10,15,0,3,3,1,0,3,0,0,0,,arrival_2025_at_INDIANA
Jaden Wiggins,176294,DI,UMASS,5,3,0,,0,0,216,0,0,,40.4,77.6,59.0,40.0,46.9,0,0,0,0,,20.0,1,0,0,0.0,0,0,0,0,0,0,26,26,19,7,0,0,0,0,4,22,0,0,1,0,0,0,0,0,0,,2025_this_team
William DePaepe,188664,ED,INDIANA,1,1,0,,0,0,190,0,0,,63.6,71.6,74.8,53.1,73.7,0,1,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,8,8,0,1,7,0,0,0,3,5,0,1,0,0,0,2,0,0,0,,arrival_2025_at_INDIANA
Erik Hehl,191114,ED,UMASS,10,4,0,,0,0,216,0,0,,60.3,11.6,63.5,61.4,78.5,0,3,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,80,80,1,42,31,6,0,0,29,51,0,5,6,0,0,3,0,0,0,,2025_this_team
Romando Johnson,205042,ED,UMASS,1,0,0,,0,0,216,0,0,,61.7,73.2,,60.9,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,8,8,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,,2025_this_team
