player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,_provenance
Ryan Mosesso,147426,T,UMASS,12,100.0,1,216,54.2,49.9,56.8,8,22,482,100.0,100.0,96.5,3,32,2,779,0,0,337,779,503,503,0,440,276,1,2025_this_team
Aitor Urionabarrenechea,173499,C,COLO STATE,12,100.0,0,144,59.8,50.4,64.9,7,12,451,100.0,100.0,97.5,4,21,2,769,674,95,0,769,482,482,0,0,287,0,arrival_2025_at_COLO STATE
Benjamin Roy Jr.,146391,C,UMASS,10,100.0,2,216,57.7,49.4,65.0,3,13,349,100.0,100.0,96.8,6,19,3,569,569,0,0,569,367,367,0,0,202,0,2025_this_team
Sullivan Weidman,157360,G,UMASS,9,100.0,0,216,51.0,43.6,49.9,3,10,291,100.0,100.0,96.7,0,16,3,466,0,384,0,466,300,300,0,77,166,5,2025_this_team
Luke Painton,109364,T,UMASS,8,100.0,2,216,50.4,29.9,67.1,5,26,270,100.0,100.0,93.5,4,33,2,441,0,0,440,441,282,282,0,0,159,1,2025_this_team
Kyle Brown,148813,G,UMASS,10,100.0,0,216,62.4,54.0,65.3,2,7,244,100.0,100.0,97.3,1,11,2,388,0,166,0,388,256,256,222,0,132,0,2025_this_team
Brock Taylor,191121,G,UMASS,8,100.0,0,216,49.0,23.4,56.1,1,17,201,100.0,100.0,95.0,1,19,1,345,0,0,0,345,210,210,341,4,135,0,2025_this_team
Peyton Miller,176281,C,UMASS,9,100.0,0,216,47.9,53.1,44.4,2,9,182,100.0,100.0,97.0,0,11,0,288,224,0,0,288,190,190,64,0,98,0,2025_this_team
Michael Entwistle,148902,G,UMASS,9,100.0,0,216,51.1,45.1,49.4,1,5,145,100.0,100.0,95.9,0,9,3,254,0,239,0,254,152,152,15,0,102,0,2025_this_team
Jaxon King,173923,T,UMASS,7,100.0,0,216,40.5,43.8,44.3,1,8,125,100.0,100.0,94.8,3,11,2,212,0,0,0,212,129,129,0,212,83,0,2025_this_team
Mao Glynn II,144221,G,UMASS,6,100.0,1,216,45.5,18.0,57.0,5,9,129,100.0,100.0,94.6,3,14,0,208,0,0,0,208,134,134,150,58,74,0,2025_this_team
Tanner Burlingame,191110,T,UMASS,3,100.0,0,216,81.2,74.6,78.8,0,0,2,100.0,100.0,100.0,0,0,0,14,0,0,14,14,2,2,0,0,12,0,2025_this_team
Riley Bloch,191109,G,UMASS,2,100.0,0,216,50.1,,49.0,0,0,0,,,,0,0,0,4,0,0,0,4,0,0,1,0,4,3,2025_this_team
