unit,pos,depth,player,class,origin,note
QB,QB,1,Marcus Stokes OR Air Noland,JR/SO,West Florida (D2) / South Carolina,"OPEN BATTLE into fall (Huff 4/4: 'heavyweight slugging'); Athlon+PS project Stokes; OurLads Feb had Noland. Stokes: 18 st 4890 yds (66% 44-21) + 987 rush 3.8 at UWF, 2025 Harlon Hill finalist, PS QB#31. Noland: ex-Ohio St 4-star, 2 gm 13 att (67%) at SC 2025, PS#45"
QB,QB,3,Denzel Gardner,RFR,Southern Miss transfer,followed Huff; no snaps
RB,RB,1,Jaylin Carter,SO,Southern Miss transfer,166 yds (4.4) 9 gm 2025; PFF 68.4/38 att; receiving back
RB,RB,1,Dallan Hayden,SR,Colorado transfer (ex-Ohio St),Memphis native; career 264-1185-8; 70-326 2025; PFF 66.2/70
RB,RB,2,Manny Covey,JR,Cincinnati transfer,career 260 yds (5.6) 3Y; PR ~10 avg 2025; committee expected (Athlon)
WRTE,WR,1,Tychaun Chapman,SR,Southern Miss transfer,449 yds (17.9?) 2025 SM + UNC/Marshall before; PS WR#31; "team's fastest" (PS); PFF 67.1/193 rt
WRTE,WR,1,Terrell Timmons Jr.,SR,Colorado transfer (ex-NC State),274 (19.6) 2Y NCSU + 80 (11.4) 2Y Colorado; field-stretcher; PFF 66.6/37 rt
WRTE,WR,1,Stonka Burnside OR Alante Brown,SO/SR(7th yr),Mississippi St / Michigan St transfers,DISCREPANCY: PS starts Burnside (PS WR#34 "will thrive"); Athlon starts Brown (speedy big-play; 4 KR 53.5 avg 2025). CFBD lists Burnside as S - position ambiguity noted
WRTE,WR,2,Brady Kluse,JR,RETURNER,340 yds (10.9) #4 on 2025 team; PFF 63.6/227 rt
WRTE,WR,2,Jemyri Davis,JR,Kansas State transfer,4 gm 8 yds at KSU 2025; PFF 43.x/65? low vol
WRTE,WR,2,Jermane Hayes / Bryce Dorsey,SO/SO,Southern Miss transfer / returner,depth
WRTE,TE,1,Hunter Tipton,SR,Middle Tennessee transfer,39-411 2025 (CFN); PFF 62.1/363 routes; also 1 st at LT'24? (PS OCR ambiguous)
WRTE,TE,2,TJ Johnson / Aidan O'Callaghan,JR/SO,WVU / Weber St transfers,PS#82 Johnson; depth
OL,LT,1,Riley McGehee OR Carde Smith,JR/RFR,Arkansas State / Colorado (ex-USC),Athlon LT=McGehee; OurLads Feb LT=C.Smith. McGehee PFF 67.7/985 at ArkSt
OL,LG,1,Parker Mitchell OR Skyler Grant,SR/SR,RETURNER (only returning starter) / Old Dominion,Mitchell PFF 59.1/915 2025; Athlon LG=Mitchell; PS RG=Woudsma w/ Mitchell LG; OurLads Feb LG=S.Grant (PFF 60.3/830 ODU)
OL,C,1,Koby Keenum OR Phillip Gray,JR/SR,Mississippi St / Richmond (FCS),DISCREPANCY: Athlon C=Keenum (low snaps at MissSt; 11 gm 2Y Kentucky before); PS C=Gray (15 st 36 gm 4Y Richmond)
