player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Malachi Toney,200155,WR,MIAMI FL,16,6.0,33,78.4,61.5,8,13,1,0.9,1,0.21,58,220,3,95.0,58.9,87.6,79.8,88.5,1.9,10,3,61,0.4,2,520,4,48.8,109,93.5,486,81.5,424,118.0,139,10,12.9,67,1211,841,7.7,11.1,2.49,2025_this_team
Cooper Barkate,159333,WR,DUKE,14,13.5,8,62.6,41.7,10,24,1,7.7,6,0.2,51,154,0,71.2,76.8,75.4,,76.1,0.0,0,2,77,0.0,0,502,3,48.5,72,93.6,470,17.5,88,106.9,115,7,82.5,414,1093,399,5.5,15.2,2.33,arrival_2025_at_DUKE
Keelan Marion,147370,WR,MIAMI FL,16,11.0,10,68.7,35.3,6,17,0,8.1,5,0.23,35,220,0,68.9,77.4,69.2,,69.4,0.0,0,3,61,0.0,0,396,2,49.5,57,96.0,380,7.1,28,89.7,83,2,92.9,368,746,319,5.6,13.1,1.96,2025_this_team
Cam Vaughn,170441,WR,W VIRGINIA,12,15.7,10,49.3,57.1,8,14,0,7.9,3,-0.2,21,343,1,68.0,39.1,66.7,,66.6,0.0,0,5,46,0.0,0,326,1,35.5,35,95.4,311,12.6,41,63.8,71,4,87.4,285,532,194,5.5,15.2,1.71,arrival_2025_at_W VIRGINIA
CJ Daniels,123874,WR,MIAMI FL,13,10.4,4,74.6,64.7,11,17,0,3.8,2,0.2,28,220,0,82.0,73.9,73.3,,73.8,0.0,0,3,47,0.0,0,334,1,48.8,50,96.4,322,13.8,46,115.1,67,7,86.2,288,557,195,3.9,11.1,1.73,2025_this_team
Vandrevius Jacobs,170341,WR,S CAROLINA,12,15.1,4,66.7,58.3,7,12,0,3.0,1,-0.14,19,289,0,81.4,72.0,66.9,,66.9,0.0,0,0,74,0.0,0,315,1,37.6,32,93.7,295,4.4,14,133.0,48,4,95.6,301,548,168,5.3,17.1,1.86,arrival_2025_at_S CAROLINA
Elija Lofton,183234,TE,MIAMI FL,15,5.6,5,74.2,50.0,1,2,0,8.0,2,0.19,11,220,0,66.7,72.1,61.4,67.7,62.4,55.0,131,1,29,18.9,45,238,3,47.6,23,77.7,185,31.9,76,112.0,31,3,6.3,15,218,128,5.6,9.5,1.18,2025_this_team
Alex Bauman,158407,TE,MIAMI FL,16,7.2,1,62.1,20.0,1,5,0,5.3,1,0.25,8,220,0,73.8,70.1,51.1,77.7,49.8,53.3,180,0,33,23.1,78,338,2,48.6,18,74.3,251,38.2,129,89.2,29,1,3.6,12,166,127,7.1,9.2,0.66,2025_this_team
Joshisa Trader,183245,WR,MIAMI FL,12,14.4,2,56.5,50.0,2,4,0,18.8,3,0.14,7,220,0,41.1,68.7,58.3,,59.4,0.0,0,1,44,0.0,0,125,0,44.9,13,94.4,118,17.6,22,77.8,23,1,82.4,103,178,53,4.1,13.7,1.51,2025_this_team
Joshua Moore,200153,WR,MIAMI FL,16,11.7,2,73.9,28.6,2,7,0,5.6,1,0.21,9,220,0,72.8,69.9,66.9,,65.2,0.0,0,0,39,0.0,0,137,0,48.1,17,94.2,129,2.9,4,130.7,23,2,97.1,133,210,65,3.8,12.4,1.63,2025_this_team
Tony Johnson,145189,WR,MIAMI FL,7,12.8,7,63.6,50.0,1,2,0,0.0,0,0.37,6,220,0,78.5,66.7,80.5,,76.0,3.7,2,1,51,0.0,0,54,0,58.5,7,98.1,53,53.7,29,69.3,11,0,42.6,23,162,87,12.4,23.1,3.06,2025_this_team
Daylyn Upshaw,200158,WR,MIAMI FL,6,2.9,2,100.0,100.0,1,1,0,0.0,0,0.47,5,220,0,78.5,66.7,63.1,,62.8,0.0,0,0,41,0.0,0,70,0,56.7,7,95.7,67,31.4,22,118.8,7,0,67.1,47,105,85,12.1,15.0,1.57,2025_this_team
Ny Carr,183228,WR,MIAMI FL,3,14.3,1,75.0,0.0,0,1,0,0.0,0,0.04,2,220,0,73.1,64.1,79.1,,74.9,0.0,0,0,25,0.0,0,11,0,54.5,3,100.0,11,18.2,2,111.5,4,0,81.8,9,45,23,7.7,15.0,4.09,2025_this_team
Ray Ray Joseph Jr.,175379,WR,MIAMI FL,3,15.5,0,50.0,,0,0,0,0.0,0,-0.04,1,220,0,70.7,66.2,60.7,,58.2,0.0,0,0,18,0.0,0,21,1,42.9,2,100.0,21,100.0,21,69.8,4,0,0.0,0,25,27,13.5,12.5,1.19,2025_this_team
Luka Gilbert,200169,TE,MIAMI FL,6,7.7,0,66.7,0.0,0,1,0,0.0,0,0.37,2,220,0,70.7,62.9,70.9,73.4,62.0,52.2,12,0,20,26.1,6,23,0,56.5,2,73.9,17,43.5,10,109.0,3,0,0.0,0,37,18,9.0,18.5,2.18,2025_this_team
Brock Schott,200168,TE,MIAMI FL,1,-0.5,2,100.0,,0,0,0,0.0,0,0.68,2,220,0,70.7,62.9,92.1,,89.7,80.0,4,0,14,0.0,0,5,0,80.0,2,100.0,5,20.0,1,116.7,2,0,0.0,0,24,25,12.5,12.0,4.8,2025_this_team
Owen Ruskavich,183241,TE,MIAMI FL,3,4.0,0,0.0,0.0,0,1,0,,0,-0.59,0,220,0,,,64.2,67.9,54.9,71.4,5,0,0,28.6,2,7,0,14.3,0,71.4,5,28.6,2,39.6,1,0,0.0,0,0,0,,,0.0,2025_this_team
