player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Kam Perry,156397,WR,MIAMI OH,14,18.6,4,46.2,50.0,7,14,0,10.6,5,-0.17,34,221,0,61.4,73.3,77.3,66.0,77.3,0.5,2,5,66,0.3,1,389,1,37.7,42,95.1,370,60.7,236,83.8,91,6,38.8,151,965,220,5.2,23.0,2.61,2025_this_team
Cole Weaver,171295,WR,MIAMI OH,14,14.4,5,58.4,52.6,10,19,0,2.2,1,-0.1,33,221,0,86.2,73.3,69.7,,70.2,0.0,0,1,36,0.0,0,420,3,39.0,45,95.2,400,20.2,85,84.4,77,1,79.8,335,642,140,3.1,14.3,1.61,2025_this_team
Keith Reynolds,171939,WR,MIAMI OH,14,8.0,5,66.7,33.3,2,6,0,2.7,1,-0.1,15,221,0,83.8,62.2,64.4,67.2,62.2,1.4,5,0,69,3.1,11,350,1,38.5,36,92.6,324,76.9,269,91.8,54,1,14.0,49,363,256,7.1,10.1,1.12,2025_this_team
Deion Colzie,147473,WR,MIAMI OH,11,19.5,0,35.5,20.0,1,5,0,26.7,4,-0.1,9,221,0,28.3,68.5,54.4,65.3,53.3,0.5,1,3,44,0.5,1,219,2,42.6,11,91.8,201,32.4,71,26.7,31,1,67.1,147,178,9,0.8,16.2,0.89,2025_this_team
Brian Shane,145796,TE,MIAMI OH,14,7.2,0,72.2,50.0,1,2,1,0.0,0,-0.09,8,221,0,82.7,68.7,78.6,67.9,77.8,73.4,130,1,20,49.7,88,177,6,40.7,13,47.5,84,15.8,28,103.0,18,2,0.6,1,116,43,3.3,8.9,1.38,2025_this_team
Braylon Isom,188281,WR,MIAMI OH,12,17.3,0,55.6,66.7,4,6,0,0.0,0,-0.1,8,221,0,80.9,67.9,60.6,,60.3,0.0,0,0,27,0.0,0,171,1,38.0,10,97.1,166,18.7,32,120.6,18,3,81.3,139,141,16,1.6,14.1,0.85,2025_this_team
Lynel Billups-Williams,171271,WR,MIAMI OH,14,8.3,1,42.9,0.0,0,2,0,14.3,1,-0.17,2,221,0,53.4,87.4,51.7,,49.8,0.8,1,0,15,0.0,0,118,0,39.5,6,95.8,113,71.2,84,53.0,14,0,22.9,27,51,34,5.7,8.5,0.45,2025_this_team
Devin Hyatt,171853,WR,ARIZONA,2,4.5,0,50.0,,0,0,0,0.0,0,-0.8,1,109,0,66.7,61.0,55.0,,54.9,0.0,0,0,10,0.0,0,13,0,20.0,1,76.9,10,0.0,0,64.6,2,0,100.0,13,10,5,5.0,10.0,1.0,arrival_2025_at_ARIZONA
Chase Becker,158026,TE,MIAMI OH,6,2.0,0,0.0,0.0,0,1,0,,0,-0.46,0,221,0,,,52.3,70.2,51.3,88.9,8,0,0,44.4,4,9,1,25.0,0,55.6,5,0.0,0,39.6,1,0,0.0,0,0,0,,,0.0,2025_this_team
Brady Simmons,173387,WR,MIAMI OH,6,6.0,0,100.0,,0,0,0,0.0,0,0.17,0,221,0,66.7,61.0,56.8,,58.1,0.0,0,0,9,0.0,0,22,0,47.4,1,86.4,19,50.0,11,104.2,1,0,50.0,11,9,3,3.0,9.0,0.47,2025_this_team
