player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Tre Williams,122165,DI,MICHIGAN,13,3,1,,0,0,222,0,0,60.0,67.8,58.6,61.6,70.5,56.2,2,7,0,0,,14.3,3,0,1,0.0,0,0,0,1,0,0,329,328,108,219,0,1,0,1,179,150,0,14,15,5,0,9,0,0,0,,2025_this_team
Randy Keumogne,138305,ED,MICHIGAN,1,0,0,,0,0,222,0,0,,60.0,66.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,2025_this_team
Rayshaun Benny,144933,DI,MICHIGAN,13,13,2,,0,0,222,1,0,60.5,78.2,64.2,65.5,84.5,58.2,3,13,0,0,,10.8,4,0,1,0.0,0,2,0,8,0,1,458,450,22,334,24,70,0,8,268,189,0,16,20,1,0,18,0,0,0,,2025_this_team
T.J. Guy,144938,ED,MICHIGAN,12,4,0,71.4,1,0,222,0,0,59.4,64.3,21.2,72.6,60.9,38.9,2,14,0,1,11,25.0,6,0,3,41.1,5,2,0,3,0,55,362,348,0,1,345,2,0,14,152,155,11,10,14,1,7,18,0,32,19,6.4,2025_this_team
Ike Iwunnah,144943,DI,MICHIGAN,8,1,0,,0,0,222,0,0,,57.3,0.0,62.1,60.8,72.9,0,1,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,49,49,10,34,1,4,0,0,27,22,0,1,1,0,0,1,0,0,0,,2025_this_team
Damon Payne,146611,DI,MICHIGAN,13,9,1,,1,0,222,0,0,,63.9,60.1,59.7,66.0,81.7,1,4,0,0,,0.0,0,0,1,0.0,0,0,0,2,0,0,348,346,106,212,6,22,0,2,178,170,0,12,15,2,0,5,0,0,0,,2025_this_team
Jaishawn Barham,156452,ED,MICHIGAN,12,9,1,54.5,1,0,222,0,0,66.5,79.3,0.0,71.6,90.4,61.6,9,9,0,0,14,17.1,7,2,6,60.0,6,3,0,56,0,63,375,304,0,0,304,0,0,71,162,150,15,24,25,5,11,21,0,29,23,4.8,2025_this_team
Derrick Moore,158543,ED,MICHIGAN,12,9,3,80.0,1,2,222,1,0,57.8,89.9,2.8,92.4,76.3,76.2,9,21,0,0,11,10.3,3,0,5,87.5,4,11,0,16,0,24,440,424,0,8,413,3,0,16,234,182,0,19,17,0,5,41,0,25,27,6.3,2025_this_team
Chibi Anwunah,162809,DI,MICHIGAN,4,0,0,,0,0,222,0,0,,74.3,73.1,71.4,67.4,,0,2,0,0,,,0,0,0,0.0,0,0,0,0,0,0,22,22,0,18,1,3,0,0,12,10,0,0,0,0,0,2,0,0,0,,2025_this_team
John Henry Daley,175027,ED,UTAH,11,8,1,100.0,0,2,328,0,0,52.6,92.0,71.9,93.4,77.6,61.5,9,32,0,0,15,16.7,7,0,1,118.8,1,10,0,5,0,14,513,508,0,37,455,16,0,5,279,220,0,29,27,6,1,51,0,15,8,15.0,arrival_2025_at_UTAH
Cameron Brandt,176306,ED,MICHIGAN,13,9,0,100.0,1,0,222,0,0,55.6,59.2,25.1,60.5,63.0,74.2,5,9,0,0,12,8.3,2,0,3,110.4,2,1,0,12,0,28,405,393,0,38,336,19,0,12,211,166,0,8,13,2,2,15,0,21,20,10.5,2025_this_team
Trey Pierce,176315,DI,MICHIGAN,13,10,0,,1,0,222,0,0,66.8,72.9,57.6,54.8,80.5,75.1,2,8,0,0,,7.5,3,0,2,0.0,0,0,0,1,0,0,405,404,25,302,14,63,0,1,219,186,0,20,27,3,0,10,0,0,0,,2025_this_team
Enow Etta,176318,DI,MICHIGAN,13,5,2,,0,0,222,0,0,,62.7,27.4,60.6,66.7,58.1,1,11,0,0,,14.3,3,0,2,0.0,0,1,0,1,0,0,295,294,3,233,9,49,0,1,178,117,0,11,13,3,0,13,0,0,0,,2025_this_team
Jonah Lea'ea,176654,DI,UTAH,13,4,1,,0,1,328,1,0,62.7,66.1,86.3,59.0,67.4,73.6,1,13,0,0,,6.3,2,0,0,0.0,0,3,0,6,0,0,623,617,53,542,9,13,0,6,327,296,0,21,26,2,0,17,0,0,0,,arrival_2025_at_UTAH
Dominic Nichols,183687,ED,MICHIGAN,12,4,0,100.0,0,0,222,0,0,66.8,72.2,44.9,68.2,73.6,85.2,2,6,0,0,6,0.0,0,0,1,91.7,1,1,0,4,0,29,198,184,0,0,184,0,0,14,87,82,10,9,13,3,1,9,0,6,6,6.0,2025_this_team
Manuel Beigel,190825,DI,MICHIGAN,3,0,0,,0,0,222,1,0,60.0,71.4,76.3,57.4,72.7,28.6,0,1,0,0,,50.0,1,0,0,0.0,0,0,0,1,0,0,41,40,9,20,0,11,0,1,25,16,0,1,1,0,0,1,0,0,0,,2025_this_team
