player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Ernest Hausmann,156458,LB,MICHIGAN,10,21,0,86.5,0,0,222,0,0,45.1,65.4,84.9,67.4,81.5,79.1,5,9,0,0,24,8.6,7,1,0,118.2,32,1,0,422,3,240,495,20,0,0,20,0,0,475,52,203,50,30,53,4,37,15,2,298,190,9.3,2025_this_team
Aisea Moa,157430,LB,MICH STATE,11,4,1,100.0,0,0,223,0,0,64.3,63.6,85.6,81.2,43.7,77.1,1,10,0,0,19,7.1,1,0,0,137.5,6,0,0,110,0,55,180,57,0,0,57,0,0,123,42,83,13,5,9,1,6,11,1,45,37,7.5,arrival_2025_at_MICH STATE
Max Alford,157627,LB,BYU,9,7,0,50.0,0,0,128,0,0,63.7,62.9,78.3,70.7,55.2,44.6,2,5,0,0,7,28.0,7,0,0,58.3,1,2,0,136,0,54,142,1,0,0,1,0,0,141,21,67,5,7,11,0,2,9,0,7,2,7.0,arrival_2025_at_BYU
Jimmy Rolder,162825,LB,MICHIGAN,12,21,0,80.6,0,0,222,1,0,61.1,72.2,85.2,60.5,80.0,88.8,3,8,0,1,31,4.7,4,2,0,93.4,29,2,0,446,4,225,531,32,0,0,32,0,0,499,72,234,49,31,61,3,36,13,1,251,151,8.7,2025_this_team
John Weidenbach,176296,LB,MICHIGAN,1,0,0,,0,0,222,0,0,,60.0,64.1,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,2025_this_team
Troy Bowles,176329,LB,MICHIGAN,12,9,0,91.7,0,1,222,0,0,62.1,60.6,80.7,70.2,52.3,86.2,4,3,0,0,21,3.3,1,0,0,120.1,11,1,0,178,3,94,210,10,0,0,10,0,0,200,25,91,18,5,20,1,12,8,1,74,37,6.7,2025_this_team
Cole Sullivan,183691,LB,MICHIGAN,11,8,0,84.0,1,0,222,0,0,48.1,59.3,32.9,66.1,69.2,69.2,0,3,0,3,27,14.9,7,0,1,60.3,21,2,0,270,2,149,331,32,0,0,32,0,0,299,39,143,27,18,32,3,25,5,0,199,170,9.5,2025_this_team
Zach Ludwig,190836,LB,MICHIGAN,1,0,0,,0,0,222,0,0,,60.0,63.9,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,2025_this_team
Nathaniel Owusu-Boateng,198797,LB,MICHIGAN,5,0,0,0.0,0,0,222,0,0,51.0,54.4,79.4,58.7,60.3,30.0,2,1,0,0,,40.0,2,0,0,39.6,0,0,0,61,0,31,75,8,0,0,8,0,0,67,15,29,6,1,3,0,1,3,0,0,0,,2025_this_team
Chase Taylor,198799,LB,MICHIGAN,8,3,0,66.7,0,0,222,0,0,51.4,62.8,83.8,55.2,76.4,54.4,0,1,0,0,6,20.0,2,0,0,74.3,2,0,0,69,0,35,80,9,0,0,9,0,0,71,8,37,1,3,5,0,3,1,0,12,4,6.0,2025_this_team
Kainoa Winston,204138,LB,MICHIGAN,1,0,0,100.0,0,0,222,0,0,45.3,47.9,67.9,59.4,64.0,76.9,0,0,0,0,18,0.0,0,0,0,118.8,1,0,0,6,0,2,11,0,0,0,0,0,2,11,1,8,3,1,2,0,1,0,0,18,1,18.0,2025_this_team
