player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,_provenance
Greg Crippen,144924,C,MICHIGAN,13,100.0,1,222,63.6,75.0,60.4,0,8,357,100.0,100.0,98.3,6,10,2,765,765,0,0,765,372,372,0,0,393,0,2025_this_team
Andrew Sprague,190841,T,MICHIGAN,12,100.0,0,222,72.6,71.0,69.9,2,17,346,100.0,100.0,97.0,2,20,1,740,0,0,4,740,360,360,0,736,380,0,2025_this_team
Jake Guarnera,183685,G,MICHIGAN,12,100.0,0,222,71.3,66.0,70.6,1,10,345,100.0,100.0,97.8,1,13,2,710,87,0,0,710,361,361,623,0,349,0,2025_this_team
Giovanni El-Hadi,144925,G,MICHIGAN,9,100.0,0,222,65.6,69.8,62.9,0,4,244,100.0,100.0,98.4,0,6,2,537,0,537,0,537,255,255,0,0,282,0,2025_this_team
Blake Frazier,183684,T,MICHIGAN,13,100.0,0,222,64.4,52.1,67.4,0,12,231,100.0,100.0,95.7,1,16,4,505,0,0,469,505,244,244,0,13,261,23,2025_this_team
Evan Link,176292,T,MICHIGAN,7,100.0,0,222,63.3,68.4,59.9,0,7,187,100.0,100.0,97.6,1,8,1,373,0,0,367,373,194,194,0,0,179,6,2025_this_team
Nathan Efobi,176270,G,MICHIGAN,7,100.0,0,222,66.9,82.3,63.5,0,6,179,100.0,100.0,98.3,1,6,0,352,0,315,0,352,186,186,37,0,166,0,2025_this_team
Brady Norton,170649,T,MICHIGAN,5,100.0,1,222,56.4,36.9,65.3,0,6,97,100.0,100.0,95.9,3,7,1,204,0,0,6,204,102,102,95,95,102,8,2025_this_team
Kaden Strayhorn,198796,C,MICHIGAN,2,100.0,0,222,50.8,55.1,52.4,0,3,48,100.0,100.0,96.9,1,3,0,94,14,0,0,94,51,51,80,0,43,0,2025_this_team
Connor Jones,158539,T,MICHIGAN,2,100.0,0,222,72.3,,70.4,0,0,0,,,,0,0,0,23,0,0,0,23,0,0,8,15,23,0,2025_this_team
Lawrence Hattar,178749,G,MICHIGAN,2,100.0,0,222,61.9,70.6,61.1,0,0,0,,100.0,,0,0,0,19,0,9,0,19,1,1,9,0,18,1,2025_this_team
Ty Haywood,204143,T,MICHIGAN,3,100.0,0,222,63.3,65.5,62.2,0,0,1,100.0,100.0,100.0,0,0,0,15,0,0,8,15,1,1,0,6,14,1,2025_this_team
Houston Ka'aha'aina-Torres,199796,C,NEBRASKA,2,100.0,0,238,62.0,74.9,60.3,0,0,4,100.0,100.0,100.0,0,0,0,14,11,0,0,14,4,4,3,0,10,0,arrival_2025_at_NEBRASKA
Ben Roebuck,190840,G,MICHIGAN,1,100.0,0,222,53.7,,53.4,0,0,0,,,,0,0,0,14,0,5,0,14,0,0,9,0,14,0,2025_this_team
Avery Gach,198803,G,MICHIGAN,1,100.0,0,222,52.2,,52.2,0,0,0,,,,0,0,0,6,0,0,0,6,0,0,6,0,6,0,2025_this_team
Brooks Bahr,176286,T,MICHIGAN,1,100.0,0,222,60.2,,60.1,0,0,0,,,,0,0,0,5,0,0,5,5,0,0,0,0,5,0,2025_this_team
Dan Taraboi,162829,G,MICHIGAN,1,100.0,0,222,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,1,1,0,0,0,0,1,0,2025_this_team
Luke Hamilton,190831,G,MICHIGAN,1,100.0,0,222,60.0,,60.0,0,0,0,,,,0,0,0,1,0,1,0,1,0,0,0,0,1,0,2025_this_team
