player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Nick Marsh,183541,WR,MICH STATE,12,11.0,28,59.8,27.3,3,11,0,9.4,6,-0.03,29,223,1,64.2,50.5,67.5,,68.5,0.0,0,2,48,0.0,0,408,2,43.3,58,94.6,386,7.6,31,92.4,97,6,92.4,377,662,276,4.8,11.4,1.72,2025_this_team
Omari Kelly,157048,WR,MICH STATE,12,11.7,5,65.3,46.7,7,15,0,2.1,1,-0.05,26,223,0,87.4,48.8,66.8,,67.7,0.0,0,0,75,0.0,0,426,0,44.4,47,94.6,403,18.5,79,102.0,72,2,81.5,347,626,208,4.4,13.3,1.55,2025_this_team
Jack Velling,162439,TE,MICH STATE,12,7.1,6,81.8,66.7,4,6,0,5.3,2,-0.05,19,223,0,75.6,72.4,63.2,68.0,67.9,48.1,180,0,28,16.6,62,374,0,44.8,36,80.2,300,43.9,164,123.4,44,3,7.8,29,359,157,4.4,10.0,1.2,2025_this_team
Chrishon McCray,163139,WR,MICH STATE,11,12.0,5,62.2,60.0,3,5,0,0.0,0,-0.14,14,223,0,87.0,73.2,64.9,,64.1,0.0,0,0,45,0.0,0,285,0,42.5,23,94.0,268,93.3,266,118.0,37,3,6.7,19,329,125,5.4,14.3,1.23,2025_this_team
Michael Masunas,158390,TE,MICH STATE,12,8.3,3,90.5,50.0,1,2,0,5.0,1,0.15,13,223,0,73.6,70.1,76.8,72.8,88.1,93.9,184,0,28,43.4,85,196,1,50.0,19,53.6,105,2.6,5,152.3,21,3,2.6,5,232,81,4.3,12.2,2.21,2025_this_team
KK Smith,171099,WR,NOTRE DAME,10,17.2,2,88.9,50.0,1,2,0,0.0,0,0.26,5,258,0,79.3,67.1,73.3,,73.4,0.0,0,0,34,0.0,0,54,0,52.0,8,92.6,50,7.4,4,158.3,9,2,92.6,50,123,21,2.6,15.4,2.46,arrival_2025_at_NOTRE DAME
Rodney Bullard Jr.,187890,WR,MICH STATE,12,16.1,0,55.6,66.7,2,3,0,0.0,0,0.07,3,223,0,76.3,68.1,65.9,,63.8,1.3,1,0,71,0.0,0,75,0,44.6,5,98.7,74,65.3,49,137.5,9,1,33.3,25,119,55,11.0,23.8,1.61,2025_this_team
Evan Boyd,171223,WR,MICH STATE,11,17.3,1,42.9,0.0,0,1,0,25.0,1,-0.15,3,223,0,39.5,64.1,59.3,67.4,56.1,1.7,1,1,22,1.7,1,60,0,55.0,3,98.3,59,6.7,4,30.4,7,0,91.7,55,54,10,3.3,18.0,0.92,2025_this_team
Kai Rios,159367,TE,MICH STATE,4,5.5,0,50.0,,0,0,0,50.0,1,0.53,1,223,0,24.5,61.0,49.5,46.6,55.6,100.0,9,0,1,66.7,6,9,0,55.6,1,33.3,3,0.0,0,95.8,2,1,0.0,0,1,0,0.0,1.0,0.33,2025_this_team
Alante Brown,97171,WR,MICH STATE,2,4.0,0,0.0,,0,0,0,,0,-3.42,0,223,0,,66.6,55.0,,56.4,0.0,0,1,0,0.0,0,3,0,0.0,0,100.0,3,100.0,3,0.0,1,0,0.0,0,0,0,,,0.0,2025_this_team
Fredrick Moore,174042,WR,MICHIGAN,1,10.0,0,0.0,,0,0,0,100.0,1,0.25,0,222,0,16.4,,45.9,,45.7,0.0,0,0,0,0.0,0,5,0,40.0,0,100.0,5,20.0,1,39.6,1,0,80.0,4,0,0,,,0.0,arrival_2025_at_MICHIGAN
Brennan Parachek,174050,TE,MICH STATE,4,-5.0,0,0.0,,0,0,0,,0,0.03,0,223,0,,,39.8,68.8,54.3,87.5,7,0,0,37.5,3,8,0,50.0,0,37.5,3,12.5,1,39.6,1,0,0.0,0,0,0,,,0.0,2025_this_team
Charles Taplin,198812,WR,MICH STATE,3,-2.0,0,100.0,,0,0,0,0.0,0,0.28,0,223,0,66.7,61.0,52.4,,58.2,0.0,0,0,8,0.0,0,5,0,60.0,1,100.0,5,40.0,2,100.0,1,0,60.0,3,8,10,10.0,8.0,1.6,2025_this_team
Jayden Savoury,205057,TE,MICH STATE,3,12.0,0,100.0,,0,0,0,0.0,0,0.61,1,223,0,66.7,61.0,75.0,,83.9,40.0,2,0,16,0.0,0,5,0,60.0,1,100.0,5,40.0,2,118.8,1,0,20.0,1,16,4,4.0,16.0,3.2,2025_this_team
