player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Brendon Harris,83446,S,MIDDLE TN,12,9,0,64.3,0,0,224,0,0,57.7,63.3,86.1,60.5,70.8,73.4,0,0,0,0,56,10.3,4,0,0,137.8,9,0,0,144,5,201,422,41,0,0,41,0,138,381,10,211,93,13,26,3,14,0,2,143,81,15.9,2025_this_team
De'Arre McDonald,123572,CB,MIDDLE TN,12,5,0,61.5,0,0,224,0,0,62.4,64.0,84.6,64.1,67.8,73.7,0,1,0,0,42,8.3,3,7,3,124.1,24,0,0,24,432,267,479,5,0,0,5,0,1,474,5,207,15,6,28,0,39,1,5,292,49,12.2,2025_this_team
Rickey Smith,145122,CB,MIDDLE TN,5,2,0,76.9,0,0,224,0,0,42.9,48.9,81.2,51.2,71.2,51.9,0,0,0,0,36,20.0,2,0,0,143.1,10,0,0,7,0,48,106,2,0,0,2,0,1,104,7,51,95,2,6,0,13,0,1,160,29,16.0,2025_this_team
John Howse IV,146966,S,MIDDLE TN,4,2,0,100.0,0,0,224,0,0,65.5,62.0,80.7,76.6,51.4,47.6,1,0,0,0,19,23.5,4,0,0,158.3,5,1,0,105,2,103,229,7,0,0,7,0,63,222,3,123,52,7,11,1,5,2,1,64,18,12.8,2025_this_team
Trevon Ferrell,162973,CB,MIDDLE TN,1,1,0,,0,0,224,0,0,57.3,59.5,74.9,,65.1,73.1,0,0,0,0,,0.0,0,0,1,0.0,0,0,0,3,34,19,38,0,0,0,0,0,0,38,0,19,1,0,0,0,0,0,0,0,0,,2025_this_team
Kalen Woods,163367,S,MIDDLE TN,10,10,0,71.4,0,2,224,0,0,60.7,62.7,20.4,52.8,71.6,83.2,1,1,0,1,30,7.3,3,1,1,109.5,10,0,0,124,1,246,414,13,0,0,13,0,219,401,10,158,56,3,28,0,14,2,2,128,41,12.8,2025_this_team
Juwon Gaston,173045,S,MIDDLE TN,9,6,0,64.3,1,3,224,0,0,70.8,71.6,36.2,57.9,74.8,45.3,1,1,0,3,68,22.0,9,2,3,88.4,18,0,0,108,5,244,457,3,0,0,3,0,129,454,8,205,212,5,26,2,28,2,3,246,164,13.7,2025_this_team
KJ Miniefield,176794,CB,MIDDLE TN,1,0,0,,0,0,224,0,0,61.9,66.6,71.6,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,3,5,0,0,0,0,0,0,5,0,2,5,0,0,0,0,0,0,0,0,,2025_this_team
Jordan Chestnut,180504,CB,MIDDLE TN,1,0,0,,0,0,224,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,2025_this_team
Jackson Lowe,183968,CB,MIDDLE TN,11,1,0,67.5,0,0,224,0,0,53.8,60.6,85.6,69.4,84.0,69.1,2,2,0,1,58,11.4,5,1,2,130.7,27,0,0,41,481,291,591,6,0,0,6,0,1,585,9,291,62,13,38,2,40,4,8,415,137,15.4,2025_this_team
Abdul Muhammad,189845,CB,MIDDLE TN,12,0,0,64.8,1,0,224,1,0,58.1,58.9,10.5,62.6,68.6,68.3,1,0,0,0,41,12.5,4,7,5,103.5,35,0,0,29,413,331,602,3,0,0,3,0,1,599,4,267,155,5,28,0,54,1,2,455,142,13.0,2025_this_team
Devan Carlisle,198816,CB,MIDDLE TN,9,0,0,83.3,1,1,224,1,0,52.1,56.2,0.0,60.0,89.0,51.7,0,0,0,0,64,20.0,2,0,3,146.5,10,0,0,8,143,93,159,1,0,0,1,0,0,158,1,65,6,2,8,0,12,0,1,200,57,20.0,2025_this_team
Camari Hall,198836,CB,MIDDLE TN,4,1,0,50.0,0,0,224,0,0,60.0,61.7,77.7,,65.7,80.5,0,0,0,0,7,0.0,0,0,0,56.9,3,0,0,2,0,24,33,0,0,0,0,0,0,33,0,9,31,1,4,0,6,0,0,19,7,6.3,2025_this_team
Christofer Noble,198845,S,MIDDLE TN,7,6,0,87.5,0,0,224,1,0,55.5,53.9,22.9,67.1,50.9,45.3,0,0,0,0,76,24.2,8,1,2,158.3,14,1,0,142,4,230,421,9,0,0,9,0,194,412,3,188,72,7,19,1,16,1,2,202,119,14.4,2025_this_team
Locke Kennedy,198846,S,MIDDLE TN,2,0,0,,0,0,224,0,0,60.0,62.0,67.7,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,3,4,1,7,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,,2025_this_team
