player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,_provenance
Mateo Guevara,156598,G,MIDDLE TN,12,100.0,0,224,61.8,69.2,59.3,0,8,517,100.0,100.0,99.0,7,9,1,785,428,342,0,785,551,551,14,0,234,0,2025_this_team
Joseph Habinowski,130593,T,MIDDLE TN,12,100.0,1,224,50.6,48.8,52.0,6,22,421,100.0,100.0,95.7,3,32,4,648,0,0,200,648,453,453,0,447,195,0,2025_this_team
Jacob Otts,142971,T,MIDDLE TN,9,100.0,0,224,44.3,49.2,41.4,3,18,416,100.0,100.0,97.2,4,22,1,618,0,0,617,618,443,443,0,0,175,0,2025_this_team
Ellis Adams,104742,G,MIDDLE TN,11,100.0,0,224,62.0,61.4,59.0,3,7,325,100.0,100.0,98.5,2,10,0,485,0,0,0,485,345,345,242,243,140,0,2025_this_team
Alex Gale,183962,G,MIDDLE TN,5,100.0,1,224,53.3,52.8,50.7,2,9,240,100.0,100.0,97.7,1,11,0,361,0,0,0,361,257,257,361,0,104,0,2025_this_team
Marcus Miller,128363,C,MIDDLE TN,5,100.0,0,224,53.7,44.7,58.0,0,9,217,100.0,100.0,97.0,1,11,2,332,332,0,0,332,233,233,0,0,99,0,2025_this_team
EJ Harris,157040,G,MIDDLE TN,10,100.0,1,224,48.7,42.4,47.9,1,9,199,100.0,100.0,96.0,4,13,3,318,0,232,0,318,218,218,86,0,100,0,2025_this_team
Otto Janse Van Rensburg,198847,G,MIDDLE TN,5,100.0,0,224,55.7,67.8,47.4,1,6,208,100.0,100.0,98.3,1,7,0,286,0,285,0,286,216,216,0,0,70,0,2025_this_team
Zach Clayton,183957,T,MIDDLE TN,7,100.0,0,224,40.6,15.3,59.3,3,7,111,100.0,100.0,91.0,0,15,5,168,0,0,20,168,116,116,0,148,52,0,2025_this_team
Ikani Tuiono,198819,G,MIDDLE TN,5,100.0,1,224,58.5,47.9,59.9,1,2,98,100.0,100.0,97.4,1,4,1,157,10,0,0,157,107,107,147,0,50,0,2025_this_team
Aaren Alexander,149124,C,MIDDLE TN,8,100.0,0,224,47.9,44.5,56.8,0,3,72,100.0,100.0,97.9,2,3,0,102,89,0,0,102,77,77,9,3,25,0,2025_this_team
Diego Blattler,198817,T,MIDDLE TN,2,100.0,0,224,40.5,25.2,49.0,2,2,31,100.0,100.0,90.3,0,5,1,40,0,0,22,40,34,34,0,18,6,0,2025_this_team
Brennan Smith,149139,C,MISS STATE,3,100.0,0,227,66.0,74.7,63.7,0,0,5,100.0,100.0,100.0,0,0,0,16,16,0,0,16,5,5,0,0,11,0,arrival_2025_at_MISS STATE
Reese Tripp,173423,G,MINNESOTA,1,100.0,0,225,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,1,0,1,0,arrival_2025_at_MINNESOTA
