player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Jai'Onte' McMillan,123089,CB,MINNESOTA,11,3,0,68.0,1,0,225,0,0,59.3,63.1,83.6,80.4,72.3,75.8,1,1,0,0,67,7.4,2,1,2,99.4,17,0,0,20,260,197,334,3,0,0,3,0,2,331,6,131,49,5,22,0,25,2,0,244,64,14.4,2025_this_team
Darius Green,144982,S,MINNESOTA,12,6,0,70.4,0,0,225,0,0,55.6,60.5,87.1,58.6,70.4,63.1,0,2,0,0,19,14.3,5,0,2,85.7,19,0,0,132,4,238,435,41,0,0,41,0,28,394,25,172,229,11,24,3,27,2,0,162,103,8.5,2025_this_team
Aidan Gousby,157507,S,MINNESOTA,11,8,0,55.6,0,0,225,0,0,65.1,61.5,84.5,65.6,47.7,52.8,0,1,0,0,71,20.6,7,1,0,118.3,10,0,0,119,88,260,435,0,0,0,0,0,164,435,3,172,63,7,19,1,18,1,2,142,105,14.2,2025_this_team
John Nestor,170169,CB,MINNESOTA,11,8,0,59.6,0,0,225,1,0,81.4,81.5,86.0,51.8,76.4,64.5,0,1,1,6,29,14.8,9,5,4,57.4,34,0,0,34,550,349,608,11,0,0,11,0,1,597,4,255,11,20,44,6,57,1,4,298,76,8.8,2025_this_team
Kerry Brown,173399,S,MINNESOTA,13,11,0,72.2,0,0,225,0,0,61.7,69.9,86.8,76.3,81.4,70.5,1,4,0,2,40,12.5,8,3,1,93.6,26,1,0,189,2,354,639,4,0,0,4,0,232,635,16,269,211,17,45,4,36,6,2,311,81,12.0,2025_this_team
Za'Quan Bryan,173400,CB,MINNESOTA,10,7,0,61.8,0,1,225,0,0,63.6,60.5,84.2,51.8,43.8,68.5,0,1,0,0,51,12.8,5,2,0,107.5,21,0,0,20,410,248,440,2,0,0,2,0,1,438,3,189,7,8,27,2,34,1,2,280,53,13.3,2025_this_team
Garrison Monroe,173414,S,MINNESOTA,4,1,0,33.3,0,1,225,0,0,71.8,78.9,76.1,53.7,91.1,80.3,0,0,0,0,3,0.0,0,1,0,42.4,1,0,0,19,0,31,49,0,0,0,0,0,14,49,3,15,16,3,3,0,3,0,0,3,0,3.0,2025_this_team
Jaylen Bowden,177087,CB,MINNESOTA,3,0,0,50.0,0,0,225,0,0,71.3,76.9,72.6,,74.1,78.8,0,0,0,0,3,0.0,0,0,0,56.3,2,0,0,2,18,10,21,0,0,0,0,0,0,21,0,11,1,3,3,0,4,0,0,4,3,2.0,2025_this_team
Mike Gerald,184724,CB,MINNESOTA,6,3,0,76.5,0,0,225,0,0,51.6,50.0,80.1,,44.0,67.6,0,0,0,0,48,14.3,2,2,1,117.9,13,0,0,5,133,93,142,0,0,0,0,0,2,142,0,49,2,1,9,0,17,0,0,225,57,17.3,2025_this_team
Koi Perich,188710,S,MINNESOTA,13,26,1,78.4,0,1,225,0,0,55.8,61.0,86.8,69.6,64.9,50.3,1,3,1,1,49,21.5,23,1,0,124.7,29,1,0,338,5,433,789,32,0,0,32,0,294,757,25,331,119,21,58,2,37,5,2,455,171,15.7,2025_this_team
Zahir Rainer,188711,CB,MINNESOTA,1,0,0,,0,0,225,0,0,60.0,60.1,66.9,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,1,2,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,,2025_this_team
Simon Seidl,188713,CB,MINNESOTA,1,0,0,,0,0,225,0,0,60.0,60.9,67.3,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,3,1,3,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,,2025_this_team
Aydan West,198809,CB,MICH STATE,11,5,0,72.0,0,0,223,0,0,63.9,62.7,84.1,51.0,57.7,66.1,0,2,0,0,48,12.0,3,0,1,141.8,18,0,0,20,344,230,381,11,0,0,11,0,0,370,6,145,6,5,17,0,25,2,3,241,76,13.4,arrival_2025_at_MICH STATE
Naiim Parrish,199786,CB,MINNESOTA,4,0,0,0.0,0,0,225,0,0,65.1,58.9,73.6,,45.8,20.4,0,0,0,0,,50.0,1,0,0,39.6,0,0,0,3,17,11,24,0,0,0,0,0,0,24,0,13,4,0,1,0,1,0,0,0,0,,2025_this_team
Zack Harden,204159,S,MINNESOTA,5,0,0,100.0,0,0,225,0,0,54.2,50.5,70.4,,51.9,40.0,0,0,0,0,9,0.0,0,0,0,104.2,1,0,0,9,0,7,14,0,0,0,0,0,3,14,0,7,2,1,2,0,1,0,0,9,3,9.0,2025_this_team
