player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Will Whitson,64470,ED,MISS STATE,2,2,0,,0,0,227,0,0,,81.1,76.9,74.8,75.4,78.8,0,4,0,0,,0.0,0,0,0,0.0,0,2,0,0,0,0,46,46,0,2,29,15,0,0,28,18,0,5,3,3,0,6,0,0,0,,2025_this_team
Kedrick Bingley-Jones,122821,DI,MISS STATE,13,7,1,,0,0,227,0,0,60.4,60.6,83.1,61.2,58.2,62.4,0,8,0,0,,8.7,2,0,0,0.0,0,0,0,0,0,0,343,343,19,197,31,96,0,0,171,172,0,6,14,0,0,8,0,0,0,,2025_this_team
Jamil Burroughs,123910,DI,MISS STATE,11,4,0,,0,0,227,0,0,60.0,54.9,80.4,65.2,48.2,79.3,1,6,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,170,170,7,105,11,47,0,0,76,94,0,2,8,1,0,7,0,0,0,,2025_this_team
Ray Thomas,130580,DI,MISS STATE,8,4,0,,0,1,227,0,0,60.0,76.9,77.6,55.2,82.6,80.4,0,0,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,70,70,1,37,6,26,0,0,25,45,0,8,9,1,0,1,0,0,0,,2025_this_team
Branden Jennings,144903,ED,MISS STATE,13,17,0,62.5,1,0,227,0,0,69.2,60.9,22.1,53.1,64.3,74.5,1,10,0,0,21,11.8,6,1,3,81.8,5,0,0,160,0,81,487,321,0,2,300,19,0,166,161,245,6,19,28,0,8,11,0,53,17,10.6,2025_this_team
Deonte Anderson,146861,ED,MISS STATE,13,5,0,,0,0,227,0,0,60.6,53.6,21.1,58.1,54.1,44.3,1,7,0,0,,23.5,4,0,2,0.0,0,1,0,0,0,1,238,238,0,2,125,111,0,0,110,127,0,4,8,0,0,9,0,0,0,,2025_this_team
Jaray Bledsoe,157313,DI,MISS STATE,13,10,0,,0,0,227,0,0,54.7,55.2,61.5,64.1,49.7,32.7,3,12,0,0,,25.0,8,0,1,0.0,0,2,0,0,0,0,352,352,181,161,1,9,0,0,218,134,0,8,14,3,0,17,0,0,0,,2025_this_team
Malick Sylla,158676,ED,MISS STATE,13,8,1,83.3,1,0,227,1,0,65.5,61.0,32.6,63.9,57.1,64.3,10,15,0,0,36,14.3,5,0,2,100.7,5,2,0,127,0,74,392,260,0,3,251,6,0,132,148,170,5,16,22,5,6,27,0,49,54,9.8,2025_this_team
Kalvin Dinkins,163680,DI,MISS STATE,13,3,0,,0,0,227,0,0,67.7,57.4,85.6,57.8,54.9,28.4,1,2,0,0,,21.7,5,0,0,0.0,0,1,0,2,0,1,395,393,209,182,1,1,0,2,188,206,0,13,15,1,0,4,0,0,0,,2025_this_team
Trevion Williams,163699,ED,MISS STATE,13,4,1,,0,2,227,0,0,52.4,61.8,55.7,58.6,66.9,70.5,1,7,0,0,,5.6,1,0,1,0.0,0,2,0,0,0,4,296,296,0,8,169,119,0,0,144,148,0,11,13,1,0,10,0,0,0,,2025_this_team
