player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Nic Mitchell,146854,LB,MISS STATE,13,20,0,78.1,0,0,227,1,0,62.5,65.2,52.4,66.3,65.9,73.2,3,7,0,1,38,11.3,8,0,1,88.0,25,2,0,437,3,242,593,40,0,0,40,0,1,553,53,298,112,28,43,3,32,12,1,184,95,7.4,2025_this_team
Nevaeh Sanders,171329,LB,MISS STATE,12,6,0,100.0,0,0,227,0,0,48.4,61.2,84.0,56.7,74.9,62.3,2,7,0,0,10,15.4,2,0,0,92.5,5,0,0,42,0,34,119,70,0,0,70,0,0,49,32,53,7,3,5,0,5,9,0,31,40,6.2,2025_this_team
Zakari Tillman,172559,LB,MISS STATE,12,8,1,81.0,1,0,227,0,0,50.7,53.6,0.0,63.0,62.6,40.4,2,2,0,1,34,24.0,12,0,4,78.8,17,1,0,321,2,182,405,28,0,0,28,0,1,377,33,190,53,22,30,3,21,5,0,161,82,9.5,2025_this_team
Derion Gullette,173156,LB,MISS STATE,10,10,1,87.5,0,0,227,0,0,56.9,68.4,82.3,73.3,73.0,59.8,0,1,0,0,62,18.6,8,0,0,158.3,7,2,0,190,1,100,244,20,0,0,20,0,0,224,28,116,33,20,25,0,8,3,1,114,105,16.3,2025_this_team
James Heard,173179,LB,SYRACUSE,11,5,0,71.4,0,0,304,0,0,53.6,55.2,79.5,52.1,60.1,50.8,0,2,0,0,19,20.0,4,0,1,84.2,5,0,0,118,1,56,142,10,0,0,10,0,0,132,14,72,13,5,11,2,7,2,0,38,35,7.6,arrival_2025_at_SYRACUSE
Jalen Smith,174742,LB,MISS STATE,13,17,0,84.6,0,0,227,0,0,62.0,62.8,80.5,54.2,64.6,53.3,3,2,0,0,37,19.1,13,0,0,112.3,22,0,0,288,0,175,373,11,0,0,11,0,0,362,35,163,74,17,38,1,26,5,1,205,172,9.3,2025_this_team
Gav Holman,190568,LB,FLORIDA ST,2,2,1,100.0,0,0,167,0,0,50.4,68.7,72.4,67.8,74.0,79.0,0,1,0,0,19,0.0,0,0,0,118.8,1,0,0,15,0,6,22,5,0,0,5,0,0,17,3,13,2,1,2,0,1,1,0,19,7,19.0,arrival_2025_at_FLORIDA ST
Montrell Chapman,198856,LB,MISS STATE,4,0,0,50.0,0,0,227,0,0,49.7,46.7,71.6,,53.4,75.8,0,0,0,0,8,0.0,0,0,0,60.4,1,0,0,11,0,14,18,0,0,0,0,0,0,18,0,4,7,1,1,0,2,0,0,8,10,8.0,2025_this_team
LaKendrick James,198862,LB,MISS STATE,2,1,0,,0,0,227,0,0,73.5,78.5,78.0,61.0,74.9,79.7,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,13,0,6,24,10,0,0,10,0,0,14,8,10,1,2,4,0,0,1,0,0,0,,2025_this_team
AJ Rice,198866,LB,MISS STATE,1,1,0,,0,0,227,0,0,,71.5,63.8,,66.9,73.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,,2025_this_team
Tyler Lockhart,198871,LB,MISS STATE,12,8,0,71.4,0,0,227,0,0,51.2,50.3,0.0,55.5,56.9,84.0,0,3,0,0,21,3.3,1,0,2,90.2,5,0,0,175,0,93,221,19,0,0,19,0,0,202,19,109,27,11,21,0,7,3,0,48,35,9.6,2025_this_team
Tyshun Willis,205099,LB,MISS STATE,1,0,0,,0,0,227,0,0,,37.6,70.4,60.0,46.6,19.3,0,0,0,0,,100.0,1,0,0,0.0,0,0,0,3,0,0,4,1,0,0,1,0,0,3,1,3,0,0,0,0,0,0,0,0,0,,2025_this_team
