player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Jordan Dunbar,129844,CB,MO STATE,13,6,0,48.1,0,1,230,0,0,78.2,79.5,86.3,58.9,77.3,49.7,0,0,0,2,71,20.6,7,10,2,72.7,26,0,0,35,722,433,770,3,0,0,3,0,1,767,1,336,7,7,21,1,54,0,3,355,142,13.7,2025_this_team
Navonn Barrett,132846,CB,MO STATE,1,0,0,0.0,0,0,230,0,0,47.8,47.5,70.6,,60.0,,0,0,0,0,,,0,0,1,39.6,0,0,0,0,10,6,10,0,0,0,0,0,0,10,0,4,0,0,0,0,2,0,0,0,0,,2025_this_team
Khalil Anderson,144012,S,MO STATE,5,1,0,100.0,0,0,230,0,0,75.6,72.7,77.7,,57.1,49.5,0,0,0,0,3,25.0,1,0,0,79.2,1,0,0,25,0,49,65,0,0,0,0,0,33,65,0,16,7,2,2,0,1,0,0,3,0,3.0,2025_this_team
Dylan Simmons,147645,CB,MO STATE,2,0,0,100.0,0,0,230,0,0,62.8,63.6,70.9,,60.0,,0,0,0,0,0,,0,0,0,79.2,1,0,0,0,0,4,6,0,0,0,0,0,0,6,0,2,6,0,0,0,1,0,0,0,7,0.0,2025_this_team
Dylan Dixson,157722,CB,MO STATE,13,8,0,76.9,0,0,230,0,0,59.1,53.3,0.0,67.2,39.7,32.3,0,2,0,1,32,23.0,14,3,4,92.0,40,1,0,114,2,333,608,25,0,0,25,0,0,583,11,264,466,18,39,3,52,3,1,342,211,8.6,2025_this_team
Maguire Neal,157963,S,MO STATE,13,11,0,56.0,1,1,230,0,0,69.1,64.3,48.0,46.8,58.2,56.1,0,1,0,1,52,19.5,15,4,2,102.8,14,0,0,335,3,422,775,10,0,0,10,0,342,765,5,348,85,12,51,1,25,1,4,187,77,13.4,2025_this_team
J.J. O'Neal,164807,S,MO STATE,4,0,0,85.7,0,0,230,0,0,62.6,63.6,78.4,,64.9,59.4,0,0,0,1,18,16.7,2,0,0,74.1,6,0,0,28,1,59,86,0,0,0,0,0,42,86,0,27,15,1,10,0,7,0,0,79,54,13.2,2025_this_team
Antonio Smith,169925,S,MO STATE,8,1,0,75.0,0,0,230,0,0,63.9,65.3,80.6,60.0,67.3,77.4,0,0,0,0,41,6.7,1,0,0,156.3,3,0,0,40,0,102,151,0,0,0,0,0,90,151,1,48,20,4,13,0,4,0,1,50,14,16.7,2025_this_team
Floyd Williams,171459,CB,MO STATE,3,1,0,100.0,0,0,230,0,0,47.4,49.7,76.1,,65.7,53.6,0,0,0,0,8,20.0,1,0,0,90.6,4,0,0,3,43,29,46,0,0,0,0,0,0,46,0,17,0,2,3,0,4,0,0,23,2,5.8,2025_this_team
Christian Ford,172406,S,MO STATE,13,11,0,75.0,0,1,230,0,0,50.5,54.4,87.6,59.8,60.5,63.7,0,0,0,0,39,17.4,12,1,1,136.0,21,0,0,283,6,421,763,1,0,0,1,0,373,762,1,341,99,7,46,1,28,0,3,240,115,11.4,2025_this_team
Thomas Anderson,174062,CB,MO STATE,13,3,0,64.5,1,0,230,1,0,63.3,63.2,53.7,56.9,62.9,72.3,0,0,0,1,36,12.0,9,4,6,88.2,49,0,0,45,720,433,789,8,0,0,8,0,2,781,2,354,13,17,63,1,76,0,2,531,141,10.8,2025_this_team
Devin Rutherford,185506,CB,MO STATE,11,0,0,82.4,0,0,230,0,0,46.1,45.4,0.0,56.9,51.5,37.9,0,0,0,0,35,25.0,2,1,1,136.0,14,0,0,22,0,120,165,7,0,0,7,0,0,158,4,41,135,1,6,0,17,0,1,203,71,14.5,2025_this_team
Ryan Grayson,198912,CB,MO STATE,1,0,0,,0,0,230,0,0,60.0,60.5,63.8,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,2025_this_team
Darryon Taylor,198914,CB,MO STATE,9,2,0,75.0,0,0,230,0,0,59.5,58.5,79.8,,52.3,60.9,0,0,0,0,39,20.0,2,1,2,116.7,6,0,0,6,116,85,129,3,0,0,3,0,0,126,0,44,3,3,6,0,8,0,0,102,26,17.0,2025_this_team
Donald Quist,205111,CB,MO STATE,1,0,0,,0,0,230,0,0,43.7,48.9,73.8,58.2,65.2,,0,0,0,0,,,0,0,0,0.0,0,0,0,5,0,4,16,8,0,0,8,0,0,8,2,10,3,0,0,0,0,0,0,0,0,,2025_this_team
