player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Dash Luke,155552,WR,MO STATE,12,11.0,2,62.3,50.0,7,14,0,8.5,4,0.05,27,230,0,67.1,83.6,68.9,74.2,70.1,0.3,1,4,59,0.5,2,396,3,44.1,43,92.9,368,93.7,371,92.7,69,5,5.6,22,640,241,5.6,14.9,1.74,2025_this_team
Ronnel Johnson,178430,WR,MO STATE,13,12.0,5,58.3,21.4,3,14,0,10.3,4,0.07,21,230,3,60.8,16.6,58.2,61.9,58.6,0.0,0,2,35,0.3,1,352,1,43.5,35,95.7,337,58.8,207,80.1,60,2,41.2,145,463,120,3.4,13.2,1.37,2025_this_team
Jmariyae Robinson,164812,WR,MO STATE,12,11.3,16,73.3,57.1,8,14,0,8.3,4,0.0,26,230,0,68.2,76.0,67.2,,71.7,0.0,0,1,52,0.0,0,401,6,43.3,44,93.0,373,60.3,242,139.0,60,7,39.7,159,632,223,5.1,14.4,1.69,2025_this_team
Tristian Gardner,198895,WR,MO STATE,12,13.3,3,69.8,53.8,7,13,0,3.2,1,0.0,18,230,0,80.9,71.9,76.1,,76.1,0.0,0,1,42,0.0,0,231,0,42.2,30,94.4,218,2.2,5,135.2,43,6,97.8,226,465,99,3.3,15.5,2.13,2025_this_team
James BlackStrain,143905,WR,MO STATE,11,8.6,3,66.7,50.0,2,4,0,8.3,2,0.07,13,230,0,65.7,70.6,60.1,,58.8,0.0,0,1,32,0.0,0,234,0,42.1,22,92.3,216,3.0,7,83.4,33,1,97.0,227,224,83,3.8,10.2,1.04,2025_this_team
Makai Cope,146430,WR,MO STATE,12,11.2,2,69.0,60.0,3,5,0,0.0,0,0.21,12,230,0,85.9,70.2,67.8,62.1,67.7,0.0,0,0,27,0.5,1,214,2,47.1,20,94.9,203,7.0,15,98.2,29,0,93.0,199,269,67,3.4,13.5,1.33,2025_this_team
Jeron Askren,185519,TE,MO STATE,13,7.3,0,72.0,50.0,1,2,1,5.3,1,0.17,10,230,0,74.4,70.2,60.0,70.5,62.4,84.8,228,1,75,25.7,69,269,2,45.0,18,69.9,188,8.9,24,120.8,25,5,4.5,12,215,112,6.2,11.9,1.14,2025_this_team
Mekhi Miller,157163,WR,TULSA,4,16.2,0,47.4,0.0,0,4,0,10.0,1,-0.13,2,320,0,62.9,67.9,51.9,,52.6,0.0,0,1,8,0.0,0,131,1,43.8,9,92.4,121,24.4,32,32.3,19,0,75.6,99,58,6,0.7,6.4,0.48,arrival_2025_at_TULSA
Dillon Hipp,184742,TE,MO STATE,12,8.2,0,66.7,100.0,1,1,0,0.0,0,0.26,1,230,0,74.9,65.0,36.5,49.6,55.6,93.9,77,0,9,37.8,31,82,1,46.3,4,59.8,49,6.1,5,75.7,6,0,0.0,0,26,11,2.8,6.5,0.53,2025_this_team
Isaiah Myers,133796,WR,W KENTUCKY,5,11.0,1,66.7,,0,0,1,33.3,1,0.32,2,346,0,31.6,62.9,63.8,,64.3,0.0,0,0,22,0.0,0,18,1,52.9,2,94.4,17,5.6,1,109.7,3,0,94.4,17,43,23,11.5,21.5,2.53,arrival_2025_at_W KENTUCKY
Brendon McQueen,191783,WR,MO STATE,4,7.0,0,50.0,,0,0,0,0.0,0,-0.47,0,230,0,66.7,61.0,50.6,,50.2,0.0,0,0,5,0.0,0,11,0,36.4,1,100.0,11,36.4,4,56.3,2,0,63.6,7,5,0,0.0,5.0,0.45,2025_this_team
Hayden Hagler,121732,TE,MO STATE,3,5.0,0,100.0,,0,0,0,0.0,0,-0.17,1,230,0,70.7,62.9,50.4,46.1,61.7,92.3,36,0,15,43.6,17,39,0,40.0,2,48.7,19,0.0,0,100.0,2,0,2.6,1,16,6,3.0,8.0,0.84,2025_this_team
Antonio Robinson,156789,WR,MO STATE,3,6.0,0,0.0,,0,0,0,100.0,1,-0.06,0,230,0,16.4,,46.9,,47.0,0.0,0,0,0,0.0,0,11,0,45.5,0,100.0,11,0.0,0,39.6,2,0,100.0,11,0,0,,,0.0,2025_this_team
Witt Edwards,188513,TE,VANDERBILT,1,5.0,0,0.0,,0,0,0,100.0,1,1.0,0,333,0,16.4,,38.8,67.7,44.2,33.3,2,0,0,33.3,2,6,0,50.0,0,66.7,4,66.7,4,39.6,1,0,0.0,0,0,0,,,0.0,arrival_2025_at_VANDERBILT
Isaiah McMorris,183571,WR,MO STATE,4,13.0,0,100.0,,0,0,0,0.0,0,0.41,1,230,0,66.7,11.3,58.8,,58.8,0.0,0,0,13,0.0,0,22,0,42.9,1,95.5,21,100.0,22,118.8,1,0,0.0,0,13,0,0.0,13.0,0.62,2025_this_team
