player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Jaxson Campbell,131100,CB,NAVY,13,7,0,90.9,0,0,237,1,0,62.7,67.7,23.7,64.1,76.6,47.6,3,4,0,0,51,20.4,10,1,2,131.6,20,1,0,69,1,156,459,149,0,0,149,0,1,310,80,223,239,21,32,0,22,8,2,183,157,9.2,2025_this_team
Andrew Duhart,162545,S,NAVY,12,1,0,81.3,0,0,237,0,0,51.7,54.8,83.9,50.9,67.9,49.1,0,0,0,0,34,23.5,4,0,0,139.1,13,0,0,74,30,155,271,7,0,0,7,0,57,264,11,105,103,5,12,0,16,0,2,126,40,9.7,2025_this_team
Kenneth Hall,162552,CB,NAVY,1,0,0,,0,0,237,0,0,61.7,62.8,68.7,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,5,2,5,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,,2025_this_team
Kenneth McShan,162567,CB,NAVY,13,3,2,78.6,0,0,237,0,0,62.7,68.6,35.7,83.1,66.7,52.3,2,3,0,0,30,18.8,6,0,1,127.7,11,1,0,38,0,87,263,102,0,0,102,0,0,161,38,138,123,16,23,3,14,6,1,125,106,11.4,2025_this_team
Kush'i Abraham,175215,S,NAVY,7,0,0,85.7,0,0,237,1,0,48.4,51.9,76.7,,66.8,45.6,0,0,0,0,13,33.3,2,0,0,88.7,6,0,0,13,1,49,61,1,0,0,1,0,40,60,0,12,6,2,4,0,7,0,0,37,19,6.2,2025_this_team
Bryce Allen,175216,CB,NAVY,6,1,0,76.5,1,0,237,0,0,59.6,58.4,80.8,53.8,52.3,51.0,0,0,0,0,44,20.0,3,1,1,137.5,13,0,0,6,171,113,178,0,0,0,0,0,0,178,3,62,1,1,11,0,17,0,1,238,48,18.3,2025_this_team
Seth English,175230,S,NAVY,4,1,0,37.5,0,0,237,0,0,46.0,48.3,81.3,,53.6,51.6,0,1,0,0,26,21.1,4,0,0,93.8,3,0,0,104,1,100,194,2,0,0,2,0,73,192,0,94,14,6,14,0,8,1,1,40,8,13.3,2025_this_team
Irabonoise Oniha,175257,CB,NAVY,11,1,1,53.3,1,1,237,0,0,68.3,70.0,82.7,71.3,70.0,45.1,1,0,0,0,52,22.2,6,3,3,102.5,16,0,0,47,346,223,399,4,0,0,4,0,1,395,9,167,1,10,20,2,30,1,2,243,103,15.2,2025_this_team
Matthew Seliga,175263,S,NAVY,4,0,0,66.7,0,0,237,0,0,66.8,61.9,0.0,57.8,60.4,26.0,0,0,0,0,17,66.7,2,1,1,100.7,2,0,0,17,0,40,72,0,0,0,0,0,48,72,2,30,7,0,1,0,3,0,0,31,24,15.5,2025_this_team
Giuseppe Sessi,175264,S,NAVY,13,20,0,73.3,0,0,237,1,0,60.3,62.7,55.6,54.9,67.1,69.4,0,0,0,0,68,13.4,13,0,1,105.4,22,0,0,361,0,436,815,2,0,0,2,0,362,813,5,374,90,12,64,0,30,0,0,304,151,13.8,2025_this_team
