player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,_provenance
Ben Purvis,162577,G,NAVY,13,100.0,1,237,70.8,63.5,71.2,2,11,218,100.0,100.0,97.0,3,13,0,824,0,823,0,824,228,228,0,0,596,0,2025_this_team
Sean Crowley,189479,T,NAVY,13,100.0,0,237,58.2,50.1,59.7,1,9,215,100.0,100.0,97.7,3,10,0,809,0,0,749,809,225,225,0,0,584,59,2025_this_team
Hoke Smith II,175268,G,NAVY,12,100.0,1,237,61.9,66.5,60.9,2,3,188,100.0,100.0,98.7,4,5,0,697,57,0,0,697,194,194,640,0,503,0,2025_this_team
Cam Nichols,175253,C,NAVY,10,100.0,0,237,65.6,78.6,64.7,2,3,170,100.0,100.0,98.5,4,5,0,589,589,0,0,589,179,179,0,0,410,0,2025_this_team
Malcolm Johnson,205144,T,NAVY,8,100.0,1,237,60.2,54.2,60.4,0,7,104,100.0,100.0,95.7,1,8,1,427,0,0,10,427,110,110,0,360,317,56,2025_this_team
Jaylin Acevedo,189460,T,NAVY,9,99.7,1,237,54.7,45.2,61.6,2,4,110,99.1,99.1,97.3,6,6,0,398,0,0,0,399,115,116,4,373,283,22,2025_this_team
Toran Smith,189523,C,NAVY,6,100.0,0,237,64.5,66.1,62.4,0,1,33,100.0,100.0,98.5,0,1,0,196,192,0,0,196,34,34,0,0,162,1,2025_this_team
Jake Polito,189512,G,NAVY,4,100.0,0,237,57.2,35.3,57.7,2,1,28,100.0,100.0,91.1,0,4,1,136,5,0,0,136,31,31,131,0,105,0,2025_this_team
Greyson Crawford,162543,G,NAVY,3,100.0,0,237,62.3,80.9,60.2,0,0,15,100.0,100.0,100.0,0,0,0,68,0,0,0,68,15,15,68,0,53,0,2025_this_team
Connor Heater,189491,T,NAVY,6,100.0,0,237,53.6,64.2,58.4,0,1,8,100.0,100.0,93.7,1,1,0,42,0,0,19,42,8,8,0,21,34,1,2025_this_team
Carmello Michel,189504,G,NAVY,3,100.0,0,237,58.7,,58.2,0,0,0,,,,0,0,0,21,0,20,0,21,0,0,0,0,21,0,2025_this_team
Zarian Simms,175265,T,NAVY,1,100.0,0,237,70.1,,69.0,0,0,0,,,,0,0,0,12,0,0,0,12,0,0,0,12,12,0,2025_this_team
Will Hampton,205127,T,NAVY,1,100.0,0,237,60.4,,60.6,0,0,0,,,,0,0,0,4,0,0,4,4,0,0,0,0,4,0,2025_this_team
Isaac Bunker,175222,G,NAVY,1,100.0,0,237,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2025_this_team
