unit,pos,depth,player,class,origin,note
QB,QB,1,Braxton Woodson,SR,returner (first-year starter),2026 team CAPTAIN (named 4/26 w/ Sessi); 6-3 "sprinter's speed" (Athlon); backup flashes: led TD drives vs ECU '25 when Horvath hurt; 9-15-71 + 104 rush vs SMU (PS); has played QB/SB/WR. Horvath (82.1/188; 1000+ rush '24) departed
RB,SB,1,Charles Robinson,JR,returner,spring Admiral Mack Award (most improved); emerged as playmaker (Athlon)
RB,FB,1,Vic Listorti,SR,returner,missed most of 2025 (lingering hamstring) - "remains a question mark" (Athlon)
RB,SB,1,Isaiah Bryant,SR,returner,slotback; DEPARTED: Tecza (76.8/158) + Heidenreich (92.9/77; ~500 rush + 51 rec) - big three incl Horvath = 68% of 2025 scrimmage yards
WRTE,WR,1,Luke Hutchison,SR,returner,team's fastest offensive player; missed 7 games 2025 (shoulder); PFF 72.8/49
WRTE,WR,2,Josh Guerin,SR,returner,PFF 57.0/89
WRTE,TE,1,Jake Norris,SR,returner,PFF 69.2/47; OC Cronic (yr 3): "time for the split ends and tight ends to become impact performers"
OL,LT,1,Sean Crowley,JR,RETURNING STARTER,PFF 58.2/809
OL,LG,1,Jake Polito,JR,returner,PFF 57.2/136
OL,C,1,Cam Nichols,SR,RETURNING STARTER,PFF 65.6/589
OL,RG,1,Hoke Smith II,SR,RETURNING STARTER,PFF 61.9/697
OL,RT,1,Malcolm Johnson,SO,RETURNING STARTER,All-AAC (CFN: "among the best blockers in the AAC"); PFF 60.2/427; DEPARTED: Purvis (70.8/824 best grade) + Acevedo (54.7/399 -> USF)
DL,DE,1,Aiden Lyczek,JR,returner,depth 2025
DL,NG,1,Xavyer Arrington,JR,returner,PFF 56.0/146; replaces 1ST-TEAM ALL-AMERICA NG Landon Robinson (78.2/713) - "pass rush a genuine concern" (Athlon)
DL,DT,1,Griffen Willis,SR,RETURNING STARTER,PFF 58.8/643
DL,DL,2,Adam Klenk / Kendall Whiteside / Chreign LaFond,,returners,Klenk 70.9/274 best returning DL grade; DEPARTED: Pirris (65.2/712) + Moutome (62.2/623)
LB,ILB,1,Coleman Cauley,SR,RETURNING STARTER,PFF 79.2/517 - best returning defensive grade; 176 combined tkl w/ Parker
LB,ILB,1,MarcAnthony Parker,JR,RETURNING STARTER,team-leading 97 tkl 6.5 TFL 2025 (CFN); PFF 58.0/662
LB,OLB,1,Will Miller / Christian Johnson,SO/SO,returners,young edges (Athlon chart)
DB,CB,1,Nick Bell,JR,returner,"experience" (Athlon)
DB,CB,1,Irabonoise Oniha,SR,returner,PFF 70.0/399
DB,SS,1,Giuseppe Sessi,SR,RETURNING STARTER + CAPTAIN,81 tkl (2nd on team); defensive signal caller; PFF 62.7/815
DB,FS,1,Phillip Hamilton,JR,RETURNING STARTER,3 INT led secondary (CFN); pass D "improved dramatically" after his move to S (Athlon); PFF 62.7/752; DEPARTED: Ross (57.1/466) -> Virginia + Campbell (67.7/459)
ST,K,1,Justin Welch,SO,returner (new starter),replaces Kirkwood (53-53 XP, 10-11 FG 2025 - CFN)
ST,P,1,Jacob Carlson,JR,RETURNING STARTER,44.5 avg in first season 2025 (Athlon)
ST,COORD,1,(Newberry yr 4; OC Cronic yr 3; DC Eric Lewis new per Athlon carousel),,,carousel: Navy Defense New: Eric Lewis Ricky Brown; Old: P.J. Volker - DC CHANGE (HC unchanged - no multiplier)
