player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Javin Wright,101373,LB,NEBRASKA,12,22,1,59.4,0,0,238,0,0,71.3,78.8,84.1,66.0,82.3,75.6,0,3,0,1,20,10.1,9,1,0,67.7,19,2,0,456,6,248,560,33,0,0,33,0,2,527,34,278,62,29,58,7,32,5,1,144,101,7.6,2025_this_team
Marques Watson-Trent,122461,LB,NEBRASKA,12,20,0,100.0,0,0,238,0,0,57.7,68.4,82.6,61.2,73.0,69.0,0,2,0,0,22,14.9,7,0,0,115.1,8,1,0,287,3,107,333,19,0,0,19,0,2,314,21,205,22,15,20,1,8,3,0,93,58,11.6,2025_this_team
Michael Booker III,145023,LB,NEBRASKA,3,0,0,,0,0,238,0,0,63.4,67.9,71.9,60.0,67.6,56.0,0,0,0,0,,25.0,1,0,0,0.0,0,0,0,25,0,10,26,0,0,0,0,0,0,26,1,15,0,2,3,0,0,0,0,0,0,,2025_this_team
Dylan Rogers,170237,LB,NEBRASKA,7,2,0,,0,0,238,0,0,57.2,66.2,81.2,55.2,73.8,66.4,0,2,0,0,,9.1,1,0,0,0.0,0,0,0,35,0,19,94,48,0,0,48,0,0,46,25,50,10,3,8,0,0,2,0,0,0,,2025_this_team
Owen Chambliss,174198,LB,S DIEGO ST,13,22,1,67.5,0,1,284,1,0,85.2,85.5,86.2,76.0,81.4,83.0,7,6,0,1,32,8.3,10,4,0,76.4,27,3,0,512,4,386,765,27,0,0,27,0,1,738,46,333,221,57,88,4,40,16,1,193,122,7.1,arrival_2025_at_S DIEGO ST
Jacob Bower,175477,LB,NEBRASKA,7,2,0,100.0,0,0,238,0,0,40.5,54.3,73.5,59.2,67.3,73.0,0,1,0,0,43,20.0,2,0,1,118.8,2,0,0,43,0,16,50,0,0,0,0,0,0,50,1,33,6,4,6,0,2,1,0,46,47,23.0,2025_this_team
Vincent Shavers Jr.,183585,LB,NEBRASKA,13,19,0,71.4,0,1,238,0,0,64.7,70.3,85.6,63.2,71.2,67.5,1,7,0,0,31,12.3,10,0,1,88.4,15,0,0,447,4,197,547,53,0,0,53,0,1,494,60,290,41,24,52,6,21,8,0,135,47,9.0,2025_this_team
Derek Wacker,183592,LB,NEBRASKA,3,0,0,,0,1,238,0,0,60.4,89.7,64.4,,90.5,73.6,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,3,0,2,4,0,0,0,0,0,0,4,0,2,0,1,1,0,0,0,0,0,0,,2025_this_team
Dexter Foster,191212,LB,OREGON ST,7,17,0,69.2,1,0,265,0,0,56.2,62.5,84.3,57.6,68.0,76.4,2,3,0,0,21,9.1,5,1,2,87.7,9,0,0,362,1,199,436,5,0,0,5,0,1,431,38,199,67,18,33,3,13,5,0,87,92,9.7,arrival_2025_at_OREGON ST
Christian Jones,199797,LB,NEBRASKA,2,0,0,,0,0,238,0,0,,68.8,65.7,,66.0,74.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,6,0,0,6,0,0,0,0,0,0,6,0,6,0,1,1,0,0,0,0,0,0,,2025_this_team
Dawson Merritt,199801,LB,NEBRASKA,8,4,0,66.7,0,0,238,0,0,53.7,63.2,76.5,52.7,71.9,54.6,0,1,0,0,14,18.2,2,0,0,93.8,2,0,0,99,0,37,106,0,0,0,0,0,0,106,5,64,7,3,5,0,3,1,0,26,27,13.0,2025_this_team
Pierce Mooberry,199805,LB,NEBRASKA,2,1,0,,0,0,238,0,0,,65.2,66.1,,63.7,73.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,3,0,0,4,0,0,0,0,0,0,4,0,4,1,0,0,0,0,0,0,0,0,,2025_this_team
