player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Thomas Witte,128249,DI,NEVADA,12,11,0,,0,1,239,0,0,59.8,64.0,54.9,56.8,69.6,52.9,2,16,0,0,,15.8,6,0,2,0.0,0,1,0,7,0,0,638,631,46,374,24,187,0,7,350,288,0,17,21,2,0,19,0,0,0,,2025_this_team
Sam Cook,141936,ED,NEVADA,12,0,0,85.7,1,0,239,0,0,64.9,59.9,11.8,51.5,69.6,71.2,1,7,0,0,37,10.0,2,0,2,103.6,6,1,0,71,1,52,253,162,0,0,162,0,1,91,108,93,18,15,18,6,7,9,0,62,18,10.3,2025_this_team
Myles Williams,146308,ED,NEVADA,9,0,0,0.0,0,0,239,0,0,52.3,67.1,82.9,63.6,70.2,51.6,0,1,0,0,,33.3,1,0,0,39.6,0,1,0,1,0,8,102,100,0,0,94,6,0,2,34,60,1,2,2,0,1,2,0,0,0,,2025_this_team
Jonathan Maldonado,158241,ED,NEVADA,12,8,5,77.8,2,0,239,0,0,59.4,78.1,18.9,85.7,76.2,71.7,3,29,1,1,30,17.1,7,1,5,62.7,7,7,0,23,0,86,634,576,0,0,570,6,0,58,267,281,34,23,26,4,9,39,0,77,36,11.0,2025_this_team
Chris Smalley,158248,ED,NEVADA,6,0,0,100.0,0,0,239,0,0,50.8,58.2,74.4,58.1,67.0,75.8,0,0,0,0,12,0.0,0,0,0,116.7,1,0,0,0,0,2,16,14,0,0,14,0,0,2,2,12,1,2,3,0,1,0,0,12,9,12.0,2025_this_team
Jakobus Seth,158524,DI,NEVADA,2,0,0,,0,0,239,0,0,,67.6,70.9,,65.9,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,9,9,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,,2025_this_team
Logologo Va'a,163036,DI,NEVADA,11,6,2,,0,0,239,1,0,60.0,69.1,22.8,76.5,65.0,36.7,0,11,0,0,,25.0,4,0,2,0.0,0,0,0,2,0,1,241,239,111,126,2,0,0,2,116,124,0,5,6,0,0,11,0,0,0,,2025_this_team
Andoni Fesenmaier,171546,ED,NEVADA,2,0,0,,0,0,239,0,0,,60.0,66.5,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,2025_this_team
Tanner Vaughan,171553,DI,NEVADA,12,3,0,,0,0,239,0,0,64.1,67.7,80.7,58.6,67.6,68.0,1,5,0,0,,7.1,1,0,0,0.0,0,0,0,1,0,0,158,157,8,111,7,31,0,1,80,78,0,8,10,1,0,6,0,0,0,,2025_this_team
Bryce Echols,171847,DI,NEVADA,6,1,0,,0,0,239,0,0,,52.6,75.9,55.8,52.6,73.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,46,46,1,27,0,18,0,0,21,25,0,0,1,0,0,0,0,0,0,,2025_this_team
Poasa Utu,174312,ED,OKLA STATE,7,2,0,,0,0,262,0,0,63.6,67.2,80.4,58.9,70.6,77.7,0,1,0,0,,0.0,0,0,0,0.0,0,1,0,6,0,8,49,41,0,0,39,2,0,8,21,20,2,2,1,0,0,2,0,0,0,,arrival_2025_at_OKLA STATE
Nelson Ropati,184193,DI,NEVADA,12,8,0,,0,0,239,0,0,46.4,60.2,85.6,59.4,62.3,55.3,0,5,0,0,,15.6,5,0,0,0.0,0,2,0,3,0,0,467,464,87,318,5,54,0,3,230,237,0,16,19,3,0,7,0,0,0,,2025_this_team
Nehemiah Burleson,190030,ED,NEVADA,1,1,0,,0,0,239,0,0,,68.7,65.6,,60.0,71.5,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,2025_this_team
