player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Marcus Bellon,104082,WR,NEVADA,10,9.1,4,52.1,80.0,4,5,0,13.8,4,-0.39,13,239,1,51.2,58.4,59.7,,58.4,0.5,1,5,43,0.0,0,206,0,35.0,25,94.7,195,82.5,170,33.9,48,1,17.0,35,242,100,4.0,9.7,1.24,2025_this_team
Jett Carpenter,141520,TE,NEVADA,12,6.5,6,72.9,66.7,4,6,0,5.4,2,-0.36,16,239,0,76.2,72.6,69.8,60.4,66.7,39.2,118,3,44,14.0,42,301,5,36.4,35,81.7,246,44.9,135,83.2,48,2,15.0,45,374,205,5.9,10.7,1.52,2025_this_team
Dakota Thomas,123467,WR,NEVADA,11,11.0,4,61.9,83.3,5,6,0,3.7,1,-0.41,13,239,0,78.9,71.3,66.0,,65.3,0.0,0,3,25,0.0,0,212,0,35.5,26,92.9,197,15.6,33,58.5,42,1,84.4,179,269,71,2.7,10.3,1.37,2025_this_team
Jordan Brown,122548,WR,NEVADA,8,10.7,3,51.6,33.3,2,6,0,15.8,3,-0.4,10,239,1,49.0,24.7,57.4,,55.7,0.0,0,3,28,0.0,0,159,1,37.7,16,95.0,151,28.9,46,30.0,31,0,71.1,113,182,95,5.9,11.4,1.21,2025_this_team
Marshaun Brown,175717,WR,NEVADA,10,12.9,1,57.1,44.4,4,9,0,5.9,1,-0.22,11,239,0,71.9,69.7,64.1,63.9,61.7,0.0,0,1,22,0.5,1,188,0,38.8,16,94.1,177,32.4,61,71.1,28,1,67.6,127,164,21,1.3,10.3,0.93,2025_this_team
Nathaneal Floyd,123138,WR,NEVADA,7,15.3,0,33.3,0.0,0,3,1,33.3,2,-0.23,1,239,0,26.2,66.7,50.6,,50.6,0.0,0,0,15,0.0,0,59,1,37.0,4,91.5,54,61.0,36,42.4,12,0,39.0,23,36,1,0.3,9.0,0.67,2025_this_team
Jace Henry,148818,TE,NEVADA,12,2.9,1,70.0,,0,0,1,12.5,1,-0.34,1,239,0,56.4,66.7,52.6,57.1,42.2,72.1,132,0,32,41.5,76,183,4,37.8,7,55.2,101,16.9,31,78.3,10,0,7.1,13,43,43,6.1,6.1,0.43,2025_this_team
Nate Burleson II,175718,WR,NEVADA,11,20.9,0,33.3,0.0,0,2,0,0.0,0,-0.29,2,239,0,73.1,64.1,55.3,,53.4,0.0,0,1,45,0.0,0,105,0,41.2,3,97.1,102,18.1,19,17.1,9,0,81.9,86,58,6,2.0,19.3,0.57,2025_this_team
Daijon Calimon,190031,WR,NEVADA,5,7.3,1,66.7,50.0,1,2,0,0.0,0,-0.07,1,239,0,74.9,65.0,58.5,,63.0,0.0,0,0,20,0.0,0,22,0,36.4,4,100.0,22,40.9,9,84.0,6,0,59.1,13,38,15,3.8,9.5,1.73,2025_this_team
Zedekiah Anahu-Ambrosio,198919,WR,NEVADA,2,16.0,0,0.0,,0,0,0,,0,0.33,0,239,0,,,50.0,,50.5,0.0,0,0,0,0.0,0,37,0,47.2,0,97.3,36,100.0,37,39.6,2,0,0.0,0,0,0,,,0.0,2025_this_team
Jayden O'Rourke,171550,TE,NEVADA,5,7.0,0,100.0,,0,0,0,0.0,0,0.43,1,239,0,70.7,62.9,63.9,31.1,66.0,42.9,6,0,17,35.7,5,14,0,50.0,2,50.0,7,14.3,2,118.8,2,0,35.7,5,25,11,5.5,12.5,3.57,2025_this_team
DJ Asiasi,205189,TE,NEVADA,3,3.0,0,100.0,,0,0,0,0.0,0,0.62,0,239,0,66.7,61.0,49.3,50.7,57.4,44.4,4,0,5,44.4,4,9,0,44.4,1,55.6,5,44.4,4,87.5,1,0,11.1,1,5,2,2.0,5.0,1.0,2025_this_team
Charles Brown,147647,WR,NEVADA,5,-4.0,0,100.0,,0,0,0,0.0,0,0.53,0,239,0,66.7,61.0,56.1,,57.0,0.0,0,0,-7,0.0,0,6,0,66.7,1,100.0,6,0.0,0,79.2,1,0,100.0,6,-7,-3,-3.0,-7.0,-1.17,2025_this_team
