player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Jayden Marable,129183,DI,MEMPHIS,13,3,0,,0,0,218,0,0,68.3,67.4,84.2,62.0,66.7,61.0,0,4,0,0,,11.1,1,0,0,0.0,0,0,0,0,0,1,222,222,190,32,0,0,0,0,122,99,0,5,5,2,0,4,0,0,0,,arrival_2025_at_MEMPHIS
Brian Booker,131222,DI,NEW MEXICO,12,9,1,,0,0,241,1,0,60.4,73.0,84.8,65.5,73.9,47.3,2,8,0,0,,17.9,5,0,0,0.0,0,3,0,0,0,3,411,410,81,322,4,3,0,1,192,216,0,12,14,2,0,13,0,0,0,,2025_this_team
Gabriel Lopez,131942,DI,NEW MEXICO,11,2,2,,0,0,241,0,0,53.4,58.8,66.1,62.2,59.1,69.6,2,9,0,0,,8.3,1,0,1,0.0,0,2,0,0,0,10,468,467,56,386,6,19,0,1,275,183,0,9,9,4,0,13,0,0,0,,2025_this_team
Okiki Olorunfunmi,141716,DI,NEW MEXICO,13,2,0,,0,0,241,1,0,62.9,70.5,82.5,57.8,75.1,62.3,1,3,0,0,,11.8,2,0,0,0.0,0,1,0,0,0,1,278,278,22,237,7,12,0,0,152,125,0,9,13,1,0,5,0,0,0,,2025_this_team
Xavier Slayton,158988,DI,NEW MEXICO,11,3,1,100.0,0,0,241,0,0,61.4,64.1,82.0,59.9,65.3,64.7,2,8,0,1,-3,11.1,2,0,0,39.6,1,2,0,1,0,8,251,250,3,214,15,18,0,1,173,70,0,12,13,2,1,12,0,-3,0,-3.0,2025_this_team
Landon Williams,163365,DI,NEW MEXICO,8,0,0,,0,0,241,0,0,60.0,51.7,76.8,59.4,45.8,73.8,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,56,56,5,50,1,0,0,0,35,21,0,2,3,0,0,2,0,0,0,,2025_this_team
Darren Agu,163703,ED,NEW MEXICO,11,4,0,50.0,0,1,241,0,0,55.5,79.2,86.6,72.8,81.1,59.8,4,20,0,0,8,14.3,4,1,0,60.4,1,2,0,8,1,9,392,381,6,58,273,44,0,11,213,170,2,17,20,1,2,26,0,8,12,8.0,2025_this_team
Keyshawn James-Newby,175089,ED,NEW MEXICO,13,10,4,100.0,0,3,241,0,0,55.3,88.8,2.1,93.0,71.2,35.6,9,55,0,0,11,28.8,17,0,8,87.5,2,10,0,1,0,14,683,681,0,44,596,41,0,2,381,288,0,33,32,5,2,74,0,10,0,5.0,2025_this_team
Brett Karhu,184713,ED,NEW MEXICO,13,11,1,100.0,0,1,241,0,0,81.3,67.9,58.9,73.3,53.9,75.3,9,18,0,0,10,8.0,2,1,2,147.9,1,8,0,2,0,12,587,584,0,59,497,28,0,3,335,240,0,18,12,2,1,35,1,10,3,10.0,2025_this_team
Elijah Brody,190457,ED,NEW MEXICO,6,1,0,,0,0,241,0,0,,54.5,81.2,58.1,51.9,73.5,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,71,71,0,10,60,1,0,0,37,34,0,1,1,0,0,2,0,0,0,,2025_this_team
Jalen McIver,205206,DI,NEW MEXICO,12,3,1,,0,0,241,0,0,59.3,62.1,81.5,62.4,60.9,56.4,1,0,0,0,,11.1,1,0,0,0.0,0,3,0,0,0,1,211,211,23,186,0,2,0,0,90,120,0,7,5,1,0,4,0,0,0,,2025_this_team
Jake DeVos,205209,ED,NEW MEXICO,1,0,0,,0,0,241,0,0,,49.4,69.3,58.4,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,5,5,0,5,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,,2025_this_team
Cody Thumlert,205213,ED,NEW MEXICO,5,0,0,,0,0,241,0,0,60.0,60.0,74.5,55.3,68.4,41.8,0,0,0,0,,33.3,1,0,0,0.0,0,0,0,0,0,0,23,23,0,7,14,2,0,0,10,13,0,0,2,0,0,0,0,0,0,,2025_this_team
