player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Gavin Gibson,156453,S,N CAROLINA,12,9,1,58.8,0,1,245,1,0,66.1,69.2,49.1,71.1,76.7,56.5,0,1,0,0,19,21.4,12,1,2,107.7,20,0,0,177,10,372,636,21,0,0,21,0,306,615,5,259,122,10,35,3,34,1,4,142,102,7.1,2025_this_team
Coleman Bryson,157509,S,N CAROLINA,12,2,0,63.6,0,0,245,0,0,59.1,60.0,83.2,56.6,61.1,43.5,0,0,0,0,23,28.6,6,2,0,106.3,7,0,0,61,3,97,225,18,0,0,18,0,107,207,7,121,33,4,13,0,11,0,1,55,32,7.9,2025_this_team
Ade Willie,158403,CB,MICH STATE,4,3,0,80.0,0,0,223,0,0,54.9,58.3,80.5,50.8,73.8,50.7,0,1,0,0,13,20.0,3,1,1,95.4,8,0,0,31,1,77,137,4,0,0,4,0,0,133,13,47,101,3,9,2,10,1,0,69,30,8.6,arrival_2025_at_MICH STATE
Thaddeus Dixon,158614,CB,N CAROLINA,7,4,0,61.5,0,0,245,0,0,65.5,65.2,26.6,63.8,64.8,45.9,1,1,0,0,75,16.0,4,5,2,105.3,16,0,0,33,290,209,397,5,0,0,5,0,9,392,2,186,59,5,17,2,26,2,1,244,123,15.3,2025_this_team
Marcus Allen,162743,CB,N CAROLINA,12,4,0,60.0,1,0,245,0,0,62.1,64.1,85.4,82.3,66.2,52.6,0,2,0,0,36,19.1,9,7,8,97.6,39,1,0,54,622,414,722,1,0,0,1,0,0,721,1,307,42,16,34,1,65,3,3,470,200,12.1,2025_this_team
Will Hardy,162751,S,N CAROLINA,12,20,0,64.7,0,0,245,0,0,66.5,65.6,85.5,55.2,63.4,57.7,0,0,0,0,45,14.9,10,0,0,108.2,11,0,0,185,3,272,520,25,0,0,25,0,252,495,10,238,52,14,37,1,17,0,1,133,60,12.1,2025_this_team
Ty Adams,175389,CB,N CAROLINA,5,0,0,50.0,0,0,245,0,0,70.5,70.9,73.8,,61.5,,0,0,0,0,4,,0,0,0,56.3,1,0,0,1,24,14,26,0,0,0,0,0,0,26,0,12,1,0,0,0,2,0,0,4,10,4.0,2025_this_team
Kaleb Cost,175392,CB,N CAROLINA,11,7,0,68.9,1,0,245,0,0,68.0,67.4,0.0,62.6,71.9,63.5,0,1,0,1,28,15.4,8,5,6,82.3,31,0,0,95,26,269,480,13,0,0,13,0,19,467,6,205,326,14,37,2,45,1,1,266,197,8.6,2025_this_team
Reggie Love II,175402,CB,N CAROLINA,1,0,0,0.0,0,0,245,0,0,84.3,84.9,72.6,,61.2,,0,0,0,0,,,0,1,0,39.6,0,0,0,0,15,4,15,0,0,0,0,0,0,15,0,11,0,0,0,0,2,0,0,0,0,,2025_this_team
Tre Miller,175403,CB,N CAROLINA,9,1,0,93.3,0,0,245,0,0,57.8,58.8,81.7,56.8,64.8,79.9,0,0,0,0,23,7.1,1,0,1,109.2,14,0,0,8,7,83,117,1,0,0,1,0,8,116,3,31,93,6,12,0,15,0,0,153,72,10.9,2025_this_team
Khalil Conley,183325,CB,N CAROLINA,8,0,0,100.0,0,0,245,0,0,52.6,52.0,77.0,,52.6,37.7,0,0,0,0,21,33.3,1,0,0,118.8,3,0,0,4,45,20,51,0,0,0,0,0,0,51,0,31,1,1,2,0,3,0,0,39,2,13.0,2025_this_team
Jaiden Patterson,183336,CB,N CAROLINA,12,6,0,64.9,0,0,245,0,0,69.5,70.8,84.6,57.9,74.4,71.5,0,0,0,1,28,12.2,5,5,0,71.5,24,0,0,43,347,287,473,3,0,0,3,0,39,470,3,183,39,11,30,2,37,0,0,236,107,9.8,2025_this_team
Jalon Thompson,183342,CB,N CAROLINA,10,0,0,62.5,0,0,245,0,0,58.6,61.6,78.8,,70.1,82.1,0,0,0,0,25,0.0,0,2,1,87.0,5,0,0,7,101,50,112,0,0,0,0,0,0,112,0,62,3,2,6,0,8,0,0,63,20,12.6,2025_this_team
Ty White,183344,CB,N CAROLINA,4,0,0,80.0,0,0,245,0,0,35.4,39.9,75.4,,65.3,75.4,0,0,0,0,31,0.0,0,0,0,105.8,4,0,0,5,15,19,36,0,0,0,0,0,0,36,0,17,16,0,2,0,5,0,0,47,21,11.8,2025_this_team
Malcolm Ziglar,183346,S,N CAROLINA,2,0,0,0.0,0,0,245,0,0,50.4,51.9,67.7,,60.0,,0,0,0,1,,,0,0,0,0.0,0,0,0,0,0,8,9,0,0,0,0,0,8,9,0,1,0,0,0,0,1,0,0,0,0,,2025_this_team
Peyton Waters,183646,S,N CAROLINA,4,1,0,,0,0,245,0,0,67.9,69.3,73.8,,66.2,83.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,5,0,21,30,0,0,0,0,0,23,30,0,9,2,1,3,0,0,0,0,0,0,,2025_this_team
Greg Smith,184431,S,N CAROLINA,11,6,0,57.1,0,0,245,0,0,82.9,79.3,82.3,64.1,68.3,78.4,1,0,0,1,12,7.4,2,0,0,34.8,8,0,0,101,6,163,273,7,0,0,7,0,102,266,5,105,57,7,19,0,14,1,0,50,26,6.3,2025_this_team
Khristian Dunbar-Hawkins,184978,CB,N CAROLINA,3,0,0,100.0,0,0,245,0,0,61.6,62.0,75.6,,60.8,,0,0,0,0,16,,0,0,0,118.8,1,0,0,0,10,20,28,0,0,0,0,0,0,28,0,8,18,0,0,0,1,0,0,16,0,16.0,2025_this_team
Javion Butts,199819,S,N CAROLINA,4,1,0,100.0,0,0,245,0,0,59.4,52.8,77.2,56.7,38.3,65.5,0,0,0,0,19,12.5,1,0,0,118.8,1,0,0,10,0,36,51,1,0,0,1,0,33,50,3,12,7,0,6,0,1,0,0,19,1,19.0,2025_this_team
