player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Jordan Shipp,183338,WR,N CAROLINA,12,8.9,9,75.0,53.3,8,15,0,4.8,3,-0.09,35,245,0,76.1,75.4,73.1,,75.5,0.0,0,1,55,0.0,0,409,2,42.0,60,92.4,378,68.9,282,119.3,80,6,30.8,126,671,226,3.8,11.2,1.78,2025_this_team
Kobe Paysour,143974,WR,N CAROLINA,12,12.9,10,63.2,40.0,4,10,0,0.0,0,-0.08,22,245,1,90.8,31.8,65.9,,68.1,0.3,1,0,44,0.0,0,332,1,41.4,36,92.5,307,15.4,51,92.9,57,1,84.3,280,443,162,4.5,12.3,1.44,2025_this_team
Trech Kekahuna,175527,WR,WISCONSIN,12,5.6,3,59.1,14.3,1,7,0,0.0,0,-0.26,8,349,0,88.0,46.4,63.8,,63.8,0.6,1,4,45,0.0,0,179,1,36.6,26,96.1,172,82.7,148,33.4,44,0,12.8,23,211,181,7.0,8.1,1.23,arrival_2025_at_WISCONSIN
Jake Johnson,158655,TE,N CAROLINA,12,9.1,2,59.3,66.7,4,6,1,0.0,0,-0.22,11,245,0,84.2,69.5,57.3,59.3,57.8,36.3,85,0,19,5.1,12,234,1,40.4,16,88.0,206,53.4,125,86.0,27,1,10.3,24,144,40,2.5,9.0,0.7,2025_this_team
Javarius Green,183330,WR,N CAROLINA,9,16.4,0,54.5,25.0,1,4,0,0.0,0,-0.08,7,245,0,82.7,77.5,57.8,,59.7,0.0,0,1,39,0.0,0,162,4,43.3,12,92.6,150,22.2,36,56.1,22,0,77.8,126,145,61,5.1,12.1,0.97,2025_this_team
Shanard Clower,205247,WR,N CAROLINA,10,5.4,5,63.2,0.0,0,1,0,7.7,1,-0.4,5,245,1,66.1,25.6,62.6,,62.8,0.0,0,1,31,0.0,0,62,0,36.2,12,93.5,58,91.9,57,53.8,19,0,8.1,5,96,83,6.9,8.0,1.66,2025_this_team
Jaxxon Warren,191072,TE,COLO STATE,2,11.5,0,46.7,25.0,1,4,0,12.5,1,-0.07,4,144,0,56.4,66.7,59.9,58.6,60.6,29.2,19,1,27,10.8,7,65,1,37.7,7,84.6,55,50.8,33,61.8,15,1,20.0,13,95,39,5.6,13.6,1.73,arrival_2025_at_COLO STATE
Jordan Washington,184519,TE,TEXAS,10,5.9,0,57.1,,0,0,0,33.3,4,-0.16,5,311,0,20.9,67.8,47.6,36.8,51.5,79.1,87,1,32,32.7,36,110,3,38.3,8,65.5,72,12.7,14,75.9,14,1,8.2,9,108,80,10.0,13.5,1.5,arrival_2025_at_TEXAS
Chris Culliver,175393,WR,N CAROLINA,6,17.4,0,38.5,0.0,0,2,0,37.5,3,-0.27,4,245,0,20.0,69.0,51.4,,51.9,0.0,0,0,51,0.0,0,84,1,37.5,5,95.2,80,15.5,13,91.8,13,1,84.5,71,100,6,1.2,20.0,1.25,2025_this_team
Madrid Tucker,205246,WR,N CAROLINA,3,8.6,0,90.0,50.0,1,2,1,0.0,0,-0.01,2,245,0,80.1,67.5,53.3,,55.6,0.0,0,1,9,0.0,0,66,1,38.7,9,93.9,62,43.9,29,45.8,10,0,56.1,37,45,2,0.2,5.0,0.73,2025_this_team
Nathan Leacock,174732,WR,N CAROLINA,9,9.6,1,55.6,0.0,0,1,1,16.7,1,-0.11,2,245,1,49.8,15.6,44.6,,48.4,0.0,0,0,18,0.0,0,78,3,46.5,5,91.0,71,10.3,8,70.1,9,0,89.7,70,47,32,6.4,9.4,0.66,2025_this_team
Jelani Thurman,170274,TE,OHIO STATE,10,6.6,1,87.5,100.0,1,1,0,0.0,0,0.5,5,260,0,78.5,66.7,82.9,74.1,83.9,81.1,30,0,26,27.0,10,37,0,60.0,7,67.6,25,13.5,5,150.0,8,1,2.7,1,84,39,5.6,12.0,3.36,arrival_2025_at_OHIO STATE
Alex Taylor,183341,WR,N CAROLINA,6,11.5,0,50.0,0.0,0,2,0,0.0,0,-0.17,1,245,0,73.1,64.1,51.1,,50.1,0.0,0,1,15,0.0,0,65,0,36.1,3,93.8,61,32.3,21,22.9,6,0,66.2,43,27,15,5.0,9.0,0.44,2025_this_team
Jordan Owens,164222,TE,N CAROLINA,11,5.5,0,100.0,,0,0,0,0.0,0,-0.09,2,245,0,77.5,66.2,45.1,63.0,57.3,78.5,84,0,19,51.4,55,107,1,41.2,6,43.9,47,16.8,18,133.3,6,1,3.7,4,39,11,1.8,6.5,0.83,2025_this_team
Connor Cox,174320,TE,N CAROLINA,10,1.4,1,100.0,,0,0,0,0.0,0,0.2,2,245,0,76.3,65.7,68.7,69.6,50.2,72.2,70,0,9,32.0,31,97,0,44.0,5,63.9,62,23.7,23,84.2,5,0,3.1,3,21,14,2.8,4.2,0.34,2025_this_team
Shamar Easter,172405,TE,N CAROLINA,7,21.0,0,50.0,100.0,1,1,0,0.0,0,-0.08,1,245,1,70.7,9.0,46.5,67.4,48.3,16.3,8,0,15,2.0,1,49,0,46.8,2,93.9,46,73.5,36,63.5,4,0,8.2,4,19,0,0.0,9.5,0.41,2025_this_team
Aziah Johnson,175464,WR,N CAROLINA,1,-2.5,0,50.0,,0,0,0,50.0,1,-0.18,0,245,0,24.5,61.0,45.2,,48.0,0.0,0,0,6,0.0,0,3,0,66.7,1,100.0,3,33.3,1,56.3,2,0,66.7,2,6,8,8.0,6.0,2.0,2025_this_team
