player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Will Jones II,99276,S,N TEXAS,14,19,0,59.5,0,3,251,2,0,80.2,77.1,88.4,56.1,70.4,67.4,1,1,0,3,42,15.2,16,1,1,65.1,22,0,0,489,7,383,886,23,0,0,23,0,258,863,17,486,108,19,70,3,37,2,2,260,120,11.8,2025_this_team
Kamdon McFarland,131188,CB,N TEXAS,2,0,0,,0,0,251,0,0,61.5,63.8,65.7,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,3,4,0,0,0,0,0,0,4,0,1,3,0,0,0,0,0,0,0,0,,2025_this_team
Jackson Lataimua,131939,S,N TEXAS,7,3,1,45.5,0,0,251,0,0,37.9,45.7,84.3,66.0,57.0,66.7,0,0,0,0,25,11.1,1,0,0,66.9,5,0,0,32,1,44,100,19,0,0,19,0,0,81,6,50,47,2,5,2,11,0,0,71,41,14.2,2025_this_team
Da'Veawn Armstead,144700,CB,N TEXAS,14,6,0,59.1,0,0,251,0,0,71.1,68.7,84.9,53.3,57.6,65.9,0,1,0,2,33,15.7,8,5,4,62.0,26,0,0,76,599,326,702,5,0,0,5,0,4,697,3,373,17,10,37,3,44,1,1,233,112,9.0,2025_this_team
David Fisher,150294,CB,N TEXAS,13,6,0,63.5,1,0,251,0,0,80.7,73.8,51.9,80.5,47.7,63.8,1,1,0,1,63,14.8,9,7,2,91.5,33,0,0,76,598,321,718,9,0,0,9,0,4,709,2,395,30,18,46,4,52,2,2,396,157,12.0,2025_this_team
Patrick Smith-Young,156616,S,N TEXAS,13,12,0,57.1,0,0,251,1,0,80.5,71.6,87.2,57.8,59.1,74.8,0,0,0,0,34,10.1,8,3,0,87.4,12,0,0,374,6,250,659,36,0,0,36,0,166,623,5,404,76,19,59,1,21,0,1,110,29,9.2,2025_this_team
BJ Allen Jr.,157311,CB,N TEXAS,12,4,0,47.1,1,0,251,0,0,65.3,64.6,6.0,61.6,66.1,49.9,0,1,0,0,34,20.0,3,3,2,64.6,8,0,0,50,3,112,199,11,0,0,11,0,0,188,7,80,135,5,8,1,17,1,0,95,29,11.9,2025_this_team
Graham Gillespie,163847,S,TEXAS,1,0,0,100.0,0,0,311,0,0,71.8,73.2,69.2,,60.0,75.1,0,0,0,0,1,0.0,0,0,0,79.2,1,0,0,0,0,5,6,0,0,0,0,0,0,6,0,1,6,1,1,0,1,0,0,1,1,1.0,arrival_2025_at_TEXAS
Harrison Dempsey,173200,S,N TEXAS,1,0,0,100.0,0,0,251,0,0,60.0,44.2,64.5,,60.0,,0,0,0,0,6,,0,0,0,91.7,1,0,0,1,0,1,2,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,6,5,6.0,2025_this_team
Evan Jackson,173204,S,N TEXAS,14,6,0,78.9,0,0,251,0,0,65.8,69.9,85.0,69.1,74.4,61.2,0,2,0,2,64,16.3,8,1,0,113.6,15,1,0,283,0,253,458,6,0,0,6,0,111,452,5,200,58,16,35,0,19,3,3,214,122,14.3,2025_this_team
