player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Ivan Davis,130546,ED,N ILLINOIS,6,0,0,,0,0,254,0,0,,62.8,77.7,56.7,67.1,,0,1,0,0,,100.0,1,0,0,0.0,0,0,0,3,0,0,37,34,0,2,31,1,0,3,22,15,0,0,0,0,0,1,0,0,0,,2025_this_team
Jalonnie Williams,145874,ED,N ILLINOIS,10,14,1,,0,0,254,1,0,70.2,59.6,68.6,56.9,59.3,74.6,1,11,0,0,,6.1,2,0,1,0.0,0,1,0,5,0,5,458,453,10,45,371,27,0,5,224,229,0,9,17,0,0,13,0,0,0,,2025_this_team
Danny Cronin,148822,ED,N ILLINOIS,2,0,0,,0,0,254,0,0,,33.3,72.5,,42.3,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,6,6,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,2025_this_team
Alvin Gulley Jr.,151143,DI,N ILLINOIS,11,2,1,,0,0,254,0,0,,60.2,55.8,66.6,56.6,59.0,3,4,0,0,,15.4,2,0,1,0.0,0,2,0,0,0,0,304,304,40,257,2,5,0,0,132,172,0,6,9,0,0,9,0,0,0,,2025_this_team
Roy Williams,158037,ED,N ILLINOIS,10,13,0,100.0,0,0,254,0,0,61.6,65.0,71.2,61.7,65.2,76.2,0,20,0,0,7,7.7,3,0,2,95.8,1,2,0,0,0,2,530,530,2,33,453,42,0,0,267,261,0,17,23,1,1,22,0,7,9,7.0,2025_this_team
Reggie Jean,158065,DI,N ILLINOIS,12,0,0,,0,0,254,0,0,63.0,56.3,81.7,64.8,48.5,41.3,0,3,0,0,,27.3,3,0,0,0.0,0,1,0,0,0,0,194,194,25,167,0,2,0,0,83,111,0,8,8,1,0,4,0,0,0,,2025_this_team
Mark Hensley,171311,DI,N ILLINOIS,12,4,0,,0,0,254,0,0,62.6,61.7,85.3,60.6,59.5,43.4,1,10,0,0,,19.0,8,0,0,0.0,0,1,0,0,0,0,566,566,32,500,11,23,0,0,271,295,0,20,30,5,0,12,0,0,0,,2025_this_team
Jay'shon Thomas,171332,ED,N ILLINOIS,12,2,0,100.0,0,0,254,0,0,54.6,60.1,86.5,64.9,55.1,70.6,2,13,0,0,11,17.6,3,0,0,112.5,1,3,0,1,0,3,392,391,0,3,355,33,0,1,186,203,0,11,12,0,1,18,0,11,15,11.0,2025_this_team
Lance Ingold,188419,ED,N ILLINOIS,6,7,0,,0,1,254,0,0,60.2,46.4,84.0,65.9,35.1,61.0,1,10,0,0,,12.5,2,0,0,0.0,0,1,0,1,0,1,234,233,0,4,201,28,0,1,88,145,0,5,7,1,0,12,0,0,0,,2025_this_team
Ivan Moore Jr.,188426,ED,N ILLINOIS,4,0,0,,0,0,254,0,0,,53.2,72.6,54.3,,,0,1,0,0,,,0,0,0,0.0,0,0,0,2,0,0,6,4,0,0,4,0,0,2,6,0,0,0,0,0,0,1,0,0,0,,2025_this_team
Dasean Dixon,193260,DI,N ILLINOIS,12,8,0,,0,0,254,1,0,60.0,60.3,62.6,63.3,57.9,26.8,1,8,0,0,,28.1,9,0,2,0.0,0,1,0,0,0,0,403,403,58,341,1,3,0,0,184,219,0,11,15,2,0,10,0,0,0,,2025_this_team
Montrel Canion,199833,DI,N ILLINOIS,4,1,0,,0,0,254,0,0,,58.9,74.2,55.7,61.1,72.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,29,29,1,25,0,3,0,0,15,14,0,1,1,0,0,0,0,0,0,,2025_this_team
Jordan Bellamy,199834,DI,N ILLINOIS,1,0,0,,0,0,254,0,0,,51.5,72.8,57.3,54.5,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,10,10,3,7,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,,2025_this_team
Micah Cook,205267,ED,N ILLINOIS,3,0,1,,0,0,254,0,0,,53.5,79.3,56.3,52.4,25.6,1,4,0,0,,66.7,2,0,0,0.0,0,0,0,0,0,0,58,58,0,1,54,3,0,0,26,32,0,1,1,0,0,5,0,0,0,,2025_this_team
Amari Washington,205271,DI,N ILLINOIS,3,0,0,,0,1,254,0,0,,65.1,0.0,75.9,55.4,74.2,0,3,0,0,,0.0,0,0,1,0.0,0,1,0,0,0,0,50,50,0,47,0,3,0,0,35,15,0,3,3,0,0,4,0,0,0,,2025_this_team
Fawzy Omotoso,205273,ED,N ILLINOIS,1,0,0,,0,0,254,0,0,,64.6,74.3,54.5,70.6,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,17,17,0,0,17,0,0,0,11,6,0,0,0,0,0,0,0,0,0,,2025_this_team
